#  Z WFCRGOZ
800 0.0034
801 0.0055
802 0.0058
803 0.0091
804 0.0083
805 0.0106
806 0.0123
807 0.0145
808 0.0197
809 0.026
810 0.0309
811 0.0377
812 0.0472
813 0.0609
814 0.0776
815 0.0968
816 0.1202
817 0.1509
818 0.1878
819 0.2366
820 0.2973
821 0.3683
822 0.449
823 0.5802
824 0.7135
825 0.893
826 1.0938
827 1.349
828 1.6674
829 2.0528
830 2.4962
831 3.0413
832 3.6872
833 4.4564
834 5.3384
835 6.3502
836 7.5667
837 8.8955
838 10.4224
839 12.0741
840 13.9577
841 15.9032
842 18.1414
843 20.2936
844 22.6341
845 25.2051
846 27.7775
847 30.2756
848 33.0931
849 35.5947
850 38.2329
851 40.8666
852 43.5572
853 46.0255
854 48.8733
855 51.2518
856 53.1831
857 55.7087
858 57.8792
859 59.454
860 61.0963
861 63.5437
862 64.6621
863 66.4395
864 68.3177
865 69.9133
866 70.1643
867 71.4251
868 73.5609
869 73.6755
870 75.3332
871 75.1994
872 76.8313
873 78.1561
874 78.6886
875 79.3224
876 81.2012
877 80.5393
878 80.1181
879 81.5619
880 82.2657
881 83.2727
882 81.5569
883 83.096
884 84.3513
885 85.2769
886 84.1506
887 85.7651
888 85.3804
889 87.9047
890 83.7463
891 84.8752
892 84.8023
893 85.0246
894 87.8362
895 85.5694
896 86.6996
897 83.6952
898 89.1364
899 95.8442
900 91.4243
950 90
1000 90
1050 90
1100 90
