#lambda (nm)       mean (%)   stdev (%)
350               48.9       6.2
400               78.3       4.7
450               85.7       3.9
500               84.7       3.3
550               82.8       2.8
600               80.8       2.3
650               77.8       1.8
700               71.8       1.5
750               61.9       1.4
800               49.4       1.3
850               37.6       1.2
900               24.8       0.9
950               12.0       0.5
1000              4.3        0.2   
