#  Table f469n.tab  Mon 11:01:32 21-Aug-95
# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION
      4660.0    0.0011904           0.
      4662.0    0.0023153           0.
      4664.0    0.0045356           0.
      4666.0    0.0084166           0.
      4668.0     0.015208           0.
      4670.0     0.027551           0.
      4672.0     0.049217           0.
      4674.0     0.087731           0.
      4676.0      0.15393           0.
      4678.0       0.2536           0.
      4680.0      0.37258           0.
      4682.0      0.46125           0.
      4684.0      0.50555           0.
      4686.0      0.51734           0.
      4688.0      0.51863           0.
      4690.0      0.51605           0.
      4692.0      0.51358           0.
      4694.0      0.51488           0.
      4696.0      0.52019           0.
      4698.0      0.52423           0.
      4700.0      0.52204           0.
      4702.0      0.50864           0.
      4704.0      0.48788           0.
      4706.0      0.45981           0.
      4708.0      0.41672           0.
      4710.0      0.33271           0.
      4712.0      0.21325           0.
      4714.0      0.10606           0.
      4716.0     0.046846           0.
      4718.0     0.020314           0.
      4720.0    0.0093792           0.
      4722.0    0.0046739           0.
      4724.0    0.0024315           0.
      4726.0    0.0013619           0.
      4728.0    7.4134E-4           0.
      4730.0    4.1308E-4           0.
