#  Table f555w.tab  Mon 11:02:06 21-Aug-95
# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION
      4000.0    9.0855E-5           0.
      4010.0    9.3721E-5           0.
      4020.0    9.4740E-5           0.
      4030.0    8.9646E-5           0.
      4040.0    8.7948E-5           0.
      4050.0    8.9506E-5           0.
      4060.0    8.8688E-5           0.
      4070.0    8.8648E-5           0.
      4080.0    8.9377E-5           0.
      4090.0    8.6350E-5           0.
      4100.0    8.6111E-5           0.
      4110.0    8.8458E-5           0.
      4120.0    8.9177E-5           0.
      4130.0    8.9546E-5           0.
      4140.0    8.8807E-5           0.
      4150.0    8.6251E-5           0.
      4160.0    8.6610E-5           0.
      4170.0    8.9936E-5           0.
      4180.0    8.4093E-5           0.
      4190.0    8.6820E-5           0.
      4200.0    8.4593E-5           0.
      4210.0    8.5931E-5           0.
      4220.0    8.2425E-5           0.
      4230.0    8.3035E-5           0.
      4240.0    8.5162E-5           0.
      4250.0    8.0468E-5           0.
      4260.0    7.8061E-5           0.
      4270.0    7.4825E-5           0.
      4280.0    6.9012E-5           0.
      4290.0    6.5896E-5           0.
      4300.0    6.3090E-5           0.
      4310.0    6.2990E-5           0.
      4320.0    7.3667E-5           0.
      4330.0    1.1196E-4           0.
      4340.0    2.6387E-4           0.
      4350.0    6.2441E-4           0.
      4360.0    0.0017528           0.
      4370.0    0.0041328           0.
      4380.0     0.010217           0.
      4390.0     0.019775           0.
      4400.0     0.043824           0.
      4410.0     0.079729           0.
      4420.0      0.12724           0.
      4430.0      0.19355           0.
      4440.0      0.26387           0.
      4450.0      0.34426           0.
      4460.0      0.41757           0.
      4470.0      0.49228           0.
      4480.0       0.5545           0.
      4490.0      0.61262           0.
      4500.0      0.65737           0.
      4510.0      0.69971           0.
      4520.0      0.73027           0.
      4530.0      0.75814           0.
      4540.0      0.77941           0.
      4550.0      0.79809           0.
      4560.0      0.81267           0.
      4570.0      0.82525           0.
      4580.0      0.83584           0.
      4590.0      0.84473           0.
      4600.0      0.85192           0.
      4610.0      0.85821           0.
      4620.0        0.864           0.
      4630.0       0.8694           0.
      4640.0      0.87379           0.
      4650.0      0.87789           0.
      4660.0      0.88108           0.
      4670.0      0.88448           0.
      4680.0      0.88747           0.
      4690.0      0.89057           0.
      4700.0      0.89347           0.
      4710.0      0.89626           0.
      4720.0      0.89856           0.
      4730.0      0.90106           0.
      4740.0      0.90285           0.
      4750.0      0.90515           0.
      4760.0      0.90745           0.
      4770.0      0.90945           0.
      4780.0      0.91144           0.
      4790.0      0.91344           0.
      4800.0      0.91494           0.
      4810.0      0.91714           0.
      4820.0      0.91873           0.
      4830.0      0.92073           0.
      4840.0      0.92253           0.
      4850.0      0.92443           0.
      4860.0      0.92583           0.
      4870.0      0.92732           0.
      4880.0      0.92872           0.
      4890.0      0.93002           0.
      4900.0      0.93152           0.
      4910.0      0.93282           0.
      4920.0      0.93402           0.
      4930.0      0.93531           0.
      4940.0      0.93661           0.
      4950.0      0.93741           0.
      4960.0      0.93881           0.
      4970.0      0.93991           0.
      4980.0      0.94081           0.
      4990.0      0.94151           0.
      5000.0       0.9425           0.
      5010.0       0.9431           0.
      5020.0       0.9437           0.
      5030.0       0.9446           0.
      5040.0        0.945           0.
      5050.0       0.9455           0.
      5060.0       0.9462           0.
      5070.0       0.9471           0.
      5080.0       0.9475           0.
      5090.0       0.9474           0.
      5100.0       0.9479           0.
      5110.0       0.9481           0.
      5120.0        0.948           0.
      5130.0        0.948           0.
      5140.0       0.9479           0.
      5150.0       0.9482           0.
      5160.0        0.948           0.
      5170.0       0.9478           0.
      5180.0       0.9473           0.
      5190.0       0.9468           0.
      5200.0       0.9462           0.
      5210.0       0.9457           0.
      5220.0       0.9452           0.
      5230.0       0.9446           0.
      5240.0       0.9439           0.
      5250.0       0.9431           0.
      5260.0      0.94191           0.
      5270.0      0.94051           0.
      5280.0      0.93971           0.
      5290.0      0.93821           0.
      5300.0      0.93691           0.
      5310.0      0.93531           0.
      5320.0      0.93372           0.
      5330.0      0.93212           0.
      5340.0      0.93012           0.
      5350.0      0.92832           0.
      5360.0      0.92593           0.
      5370.0      0.92423           0.
      5380.0      0.92173           0.
      5390.0      0.91923           0.
      5400.0      0.91674           0.
      5410.0      0.91434           0.
      5420.0      0.91134           0.
      5430.0      0.90875           0.
      5440.0      0.90565           0.
      5450.0      0.90246           0.
      5460.0      0.89936           0.
      5470.0      0.89616           0.
      5480.0      0.89247           0.
      5490.0      0.88907           0.
      5500.0      0.88518           0.
      5510.0      0.88138           0.
      5520.0      0.87709           0.
      5530.0      0.87309           0.
      5540.0       0.8684           0.
      5550.0       0.8644           0.
      5560.0      0.85961           0.
      5570.0      0.85482           0.
      5580.0      0.84942           0.
      5590.0      0.84483           0.
      5600.0      0.83924           0.
      5610.0      0.83414           0.
      5620.0      0.82805           0.
      5630.0      0.82286           0.
      5640.0      0.81666           0.
      5650.0      0.81087           0.
      5660.0      0.80448           0.
      5670.0      0.79859           0.
      5680.0       0.7917           0.
      5690.0       0.7863           0.
      5700.0      0.78041           0.
      5710.0      0.77392           0.
      5720.0      0.76683           0.
      5730.0      0.75984           0.
      5740.0      0.75235           0.
      5750.0      0.74476           0.
      5760.0      0.73786           0.
      5770.0      0.73007           0.
      5780.0      0.72238           0.
      5790.0      0.71409           0.
      5800.0       0.7066           0.
      5810.0      0.69781           0.
      5820.0      0.68993           0.
      5830.0      0.68114           0.
      5840.0      0.67325           0.
      5850.0      0.66406           0.
      5860.0      0.65567           0.
      5870.0      0.64678           0.
      5880.0      0.63809           0.
      5890.0       0.6288           0.
      5900.0      0.62011           0.
      5910.0      0.61102           0.
      5920.0      0.60194           0.
      5930.0      0.59275           0.
      5940.0      0.58396           0.
      5950.0      0.57397           0.
      5960.0      0.56528           0.
      5970.0       0.5554           0.
      5980.0      0.54671           0.
      5990.0      0.53662           0.
      6000.0      0.52773           0.
      6010.0      0.51784           0.
      6020.0      0.50885           0.
      6030.0      0.49877           0.
      6040.0      0.48978           0.
      6050.0      0.47949           0.
      6060.0       0.4707           0.
      6070.0      0.46062           0.
      6080.0      0.45193           0.
      6090.0      0.44174           0.
      6100.0      0.43305           0.
      6110.0      0.42296           0.
      6120.0      0.41427           0.
      6130.0      0.40459           0.
      6140.0       0.3961           0.
      6150.0      0.38621           0.
      6160.0      0.37782           0.
      6170.0      0.36833           0.
      6180.0      0.36014           0.
      6190.0      0.35066           0.
      6200.0      0.34257           0.
      6210.0      0.33328           0.
      6220.0      0.32519           0.
      6230.0       0.3163           0.
      6240.0      0.30841           0.
      6250.0      0.29972           0.
      6260.0      0.29213           0.
      6270.0      0.28354           0.
      6280.0      0.27625           0.
      6290.0      0.26796           0.
      6300.0      0.26087           0.
      6310.0      0.25288           0.
      6320.0      0.24599           0.
      6330.0       0.2382           0.
      6340.0      0.23161           0.
      6350.0      0.22402           0.
