#  Table f555w_sys.tab  Mon 11:02:08 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
         4002.226     5.167471E-6
          4008.18     5.262400E-6
         4014.143     5.314101E-6
         4020.117     5.342753E-6
         4026.101     5.169039E-6
          4032.09     5.035226E-6
         4038.089     4.975971E-6
         4044.099     4.991756E-6
         4050.113     5.041043E-6
         4056.141     5.011113E-6
         4062.178     4.990660E-6
         4068.221     4.987044E-6
         4074.274     5.001806E-6
         4080.337     5.017106E-6
         4086.408     4.911365E-6
         4092.487     4.844468E-6
         4098.578     4.833759E-6
         4104.676     4.890706E-6
         4110.783     4.961117E-6
           4116.9     4.982904E-6
         4123.025     4.998657E-6
         4129.162     5.008229E-6
         4135.305     4.984880E-6
         4141.457     4.941505E-6
         4147.619     4.850366E-6
         4153.792     4.820740E-6
         4159.971     4.829803E-6
         4166.163     4.940712E-6
          4172.36     4.931484E-6
         4178.568     4.726081E-6
         4184.785     4.748635E-6
         4191.015     4.811571E-6
         4197.248     4.730831E-6
         4203.495     4.725140E-6
         4209.749     4.778800E-6
         4216.011     4.670429E-6
         4222.284     4.607134E-6
         4228.568     4.635338E-6
         4234.859     4.704910E-6
         4241.162     4.742576E-6
         4247.471     4.583233E-6
          4253.79     4.471895E-6
         4260.119     4.392092E-6
         4266.461     4.282676E-6
         4272.809     4.131998E-6
         4279.166     3.929012E-6
         4285.532     3.809510E-6
         4291.908     3.705583E-6
         4298.295     3.609019E-6
         4304.692     3.584181E-6
         4311.094     3.652641E-6
         4317.511     4.048255E-6
         4323.934     5.065477E-6
         4330.367     6.718910E-6
         4336.812     1.233281E-5
         4343.266     2.187687E-5
         4349.728     3.527957E-5
         4356.199     7.609629E-5
          4362.68     1.375955E-4
          4369.17     2.268182E-4
         4375.673     4.377181E-4
         4382.185     7.111479E-4
         4388.705     0.001072694
         4395.234     0.001875217
         4401.775     0.002912606
         4408.322     0.004282073
         4414.885     0.005988366
         4421.453     0.007973242
         4428.031      0.01052821
         4434.622      0.01320225
         4441.216      0.01600271
         4447.826      0.01913554
         4454.446      0.02209601
         4461.073      0.02498563
          4467.71      0.02793239
         4474.359      0.03057197
         4481.014      0.03302712
         4487.683      0.03535731
         4494.361       0.0373519
         4501.048      0.03918835
         4507.744      0.04114059
         4514.451      0.04280312
         4521.169      0.04430711
         4527.898      0.04573911
         4534.635      0.04700013
         4541.381       0.0481678
         4548.137      0.04926196
         4554.904       0.0502434
