#  Table f631n_sys.tab  Mon 11:02:41 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
            6260.     5.644903E-5
            6261.     7.758837E-5
            6262.     9.875961E-5
            6263.     1.269861E-4
            6264.     1.552069E-4
            6265.     1.975221E-4
            6266.     2.398597E-4
            6267.     3.245138E-4
            6268.     4.091714E-4
            6269.     5.432192E-4
            6270.     6.772727E-4
            6271.     9.383181E-4
            6272.     0.001199249
            6273.     0.001686221
            6274.     0.002173513
            6275.     0.003040556
            6276.     0.003908911
            6277.     0.005531877
            6278.     0.007156318
            6279.       0.0100129
            6280.      0.01287101
            6281.      0.01798733
            6282.      0.02310138
            6283.      0.03215132
            6284.      0.04119913
            6285.      0.05438996
            6286.      0.06757489
            6287.      0.08231869
            6288.      0.09707572
            6289.         0.10662
            6290.       0.1161599
            6291.       0.1192326
            6292.       0.1223055
            6293.       0.1226327
            6294.       0.1229599
            6295.       0.1232872
            6296.       0.1236145
            6297.       0.1239415
            6298.        0.124269
            6299.       0.1249708
            6300.       0.1256716
            6301.       0.1261122
            6302.       0.1265525
            6303.       0.1264774
            6304.       0.1264024
            6305.       0.1264615
            6306.       0.1265206
            6307.       0.1263608
            6308.        0.126201
            6309.       0.1258576
            6310.       0.1255141
            6311.        0.124987
            6312.       0.1244596
            6313.        0.123529
            6314.        0.122599
            6315.       0.1215353
            6316.       0.1204711
            6317.       0.1194917
            6318.       0.1185122
            6319.       0.1178504
            6320.       0.1171886
            6321.        0.116442
            6322.       0.1156958
            6323.        0.112032
            6324.       0.1083684
            6325.      0.09899349
            6326.      0.08963194
            6327.      0.07486735
            6328.      0.06010002
            6329.      0.04624276
            6330.      0.03237827
            6331.      0.02414991
            6332.      0.01592126
            6333.       0.0118246
            6334.     0.007727798
            6335.     0.005848934
            6336.     0.003970924
            6337.     0.003059237
            6338.     0.002147318
            6339.     0.001681102
            6340.     0.001215098
