	wl	u*	g'	i'	r'	z'		 
	1100	0.5524	0.1755	0.1007	0.2014	94.11		
	1098	0.4974	0.1556	0.1083	0.1877	94.2		
	1096	0.4303	0.1312	0.1022	0.1785	94.26		
	1094	0.3922	0.1099	0.119	0.1465	94.3		
	1092	0.3677	0.1068	0.119	0.1465	94.38		
	1090	0.3357	0.1038	0.119	0.1297	94.47		
	1088	0.3052	0.1038	0.119	0.1266	94.57		
	1086	0.2838	0.1266	0.09	0.1358	94.7		
	1084	0.3006	0.1053	0.09	0.1328	94.76		
	1082	0.2975	0.1053	0.0534	0.1648	94.78		
	1080	0.2441	0.1083	0.0473	0.1709	94.83		
	1078	0.235	0.1007	0.0641	0.1617	94.83		
	1076	0.2548	0.1099	0.0565	0.1678	94.87
	1074	0.2426	0.1038	0.0732	0.1694	94.89
	1072	0.2106	0.1099	0.0732	0.1404	94.88
	1070	0.1968	0.1083	0.0534	0.1205	94.86
	1068	0.1648	0.1144	0.0565	0.1282	94.84
	1066	0.1419	0.0992	0.0565	0.1129	94.81
	1064	0.1358	0.1007	0.0473	0.1343	94.75
	1062	0.1404	0.1038	0.0534	0.1511	94.66
	1060	0.1648	0.1129	0.0717	0.1892	94.54
	1058	0.1114	0.1144	0.0641	0.1938	94.37
	1056	0.1053	0.1114	0.1007	0.2243	94.2
	1054	0.1221	0.1266	0.1038	0.2258	94.03
	1052	0.0992	0.1129	0.0931	0.1724	93.84
	1050	0.1236	0.1129	0.1114	0.1709	93.67
	1048	0.1068	0.0977	0.09	0.1297	93.48
	1046	0.0687	0.0519	0.1099	0.1282	93.22
	1044	0.0977	0.0626	0.0977	0.1755	93.01
	1042	0.1343	0.0793	0.0671	0.1846	92.79
	1040	0.1114	0.0732	0.0717	0.2029	92.56
	1038	0.0961	0.1221	0.061	0.1999	92.39
	1036	0.1343	0.1007	0.087	0.1328	92.18
	1034	0.1129	0.1053	0.116	0.1083	92
	1032	0.061	0.1328	0.1099	0.1282	91.84
	1030	0.0504	0.1099	0.1007	0.145	91.65
	1028	0.0412	0.1068	0.0778	0.1801	91.47
	1026	0.0366	0.0946	0.0656	0.1938	91.29
	1024	0.0412	0.0824	0.0626	0.177	91.16
	1022	0.0381	0.0763	0.0671	0.1434	91.04
	1020	-0.0092	0.0793	0.0854	0.1282	90.95
	1018	-0.032	0.0885	0.0931	0.1465	90.86
	1016	0.0031	0.09	0.116	0.177	90.78
	1014	0.0229	0.0793	0.1068	0.1877	90.82
	1012	0.032	0.1114	0.1007	0.206	90.86
	1010	0.0107	0.1129	0.1053	0.1709	90.99
	1008	0.0153	0.09	0.0809	0.1221	91.13
	1006	0.0198	0.1343	0.1205	0.119	91.23
	1004	0.0122	0.1251	0.1221	0.1266	91.42
	1002	0.0336	0.1114	0.0793	0.1328	91.54
	1000	-0.0092	0.119	0.1175	0.1526	91.71
	998	-0.0412	0.0885	0.0549	0.1923	91.84
	996	-0.0504	0.0702	0.058	0.1297	91.98
	994	-0.0473	0.0626	0.1022	0.1373	92.09
	992	0.0137	0.0809	0.0748	0.1709	92.28
	990	0.0229	0.087	0.0793	0.145	92.51
	988	-0.0153	0.1068	0.0732	0.1892	92.62
	986	-0.0153	0.1221	0.061	0.1877	92.78
	984	-0.0519	0.1144	0.058	0.1816	92.85
	982	-0.1053	0.1205	0.1038	0.1953	92.86
	980	-0.0748	0.0931	0.087	0.2029	92.86
	978	0.0259	0.0702	0.1022	0.2426	92.87
	976	0.0198	0.0473	0.1038	0.2075	92.85
	974	-0.0336	0.029	0.1007	0.2106	92.81
	972	-0.0214	0.0443	0.1419	0.2136	92.77
	970	-0.0336	0.061	0.1953	0.177	92.67
	968	0	0.0931	0.1968	0.235	92.48
	966	-0.0122	0.0732	0.1846	0.2319	92.29
	964	-0.0122	0.0809	0.1556	0.2243	92.03
	962	0.0351	0.0885	0.1343	0.2594	91.64
	960	0.0549	0.119	0.119	0.2274	91.34
	958	0.0931	0.148	0.087	0.2121	90.95
	956	0.0366	0.1511	0.0778	0.2243	90.66
	954	-0.0076	0.1602	0.0473	0.2808	90.44
	952	0.087	0.148	0.0168	0.2945	90.04
	950	0.1099	0.177	0.061	0.3113	89.73
	948	0.1343	0.1602	0.1083	0.2945	89.35
	946	0.2319	0.1358	0.0977	0.2365	89.13
	944	0.206	0.1404	0.1709	0.2533	89.09
	942	0.2365	0.1251	0.1602	0.3311	88.97
	940	0.2884	0.1343	0.145	0.3845	88.93
	938	0.2472	0.1495	0.1617	0.3998	88.76
	936	0.2518	0.1251	0.2121	0.3479	88.62
	934	0.267	0.1511	0.238	0.3082	88.71
	932	0.3067	0.1785	0.2335	0.235	88.79
	930	0.1984	0.174	0.2869	0.2625	88.93
	928	0.1343	0.2365	0.1816	0.2487	89.17
	926	0.2014	0.2258	0.1785	0.2289	89.42
	924	0.0153	0.2518	0.1755	0.2411	89.76
	922	-0.0397	0.2457	0.1221	0.2029	90.07
	920	0.0183	0.2869	0.1221	0.2823	90.29
	918	-0.1373	0.3036	0.1007	0.3036	90.63
	916	-0.1282	0.2518	0.0748	0.3891	90.75
	914	0.0336	0.2762	0.1526	0.4242	91.19
	912	-0.0488	0.1953	0.2396	0.3891	91.46
	910	-0.2151	0.2625	0.2884	0.3494	91.55
	908	-0.0458	0.3372	0.3708	0.3265	91.71
	906	0.0763	0.3433	0.4349	0.3433	91.71
	904	-0.1221	0.415	0.4608	0.4272	91.91
	902	-0.1923	0.3723	0.5386	0.5417	91.93
	900	-0.1419	0.4166	0.4318	0.5264	92.17
	898	-0.1785	0.5356	0.4211	0.5295	92.04
	896	-0.0626	0.4105	0.4257	0.4044	91.8
	894	0.0443	0.4547	0.3738	0.3784	91.52
	892	0.0153	0.3357	0.3723	0.3891	91.35
	890	-0.0366	0.2975	0.3647	0.3159	91.47
	888	-0.1602	0.4333	0.4333	0.3799	91.4
	886	-0.1663	0.4196	0.5722	0.4211	91.46
	884	-0.1541	0.5142	0.9125	0.4974	91.43
	882	-0.0763	0.5356	1.181	0.6363	91.37
	880	-0.1495	0.4974	1.402	0.827	91.55
	878	-0.4303	0.5173	1.939	0.9491	91.98
	876	-0.4608	0.4761	2.345	1.071	92.26
	874	-0.2014	0.499	2.699	1.077	92.86
	872	-0.1495	0.6516	3.693	0.9171	93.54
	870	-0.2731	0.6989	5.069	0.9399	94.02
	868	-0.2289	0.7599	7.153	0.8163	94.2
	866	-0.1297	0.6104	10.28	0.8469	94.2
	864	-0.3876	0.7004	14.17	1.013	94.03
	862	-0.4471	0.5096	19.14	0.9048	94.07
	860	-0.5035	0.4196	25.08	1.021	93.73
	858	-0.5112	0.6546	31.86	1.152	93.62
	856	-0.2258	0.5844	39.27	1.26	93.52
	854	-0.0366	0.6149	46.64	1.39	93.04
	852	-0.1114	0.7507	53.83	1.324	93.02
	850	-0.7339	0.8865	60.15	1.26	92.78
	848	-0.8514	0.9552	65.39	1.16	92.26
	846	-0.5875	1.134	69.38	1.668	92.08
	844	-0.3372	1.19	72.17	1.971	91.91
	842	-0.1144	0.8682	74.71	2.203	91.48
	840	-0.0015	0.9003	76.78	2.405	90.31
	838	-0.4562	1.035	78.58	1.808	87.88
	836	-0.4517	0.8255	80.45	1.68	84.09
	834	-0.2167	0.8316	81.89	1.372	78.44
	832	-0.5295	0.4745	83.81	0.8728	71.4
	830	-0.2609	0.1465	86	0.6195	62.6
	828	0.0229	0.1221	88.37	0.2319	52.35
	826	0.0214	0.0534	90.72	0.0153	41.65
	824	0.0153	0.0473	92.37	0.0153	31.52
	822	0.0092	0.0381	93.63	0.0153	22.94
	820	0.0046	0.029	94.45	0.0137	16.34
	818	0.0031	0.0214	94.95	0.0137	11.51
	816	0.0015	0.0168	95.19	0.0107	8.06
	814	0.0061	0.0137	95.21	0.0092	5.637
	812	0.0153	0.0107	95.12	0.0107	3.973
	810	0.0244	0.0092	95.04	0.0092	2.831
	808	0.0275	0.0076	95.02	0.0092	2.046
	806	0.0214	0.0061	95.12	0.0092	1.5
	804	0.0137	0.0046	95.33	0.0092	1.112
	802	0.0061	0.0031	95.64	0.0092	0.8423
	800	0.0031	0.0031	95.99	0.0092	0.6439
	798	0.0031	0.0031	96.37	0.0092	0.4959
	796	0.0031	0.0031	96.76	0.0092	0.3845
	794	0.0031	0.0031	97.02	0.0092	0.2991
	792	0.0031	0.0031	97.18	0.0107	0.2396
	790	0.0076	0.0031	97.18	0.0107	0.1923
	788	0.0183	0.0031	97.03	0.0107	0.1572
	786	0.029	0.0031	96.77	0.0107	0.1297
	784	0.0351	0.0031	96.4	0.0092	0.1053
	782	0.029	0.0031	95.94	0.0092	0.087
	780	0.0168	0.0031	95.44	0.0092	0.0732
	778	0.0092	0.0031	94.94	0.0092	0.0626
	776	0.0046	0.0031	94.46	0.0092	0.0519
	774	0.0031	0.0046	94.07	0.0092	0.0458
	772	0.0031	0.0061	93.79	0.0092	0.0381
	770	0.0046	0.0092	93.6	0.0092	0.0336
	768	0.0122	0.0122	93.52	0.0107	0.032
	766	0.0183	0.0137	93.54	0.0122	0.029
	764	0.0244	0.0137	93.68	0.0137	0.0275
	762	0.0229	0.0137	93.88	0.0137	0.0259
	760	0.0168	0.0122	94.16	0.0137	0.0229
	758	0.0107	0.0107	94.49	0.0137	0.0198
	756	0.0046	0.0092	94.78	0.0137	0.0183
	754	0.0031	0.0076	95.06	0.0137	0.0183
	752	0.0046	0.0061	95.29	0.0137	0.0168
	750	0.0046	0.0046	95.47	0.0137	0.0153
	748	0.0061	0.0031	95.58	0.0137	0.0137
	746	0.0092	0.0031	95.64	0.0153	0.0137
	744	0.0107	0.0031	95.64	0.0168	0.0137
	742	0.0122	0.0031	95.59	0.0168	0.0137
	740	0.0107	0.0031	95.55	0.0183	0.0137
	738	0.0092	0.0031	95.48	0.0198	0.0122
	736	0.0092	0.0031	95.45	0.0214	0.0107
	734	0.0092	0.0046	95.45	0.0244	0.0092
	732	0.0092	0.0061	95.52	0.0259	0.0092
	730	0.0168	0.0076	95.66	0.0305	0.0092
	728	0.0259	0.0092	95.88	0.0351	0.0092
	726	0.032	0.0076	96.16	0.0412	0.0092
	724	0.032	0.0076	96.41	0.0488	0.0092
	722	0.0244	0.0061	96.53	0.058	0.0092
	720	0.0168	0.0046	96.34	0.0702	0.0092
	718	0.0122	0.0046	95.64	0.0885	0.0092
	716	0.0092	0.0031	94.09	0.1129	0.0092
	714	0.0107	0.0031	91.4	0.1495	0.0076
	712	0.0107	0.0031	87.18	0.2029	0.0076
