wl u*
1100 0.5524
1098 0.4974
1096 0.4303
1094 0.3922
1092 0.3677
1090 0.3357
1088 0.3052
1086 0.2838
1084 0.3006
1082 0.2975
1080 0.2441
1078 0.235
1076 0.2548
1074 0.2426
1072 0.2106
1070 0.1968
1068 0.1648
1066 0.1419
1064 0.1358
1062 0.1404
1060 0.1648
1058 0.1114
1056 0.1053
1054 0.1221
1052 0.0992
1050 0.1236
1048 0.1068
1046 0.0687
1044 0.0977
1042 0.1343
1040 0.1114
1038 0.0961
1036 0.1343
1034 0.1129
1032 0.061
1030 0.0504
1028 0.0412
1026 0.0366
1024 0.0412
1022 0.0381
1020 -0.0092
1018 -0.032
1016 0.0031
1014 0.0229
1012 0.032
1010 0.0107
1008 0.0153
1006 0.0198
1004 0.0122
1002 0.0336
1000 -0.0092
998 -0.0412
996 -0.0504
994 -0.0473
992 0.0137
990 0.0229
988 -0.0153
986 -0.0153
984 -0.0519
982 -0.1053
980 -0.0748
978 0.0259
976 0.0198
974 -0.0336
972 -0.0214
970 -0.0336
968 0
966 -0.0122
964 -0.0122
962 0.0351
960 0.0549
958 0.0931
956 0.0366
954 -0.0076
952 0.087
950 0.1099
948 0.1343
946 0.2319
944 0.206
942 0.2365
940 0.2884
938 0.2472
936 0.2518
934 0.267
932 0.3067
930 0.1984
928 0.1343
926 0.2014
924 0.0153
922 -0.0397
920 0.0183
918 -0.1373
916 -0.1282
914 0.0336
912 -0.0488
910 -0.2151
908 -0.0458
906 0.0763
904 -0.1221
902 -0.1923
900 -0.1419
898 -0.1785
896 -0.0626
894 0.0443
892 0.0153
890 -0.0366
888 -0.1602
886 -0.1663
884 -0.1541
882 -0.0763
880 -0.1495
878 -0.4303
876 -0.4608
874 -0.2014
872 -0.1495
870 -0.2731
868 -0.2289
866 -0.1297
864 -0.3876
862 -0.4471
860 -0.5035
858 -0.5112
856 -0.2258
854 -0.0366
852 -0.1114
850 -0.7339
848 -0.8514
846 -0.5875
844 -0.3372
842 -0.1144
840 -0.0015
838 -0.4562
836 -0.4517
834 -0.2167
832 -0.5295
830 -0.2609
828 0.0229
826 0.0214
824 0.0153
822 0.0092
820 0.0046
818 0.0031
816 0.0015
814 0.0061
812 0.0153
810 0.0244
808 0.0275
806 0.0214
804 0.0137
802 0.0061
800 0.0031
798 0.0031
796 0.0031
794 0.0031
792 0.0031
790 0.0076
788 0.0183
786 0.029
784 0.0351
782 0.029
780 0.0168
778 0.0092
776 0.0046
774 0.0031
772 0.0031
770 0.0046
768 0.0122
766 0.0183
764 0.0244
762 0.0229
760 0.0168
758 0.0107
756 0.0046
754 0.0031
752 0.0046
750 0.0046
748 0.0061
746 0.0092
744 0.0107
742 0.0122
740 0.0107
738 0.0092
736 0.0092
734 0.0092
732 0.0092
730 0.0168
728 0.0259
726 0.032
724 0.032
722 0.0244
720 0.0168
718 0.0122
716 0.0092
714 0.0107
712 0.0107
710 0.0107
708 0.0107
706 0.0107
704 0.0137
702 0.0137
700 0.0137
698 0.0137
696 0.0153
694 0.0198
692 0.0214
690 0.0229
688 0.0198
686 0.0183
684 0.0183
682 0.0183
680 0.0183
678 0.0183
676 0.0183
674 0.0198
672 0.0214
670 0.0244
668 0.029
666 0.0336
664 0.0366
662 0.0366
660 0.0366
658 0.0366
656 0.0381
654 0.0412
652 0.0443
650 0.0519
648 0.0641
646 0.0854
644 0.1175
642 0.1678
640 0.2243
638 0.2625
636 0.264
634 0.2243
632 0.1678
630 0.1175
628 0.0854
626 0.0702
624 0.0671
622 0.0717
620 0.0839
618 0.1068
616 0.1404
614 0.1694
612 0.1846
610 0.1785
608 0.1556
606 0.1251
604 0.0977
602 0.0793
600 0.0717
598 0.0687
596 0.0702
594 0.0778
592 0.0916
590 0.1129
588 0.1358
586 0.1511
584 0.1556
582 0.1495
580 0.1389
578 0.1312
576 0.1343
574 0.145
572 0.1617
570 0.1862
568 0.2258
566 0.2777
564 0.3311
562 0.3738
560 0.3906
558 0.3784
556 0.3418
554 0.2914
552 0.2457
550 0.2106
548 0.1923
546 0.1923
544 0.2075
542 0.2335
540 0.2579
538 0.2731
536 0.2716
534 0.2563
532 0.2304
530 0.1999
528 0.1846
526 0.1938
524 0.2365
522 0.3159
520 0.4257
518 0.56
516 0.7065
514 0.8514
512 0.9949
510 1.137
508 1.277
506 1.407
504 1.489
502 1.486
500 1.376
498 1.176
496 0.9369
494 0.7111
492 0.5325
490 0.4059
488 0.3174
486 0.2533
484 0.2045
482 0.1709
480 0.148
478 0.1297
476 0.1129
474 0.1038
472 0.0946
470 0.087
468 0.0839
466 0.0793
464 0.0763
462 0.0763
460 0.0778
458 0.0809
456 0.0839
454 0.0916
452 0.0977
450 0.1053
448 0.1129
446 0.1221
444 0.1358
442 0.1511
440 0.1724
438 0.2029
436 0.2441
434 0.3036
432 0.3906
430 0.5295
428 0.7492
426 1.111
424 1.727
422 2.805
420 4.765
418 8.371
416 14.56
414 23.86
412 35.63
410 47.98
408 58.8
406 66.59
404 71.23
402 73.49
400 74.16
398 73.84
396 72.77
394 71.86
392 71.99
390 73.36
388 75
386 75.28
384 73.18
382 68.9
380 64.05
378 60.01
376 57.97
374 58.43
372 61.01
370 65.31
368 69.66
366 72.65
364 74.04
362 74.14
360 74.78
358 76.89
356 78.63
354 78.95
352 77.7
350 75.04
348 71.85
346 68.58
344 66.06
342 64.03
340 60.44
338 53.45
336 42.41
334 29.12
332 17.01
330 8.403
328 3.697
326 1.727
324 0.9995
322 0.6729
320 0.4745
318 0.3235
316 0.2075
314 0.1282
312 0.0763
310 0.0504
308 0.0351
306 0.0275
304 0.0229
302 0.0183
300 0.0153
