# lambda(A)	T%
9412.00	0
9415.00	0.0293865
9418.00	0.042363749
9421.00	0.028431001
9424.00	0.03353025
9427.00	0.038658749
9430.00	0.01598025
9433.00	0.02688075
9436.00	0.006525675
9439.00	0.02163525
9442.00	0.036699001
9445.00	0.023673
9448.00	0.030819749
9451.00	0.026442
9454.00	0.023127
9457.00	0.019831501
9460.00	0.026188501
9463.00	0.01342575
9466.00	0.0435825
9469.00	0.029152501
9472.00	0.014703
9475.00	0.02099175
9478.00	0.034856249
9481.00	0.02222025
9484.00	0.0201045
9487.00	0.017979001
9490.00	0.056549999
9493.00	0.047433751
9496.00	0.058451252
9499.00	0.052923
9502.00	0.0473655
9505.00	0.04097925
9508.00	0.053810251
9511.00	0.0536445
9514.00	0.065871002
9517.00	0.078038998
9520.00	0.06857175
9523.00	0.096661498
9526.00	0.091874252
9529.00	0.109102502
9532.00	0.126359997
9535.00	0.118365005
9538.00	0.123434998
9541.00	0.132209997
9544.00	0.140497503
9547.00	0.148687497
9550.00	0.163020004
9553.00	0.172184994
9556.00	0.178424997
9559.00	0.184177495
9562.00	0.190027505
9565.00	0.194902509
9568.00	0.224055003
9571.00	0.202409998
9574.00	0.207187511
9577.00	0.212062503
9580.00	0.217522499
9583.00	0.238289998
9586.00	0.246674994
9589.00	0.248235006
9592.00	0.249697494
9595.00	0.2832375
9598.00	0.305954991
9601.00	0.306637497
9604.00	0.338422489
9607.00	0.370110003
9610.00	0.37693501
9613.00	0.401017489
9616.00	0.441382478
9619.00	0.483892484
9622.00	0.526500014
9625.00	0.546292505
9628.00	0.601964998
9631.00	0.674115003
9634.00	0.732322515
9637.00	0.790627459
9640.00	0.887444993
9643.00	0.961837491
9646.00	1.059825034
9649.00	1.194374969
9652.00	1.329899956
9655.00	1.477125033
9658.00	1.650675084
9661.00	1.844700063
9664.00	2.082600058
9667.00	2.320500053
9670.00	2.569125085
9673.00	2.887949925
9676.00	3.207750181
9679.00	3.572399961
9682.00	3.93607487
9685.00	4.368975079
9688.00	4.825275103
9691.00	5.283524869
9694.00	5.824649949
9697.00	6.366750263
9700.00	6.998550352
9703.00	7.573799919
9706.00	8.179274853
9709.00	8.853000216
9712.00	9.527699724
9715.00	10.21800008
9718.00	10.91025017
9721.00	11.7097499
9724.00	12.57749934
9727.00	13.45499966
9730.00	14.32274982
9733.00	15.25874969
9736.00	16.29224975
9739.00	17.42325
9742.00	18.55425026
9745.00	19.94850062
9748.00	21.33299936
9751.00	22.74675004
9754.00	24.47249874
9757.00	26.20799907
9760.00	28.27499919
9763.00	30.37125126
9766.00	32.69174986
9769.00	35.34375116
9772.00	37.98600085
