# lambda trans 
  3600.0 0.0
  3660.0 0.0   
  3680.0 0.0080
  3700.0 0.013 
  3720.0 0.023 
  3740.0 0.04  
  3760.0 0.064 
  3780.0 0.093 
  3800.0 0.125 
  3820.0 0.158 
  3840.0 0.192 
  3860.0 0.231 
  3880.0 0.277 
  3900.0 0.33  
  3920.0 0.394 
  3940.0 0.473 
  3960.0 0.572 
  3980.0 0.704 
  4000.0 0.901 
  4020.0 1.255 
  4040.0 1.936 
  4060.0 3.268 
  4080.0 5.881 
  4100.0 10.431
  4120.0 17.247
  4140.0 26.083
  4160.0 35.52 
  4180.0 43.842
  4200.0 49.707
  4220.0 52.909
  4240.0 54.2  
  4260.0 54.727
  4280.0 55.327
  4300.0 56.082
  4320.0 56.533
  4340.0 56.645
  4360.0 56.446
  4380.0 56.335
  4400.0 56.519
  4420.0 57.073
  4440.0 57.712
  4460.0 58.17 
  4480.0 58.401
  4500.0 58.427
  4520.0 58.484
  4540.0 58.792
  4560.0 59.396
  4580.0 60.155
  4600.0 60.824
  4620.0 61.192
  4640.0 61.208
  4660.0 60.906
  4680.0 60.451
  4700.0 60.14 
  4720.0 59.914
  4740.0 59.987
  4760.0 60.325
  4780.0 60.782
  4800.0 61.179
  4820.0 61.544
  4840.0 61.678
  4860.0 61.655
  4880.0 61.598
  4900.0 61.558
  4920.0 61.483
  4940.0 61.16 
  4960.0 60.406
  4980.0 59.248
  5000.0 58.01 
  5020.0 56.892
  5040.0 56.269
  5060.0 55.933
  5080.0 55.574
  5100.0 55.012
  5120.0 54.317
  5140.0 53.49 
  5160.0 52.79 
  5180.0 52.371
  5200.0 52.362
  5220.0 52.694
  5240.0 53.297
  5260.0 53.828
  5280.0 53.841
  5300.0 53.282
  5320.0 52.534
  5340.0 51.87 
  5360.0 51.75 
  5380.0 52.014
  5400.0 52.166
  5420.0 51.665
  5440.0 50.119
  5460.0 47.655
  5480.0 44.799
  5500.0 42.179
  5520.0 39.977
  5540.0 38.072
  5560.0 35.892
  5580.0 32.928
  5600.0 28.995
  5620.0 24.292
  5640.0 19.169
  5660.0 14.185
  5680.0 9.863 
  5700.0 6.456 
  5720.0 4.02  
  5740.0 2.43  
  5760.0 1.434 
  5780.0 0.825 
  5800.0 0.472 
  5820.0 0.277 
  5840.0 0.166 
  5860.0 0.105 
  5880.0 0.075 
  5900.0 0.062 
  5920.0 0.058 
  5940.0 0.057 
  5960.0 0.055 
  5980.0 0.052 
  6000.0 0.045 
  6020.0 0.036 
  6040.0 0.025 
  6060.0 0.016 
  6080.0 0.01  
  6100.0 0.0060
  6120.0 0.0040
  6140.0 0.0040
  6160.0 0.0040
  6180.0 0.0040
  6200.0 0.0050
  6220.0 0.0080
  6240.0 0.012 
  6260.0 0.017 
  6280.0 0.021 
  6300.0 0.022 
  6320.0 0.019 
  6340.0 0.014 
  6360.0 0.0090
  6380.0 0.0050
  6400.0 0.0040
  6420.0 0.0030
  6440.0 0.0030
  6460.0 0.0020
  6480.0 0.0020
  6500.0 0.0030
  6520.0 0.0040
  6540.0 0.0090
  6560.0 0.014 
  6580.0 0.022 
  6600.0 0.028 
  6620.0 0.028 
  6640.0 0.024 
  6660.0 0.016 
  6680.0 0.0080
  6700.0 0.0040
  6720.0 0.0   
  7000.0 0.0
