# lambda    trans   
  14000.0   0.000
  14270.0   0.000
  14290.0   0.056   
  14295.0   0.052   
  14300.0   0.056   
  14305.0   0.078   
  14310.0   0.089   
  14315.0   0.084   
  14320.0   0.092   
  14325.0   0.073   
  14330.0   0.063   
  14335.0   0.06    
  14340.0   0.081   
  14345.0   0.063   
  14350.0   0.049   
  14355.0   0.043   
  14360.0   0.046   
  14365.0   0.049   
  14370.0   0.032   
  14375.0   0.032   
  14380.0   0.024   
  14385.0   0.017   
  14390.0   0.024   
  14395.0   0.027   
  14400.0   0.024   
  14405.0   0.027   
  14410.0   0.053   
  14415.0   0.046   
  14420.0   0.061   
  14425.0   0.05    
  14430.0   0.05    
  14435.0   0.046   
  14440.0   0.073   
  14445.0   0.076   
  14450.0   0.058   
  14455.0   0.073   
  14460.0   0.076   
  14465.0   0.095   
  14470.0   0.102   
  14475.0   0.113   
  14480.0   0.11    
  14485.0   0.117   
  14490.0   0.133   
  14495.0   0.148   
  14500.0   0.14    
  14505.0   0.156   
  14510.0   0.163   
  14515.0   0.194   
  14520.0   0.206   
  14525.0   0.214   
  14530.0   0.229   
  14535.0   0.218   
  14540.0   0.203   
  14545.0   0.218   
  14550.0   0.233   
  14555.0   0.235   
  14560.0   0.215   
  14565.0   0.235   
  14570.0   0.262   
  14575.0   0.285   
  14580.0   0.294   
  14585.0   0.307   
  14590.0   0.314   
  14595.0   0.354   
  14600.0   0.417   
  14605.0   0.433   
  14610.0   0.435   
  14615.0   0.487   
  14620.0   0.534   
  14625.0   0.575   
  14630.0   0.612   
  14635.0   0.653   
  14640.0   0.671   
  14645.0   0.732   
  14650.0   0.813   
  14655.0   0.856   
  14660.0   0.92    
  14665.0   0.995   
  14670.0   1.085   
  14675.0   1.167   
  14680.0   1.262   
  14685.0   1.393   
  14690.0   1.506   
  14695.0   1.646   
  14700.0   1.828   
  14705.0   2.002   
  14710.0   2.194   
  14715.0   2.435   
  14720.0   2.689   
  14725.0   2.959   
  14730.0   3.279   
  14735.0   3.636   
  14740.0   4.005   
  14745.0   4.411   
  14750.0   4.855   
  14755.0   5.325   
  14760.0   5.824   
  14765.0   6.378   
  14770.0   6.964   
  14775.0   7.611   
  14780.0   8.322   
  14785.0   9.1     
  14790.0   9.918   
  14795.0   10.808  
  14800.0   11.777  
  14805.0   12.807  
  14810.0   13.87   
  14815.0   15.03   
  14820.0   16.202  
  14825.0   17.488  
  14830.0   18.848  
  14835.0   20.308  
  14840.0   21.852  
  14845.0   23.46   
  14850.0   25.143  
  14855.0   26.91   
  14860.0   28.763  
  14865.0   30.73   
  14870.0   32.729  
  14875.0   34.789  
  14880.0   36.913  
  14885.0   39.175  
  14890.0   41.461  
  14895.0   43.822  
  14900.0   46.227  
  14905.0   48.683  
  14910.0   51.155  
  14915.0   53.667  
  14920.0   56.157  
  14925.0   58.624  
  14930.0   61.078  
  14935.0   63.483  
  14940.0   65.877  
  14945.0   68.153  
  14950.0   70.401  
  14955.0   72.548  
  14960.0   74.631  
  14965.0   76.593  
  14970.0   78.485  
  14975.0   80.211  
  14980.0   81.795  
  14985.0   83.258  
  14990.0   84.634  
  14995.0   85.812  
  15000.0   86.888  
  15005.0   87.808  
  15010.0   88.66   
  15015.0   89.384  
  15020.0   90.03   
  15025.0   90.541  
  15030.0   90.953  
  15035.0   91.289  
  15040.0   91.565  
  15045.0   91.786  
  15050.0   91.949  
  15055.0   92.05   
  15060.0   92.175  
  15065.0   92.23   
  15070.0   92.255  
  15075.0   92.268  
  15080.0   92.252  
  15085.0   92.235  
  15090.0   92.204  
  15095.0   92.197  
  15100.0   92.165  
  15105.0   92.183  
  15110.0   92.216  
  15115.0   92.242  
  15120.0   92.328  
  15125.0   92.358  
  15130.0   92.407  
  15135.0   92.455  
  15140.0   92.488  
  15145.0   92.496  
  15150.0   92.531  
  15155.0   92.641  
  15160.0   92.682  
  15165.0   92.751  
  15170.0   92.79   
  15175.0   92.828  
  15180.0   92.892  
  15185.0   92.966  
  15190.0   93.015  
  15195.0   92.993  
  15200.0   92.993  
  15205.0   92.967  
  15210.0   92.97   
  15215.0   93.018  
  15220.0   93.022  
  15225.0   93.028  
  15230.0   93.04   
  15235.0   93.036  
  15240.0   93.036  
  15245.0   93.025  
  15250.0   93.015  
  15255.0   92.955  
  15260.0   92.902  
  15265.0   92.825  
  15270.0   92.747  
  15275.0   92.693  
  15280.0   92.668  
  15285.0   92.659  
  15290.0   92.615  
  15295.0   92.601  
  15300.0   92.574  
  15305.0   92.545  
  15310.0   92.535  
  15315.0   92.529  
  15320.0   92.476  
  15325.0   92.433  
  15330.0   92.393  
  15335.0   92.339  
  15340.0   92.294  
  15345.0   92.261  
  15350.0   92.23   
  15355.0   92.204  
  15360.0   92.186  
  15365.0   92.151  
  15370.0   92.14   
  15375.0   92.116  
  15380.0   92.108  
  15385.0   92.11   
  15390.0   92.096  
  15395.0   92.07   
  15400.0   92.038  
  15405.0   92.021  
  15410.0   92.021  
  15415.0   92.012  
  15420.0   91.994  
  15425.0   91.966  
  15430.0   91.94   
  15435.0   91.925  
  15440.0   91.93   
  15445.0   91.927  
  15450.0   91.902  
  15455.0   91.914  
  15460.0   91.916  
  15465.0   91.946  
  15470.0   91.951  
  15475.0   91.994  
  15480.0   92.014  
  15485.0   92.033  
  15490.0   92.052  
  15495.0   92.067  
  15500.0   92.096  
  15505.0   92.114  
  15510.0   92.168  
  15515.0   92.169  
  15520.0   92.232  
  15525.0   92.319  
  15530.0   92.393  
  15535.0   92.453  
  15540.0   92.558  
  15545.0   92.651  
  15550.0   92.715  
  15555.0   92.802  
  15560.0   92.862  
  15565.0   92.87   
  15570.0   92.918  
  15575.0   92.987  
  15580.0   92.998  
  15585.0   93.01   
  15590.0   93.036  
  15595.0   93.071  
  15600.0   93.089  
  15605.0   93.178  
  15610.0   93.224  
  15615.0   93.268  
  15620.0   93.304  
  15625.0   93.405  
  15630.0   93.503  
  15635.0   93.573  
  15640.0   93.666  
  15645.0   93.729  
  15650.0   93.84   
  15655.0   93.912  
  15660.0   94.046  
  15665.0   94.115  
  15670.0   94.135  
  15675.0   94.214  
  15680.0   94.275  
  15685.0   94.337  
  15690.0   94.373  
  15695.0   94.38   
  15700.0   94.394  
  15705.0   94.42   
  15710.0   94.51   
  15715.0   94.556  
  15720.0   94.614  
  15725.0   94.676  
  15730.0   94.716  
  15735.0   94.803  
  15740.0   94.875  
  15745.0   94.917  
  15750.0   94.975  
  15755.0   95.027  
  15760.0   95.045  
  15765.0   95.07   
  15770.0   95.157  
  15775.0   95.224  
  15780.0   95.291  
  15785.0   95.36   
  15790.0   95.401  
  15795.0   95.465  
  15800.0   95.543  
  15805.0   95.61   
  15810.0   95.657  
  15815.0   95.702  
  15820.0   95.734  
  15825.0   95.757  
  15830.0   95.775  
  15835.0   95.789  
  15840.0   95.84   
  15845.0   95.862  
  15850.0   95.856  
  15855.0   95.895  
  15860.0   95.914  
  15865.0   95.981  
  15870.0   96.042  
  15875.0   96.068  
  15880.0   96.078  
  15885.0   96.153  
  15890.0   96.202  
  15895.0   96.255  
  15900.0   96.284  
  15905.0   96.315  
  15910.0   96.35   
  15915.0   96.414  
  15920.0   96.445  
  15925.0   96.428  
  15930.0   96.434  
  15935.0   96.428  
  15940.0   96.486  
  15945.0   96.519  
  15950.0   96.524  
  15955.0   96.564  
  15960.0   96.599  
  15965.0   96.649  
  15970.0   96.698  
  15975.0   96.709  
  15980.0   96.695  
  15985.0   96.695  
  15990.0   96.738  
  15995.0   96.725  
  16000.0   96.736  
  16005.0   96.754  
  16010.0   96.753  
  16015.0   96.794  
  16020.0   96.803  
  16025.0   96.808  
  16030.0   96.791  
  16035.0   96.823  
  16040.0   96.846  
  16045.0   96.848  
  16050.0   96.921  
  16055.0   96.933  
  16060.0   96.974  
  16065.0   96.997  
  16070.0   97.015  
  16075.0   96.974  
  16080.0   96.985  
  16085.0   96.97   
  16090.0   96.913  
  16095.0   96.922  
  16100.0   96.919  
  16105.0   96.921  
  16110.0   96.93   
  16115.0   96.95   
  16120.0   96.935  
  16125.0   96.944  
  16130.0   96.948  
  16135.0   96.925  
  16140.0   96.922  
  16145.0   96.886  
  16150.0   96.869  
  16155.0   96.86   
  16160.0   96.8    
  16165.0   96.761  
  16170.0   96.716  
  16175.0   96.669  
  16180.0   96.651  
  16185.0   96.678  
  16190.0   96.672  
  16195.0   96.648  
  16200.0   96.663  
  16205.0   96.669  
  16210.0   96.667  
  16215.0   96.68   
  16220.0   96.646  
  16225.0   96.568  
  16230.0   96.548  
  16235.0   96.524  
  16240.0   96.506  
  16245.0   96.436  
  16250.0   96.396  
  16255.0   96.352  
  16260.0   96.329  
  16265.0   96.317  
  16270.0   96.277  
  16275.0   96.24   
  16280.0   96.194  
  16285.0   96.207  
  16290.0   96.162  
  16295.0   96.092  
  16300.0   96.039  
  16305.0   95.996  
  16310.0   95.959  
  16315.0   95.94   
  16320.0   95.937  
  16325.0   95.912  
  16330.0   95.963  
  16335.0   95.976  
  16340.0   95.958  
  16345.0   95.93   
  16350.0   95.863  
  16355.0   95.845  
  16360.0   95.798  
  16365.0   95.786  
  16370.0   95.724  
  16375.0   95.697  
  16380.0   95.705  
  16385.0   95.726  
  16390.0   95.741  
  16395.0   95.708  
  16400.0   95.697  
  16405.0   95.663  
  16410.0   95.634  
  16415.0   95.583  
  16420.0   95.528  
  16425.0   95.439  
  16430.0   95.406  
  16435.0   95.381  
  16440.0   95.366  
  16445.0   95.37   
  16450.0   95.323  
