# lambda   trans   
  5800.0   0.0
  6000.0   0.0     
  6020.0   0.0020  
  6040.0   0.0020  
  6060.0   0.0020  
  6080.0   0.0020  
  6100.0   0.0020  
  6120.0   0.0020  
  6140.0   0.0020  
  6160.0   0.0020  
  6180.0   0.0020  
  6200.0   0.0020  
  6220.0   0.0020  
  6240.0   0.0020  
  6260.0   0.0030  
  6280.0   0.0030  
  6300.0   0.0050  
  6320.0   0.0060  
  6340.0   0.0070  
  6360.0   0.0080  
  6380.0   0.0090  
  6400.0   0.011   
  6420.0   0.014   
  6440.0   0.016   
  6460.0   0.02    
  6480.0   0.024   
  6500.0   0.03    
  6520.0   0.038   
  6540.0   0.046   
  6560.0   0.056   
  6580.0   0.069   
  6600.0   0.085   
  6620.0   0.107   
  6640.0   0.134   
  6660.0   0.169   
  6680.0   0.215   
  6700.0   0.273   
  6720.0   0.351   
  6740.0   0.455   
  6760.0   0.594   
  6780.0   0.781   
  6800.0   1.032   
  6820.0   1.374   
  6840.0   1.846   
  6860.0   2.5     
  6880.0   3.4     
  6900.0   4.641   
  6920.0   6.327   
  6940.0   8.579   
  6960.0   11.497  
  6980.0   15.133  
  7000.0   19.431  
  7020.0   24.255  
  7040.0   29.371  
  7060.0   34.438  
  7080.0   39.107  
  7100.0   43.058  
  7120.0   46.106  
  7140.0   48.213  
  7160.0   49.51   
  7180.0   50.201  
  7200.0   50.455  
  7220.0   50.454  
  7240.0   50.282  
  7260.0   50.032  
  7280.0   49.776  
  7300.0   49.537  
  7320.0   49.341  
  7340.0   49.197  
  7360.0   49.091  
  7380.0   48.998  
  7400.0   48.9    
  7420.0   48.64   
  7440.0   48.413  
  7460.0   48.151  
  7480.0   47.851  
  7500.0   47.51   
  7520.0   47.155  
  7540.0   46.791  
  7560.0   46.372  
  7580.0   45.952  
  7600.0   45.509  
  7620.0   45.119  
  7640.0   44.772  
  7660.0   44.436  
  7680.0   44.138  
  7700.0   43.887  
  7720.0   43.689  
  7740.0   43.546  
  7760.0   43.474  
  7780.0   43.414  
  7800.0   43.342  
  7820.0   43.137  
  7840.0   42.917  
  7860.0   42.648  
  7880.0   42.35   
  7900.0   41.97   
  7920.0   41.538  
  7940.0   41.056  
  7960.0   40.518  
  7980.0   39.907  
  8000.0   39.32   
  8020.0   38.889  
  8040.0   38.48   
  8060.0   38.117  
  8080.0   37.793  
  8100.0   37.518  
  8120.0   37.136  
  8140.0   36.766  
  8160.0   36.347  
  8180.0   35.829  
  8200.0   35.231  
  8220.0   34.517  
  8240.0   33.648  
  8260.0   32.655  
  8280.0   31.431  
  8300.0   30.207  
  8320.0   28.962  
  8340.0   27.828  
  8360.0   26.88   
  8380.0   25.807  
  8400.0   24.784  
  8420.0   23.803  
  8440.0   22.688  
  8460.0   21.52   
  8480.0   20.008  
  8500.0   18.15   
  8520.0   16.012  
  8540.0   13.675  
  8560.0   11.348  
  8580.0   9.073   
  8600.0   7.037   
  8620.0   5.289   
  8640.0   3.856   
  8660.0   2.754   
  8680.0   1.885   
  8700.0   1.314   
  8720.0   0.942   
  8740.0   0.676   
  8760.0   0.578   
  8780.0   0.469   
  8800.0   0.333   
  8820.0   0.275   
  8840.0   0.209   
  8860.0   0.128   
  8880.0   0.095   
  8900.0   0.079   
  8920.0   0.079   
  8940.0   0.077   
  8960.0   0.086   
  8980.0   0.083   
  9000.0   0.083   
  9020.0   0.102   
  9040.0   0.085   
  9060.0   0.078   
  9080.0   0.065   
  9100.0   0.049   
  9120.0   0.04    
  9140.0   0.025   
  9160.0   0.012   
  9180.0   0.016   
  9200.0   0.019   
  9220.0   0.018   
  9240.0   0.026   
  9260.0   0.025   
  9280.0   0.025   
  9300.0   0.038   
  9320.0   0.03    
  9340.0   0.03    
  9360.0   0.026   
  9380.0   0.019   
  9400.0   0.017   
  9420.0   0.018   
  9440.0   0.019   
  9460.0   0.01    
  9480.0   0.011   
  9500.0   0.0060  
  9520.0   0.0020  
  9540.0   0.0040  
  9560.0   0.0070  
  9580.0   0.0080  
  9600.0   0.01    
  9620.0   0.011   
  9640.0   0.012   
  9660.0   0.014   
  9680.0   0.014   
  9700.0   0.013   
  9720.0   0.0090  
  9740.0   0.0070  
  9760.0   0.0070  
  9780.0   0.0060  
  9800.0   0.0050  
  9820.0   0.0060  
  9840.0   0.0030  
  9860.0   0.0030  
  9880.0   0.0030  
  9900.0   0.0040  
  9920.0   0.0030  
  9940.0   0.0040  
  9960.0   0.0020  
  9980.0   0.0020  
  10000.0  0.0     
  10500.0  0.0
