# lambda    trans    
  19000.0   0.00
  19250.0   0.00
  19265.0   0.266    
  19270.0   0.183    
  19275.0   0.264    
  19280.0   0.182    
  19285.0   0.243    
  19290.0   0.223    
  19295.0   0.223    
  19300.0   0.284    
  19305.0   0.304    
  19310.0   0.406    
  19315.0   0.409    
  19320.0   0.511    
  19325.0   0.43     
  19330.0   0.471    
  19335.0   0.43     
  19340.0   0.349    
  19345.0   0.247    
  19350.0   0.104    
  19355.0   0.061    
  19360.0   -0.0020  
  19365.0   0.02     
  19370.0   0.06     
  19375.0   0.04     
  19380.0   -0.063   
  19385.0   -0.143   
  19390.0   -0.0020  
  19395.0   0.079    
  19400.0   0.06     
  19405.0   0.06     
  19410.0   0.099    
  19415.0   0.121    
  19420.0   0.223    
  19425.0   0.304    
  19430.0   0.243    
  19435.0   0.22     
  19440.0   0.22     
  19445.0   0.2      
  19450.0   0.34     
  19455.0   0.36     
  19460.0   0.439    
  19465.0   0.459    
  19470.0   0.499    
  19475.0   0.479    
  19480.0   0.519    
  19485.0   0.479    
  19490.0   0.417    
  19495.0   0.516    
  19500.0   0.475    
  19505.0   0.494    
  19510.0   0.592    
  19515.0   0.69     
  19520.0   0.65     
  19525.0   0.729    
  19530.0   0.69     
  19535.0   0.648    
  19540.0   0.748    
  19545.0   0.768    
  19550.0   0.688    
  19555.0   0.529    
  19560.0   0.627    
  19565.0   0.705    
  19570.0   0.665    
  19575.0   0.8      
  19580.0   0.76     
  19585.0   0.836    
  19590.0   0.912    
  19595.0   1.065    
  19600.0   1.14     
  19605.0   1.1      
  19610.0   1.176    
  19615.0   1.175    
  19620.0   1.286    
  19625.0   1.341    
  19630.0   1.338    
  19635.0   1.337    
  19640.0   1.43     
  19645.0   1.788    
  19650.0   2.036    
  19655.0   2.147    
  19660.0   2.414    
  19665.0   2.542    
  19670.0   2.733    
  19675.0   3.017    
  19680.0   3.198    
  19685.0   3.363    
  19690.0   3.445    
  19695.0   3.745    
  19700.0   3.854    
  19705.0   4.198    
  19710.0   4.614    
  19715.0   4.91     
  19720.0   5.305    
  19725.0   5.614    
  19730.0   6.081    
  19735.0   6.47     
  19740.0   6.912    
  19745.0   7.405    
  19750.0   7.855    
  19755.0   8.495    
  19760.0   9.067    
  19765.0   9.669    
  19770.0   10.313   
  19775.0   11.031   
  19780.0   11.787   
  19785.0   12.569   
  19790.0   13.504   
  19795.0   14.433   
  19800.0   15.314   
  19805.0   16.231   
  19810.0   17.273   
  19815.0   18.365   
  19820.0   19.592   
  19825.0   20.816   
  19830.0   22.026   
  19835.0   23.364   
  19840.0   24.721   
  19845.0   26.32    
  19850.0   27.745   
  19855.0   29.373   
  19860.0   30.856   
  19865.0   32.558   
  19870.0   34.177   
  19875.0   35.803   
  19880.0   37.657   
  19885.0   39.348   
  19890.0   41.26    
  19895.0   43.135   
  19900.0   45.071   
  19905.0   46.964   
  19910.0   48.9     
  19915.0   50.984   
  19920.0   52.887   
  19925.0   54.913   
  19930.0   56.851   
  19935.0   58.694   
  19940.0   60.562   
  19945.0   62.231   
  19950.0   64.049   
  19955.0   65.753   
  19960.0   67.465   
  19965.0   69.043   
  19970.0   70.66    
  19975.0   72.249   
  19980.0   73.714   
  19985.0   75.146   
  19990.0   76.541   
  19995.0   77.641   
  20000.0   78.734   
  20005.0   79.851   
  20010.0   80.641   
  20015.0   81.271   
  20020.0   82.123   
  20025.0   82.812   
  20030.0   83.296   
  20035.0   83.752   
  20040.0   84.282   
  20045.0   84.595   
  20050.0   85.173   
  20055.0   85.652   
  20060.0   85.878   
  20065.0   86.235   
  20070.0   86.58    
  20075.0   86.984   
  20080.0   87.141   
  20085.0   87.198   
  20090.0   87.224   
  20095.0   87.296   
  20100.0   87.286   
  20105.0   87.238   
  20110.0   87.158   
  20115.0   87.029   
  20120.0   87.03    
  20125.0   87.23    
  20130.0   87.26    
  20135.0   87.331   
  20140.0   87.541   
  20145.0   87.787   
  20150.0   87.953   
  20155.0   88.098   
  20160.0   88.185   
  20165.0   88.136   
  20170.0   88.054   
  20175.0   87.929   
  20180.0   87.926   
  20185.0   87.735   
  20190.0   87.628   
  20195.0   87.595   
  20200.0   87.476   
  20205.0   87.413   
  20210.0   87.503   
  20215.0   87.665   
  20220.0   87.454   
  20225.0   87.392   
  20230.0   87.251   
  20235.0   86.993   
  20240.0   87.03    
  20245.0   87.074   
  20250.0   86.986   
  20255.0   86.821   
  20260.0   86.81    
  20265.0   86.717   
  20270.0   86.794   
  20275.0   86.942   
  20280.0   86.931   
  20285.0   86.989   
  20290.0   87.083   
  20295.0   87.166   
  20300.0   87.114   
  20305.0   87.231   
  20310.0   87.276   
  20315.0   87.32    
  20320.0   87.398   
  20325.0   87.18    
  20330.0   87.114   
  20335.0   87.042   
  20340.0   87.096   
  20345.0   87.074   
  20350.0   87.068   
  20355.0   87.09    
  20360.0   87.009   
  20365.0   87.108   
  20370.0   87.044   
  20375.0   87.042   
  20380.0   87.039   
  20385.0   87.039   
  20390.0   87.048   
  20395.0   86.925   
  20400.0   86.855   
  20405.0   87.051   
  20410.0   87.262   
  20415.0   87.263   
  20420.0   87.485   
  20425.0   87.503   
  20430.0   87.515   
  20435.0   87.692   
  20440.0   87.834   
  20445.0   87.573   
  20450.0   87.415   
  20455.0   87.439   
  20460.0   87.16    
  20465.0   86.964   
  20470.0   86.855   
  20475.0   86.613   
  20480.0   86.475   
  20485.0   86.533   
  20490.0   86.517   
  20495.0   86.464   
  20500.0   86.514   
  20505.0   86.751   
  20510.0   86.742   
  20515.0   86.855   
  20520.0   86.958   
  20525.0   86.974   
  20530.0   86.923   
  20535.0   87.067   
  20540.0   87.172   
  20545.0   87.181   
  20550.0   87.265   
  20555.0   87.199   
  20560.0   87.189   
  20565.0   87.309   
  20570.0   87.41    
  20575.0   87.352   
  20580.0   87.343   
  20585.0   87.375   
  20590.0   87.364   
  20595.0   87.421   
  20600.0   87.549   
  20605.0   87.517   
  20610.0   87.595   
  20615.0   87.671   
  20620.0   87.602   
  20625.0   87.437   
  20630.0   87.485   
  20635.0   87.408   
  20640.0   87.228   
  20645.0   87.047   
  20650.0   86.963   
  20655.0   87.024   
  20660.0   87.048   
  20665.0   87.138   
  20670.0   87.062   
  20675.0   87.216   
  20680.0   87.25    
  20685.0   87.283   
  20690.0   87.257   
  20695.0   87.135   
  20700.0   87.199   
  20705.0   87.196   
  20710.0   87.228   
  20715.0   87.187   
  20720.0   87.137   
  20725.0   87.181   
  20730.0   87.093   
  20735.0   87.099   
  20740.0   87.08    
  20745.0   86.914   
  20750.0   86.905   
  20755.0   86.852   
  20760.0   86.879   
  20765.0   86.824   
  20770.0   86.916   
  20775.0   86.833   
  20780.0   86.681   
  20785.0   86.963   
  20790.0   86.873   
  20795.0   86.995   
  20800.0   86.951   
  20805.0   86.978   
  20810.0   87.218   
  20815.0   87.23    
  20820.0   87.283   
  20825.0   87.148   
  20830.0   87.326   
  20835.0   87.39    
  20840.0   87.46    
  20845.0   87.61    
  20850.0   87.421   
  20855.0   87.611   
  20860.0   87.808   
  20865.0   87.816   
  20870.0   87.801   
  20875.0   87.785   
  20880.0   87.944   
  20885.0   87.869   
  20890.0   87.883   
  20895.0   87.801   
  20900.0   87.747   
  20905.0   87.689   
  20910.0   87.515   
  20915.0   87.407   
  20920.0   87.259   
  20925.0   87.16    
  20930.0   87.143   
  20935.0   86.938   
  20940.0   86.877   
  20945.0   87.166   
  20950.0   87.463   
  20955.0   87.526   
  20960.0   87.52    
  20965.0   87.717   
  20970.0   87.666   
  20975.0   87.802   
  20980.0   87.857   
  20985.0   87.563   
  20990.0   87.36    
  20995.0   87.37    
  21000.0   87.46    
  21005.0   87.437   
  21010.0   87.625   
  21015.0   87.708   
  21020.0   87.708   
  21025.0   87.605   
  21030.0   87.608   
  21035.0   87.662   
  21040.0   87.599   
  21045.0   87.564   
  21050.0   87.364   
  21055.0   87.283   
  21060.0   87.328   
  21065.0   87.556   
  21070.0   87.721   
  21075.0   87.698   
  21080.0   87.852   
  21085.0   87.915   
  21090.0   87.866   
  21095.0   87.901   
  21100.0   87.859   
  21105.0   87.935   
  21110.0   87.859   
  21115.0   87.749   
  21120.0   87.605   
  21125.0   87.521   
  21130.0   87.619   
  21135.0   87.73    
  21140.0   87.639   
  21145.0   87.587   
  21150.0   87.505   
  21155.0   87.526   
  21160.0   87.569   
