# lambda   trans   
  3700.0   0.0
  3800.0   0.0     
  3820.0   0.0060  
  3840.0   0.012   
  3860.0   0.023   
  3880.0   0.039   
  3900.0   0.06    
  3920.0   0.08    
  3940.0   0.099   
  3960.0   0.119   
  3980.0   0.141   
  4000.0   0.168   
  4020.0   0.199   
  4040.0   0.23    
  4060.0   0.261   
  4080.0   0.288   
  4100.0   0.312   
  4120.0   0.327   
  4140.0   0.337   
  4160.0   0.336   
  4180.0   0.329   
  4200.0   0.316   
  4220.0   0.297   
  4240.0   0.281   
  4260.0   0.264   
  4280.0   0.249   
  4300.0   0.237   
  4320.0   0.23    
  4340.0   0.23    
  4360.0   0.234   
  4380.0   0.233   
  4400.0   0.226   
  4420.0   0.218   
  4440.0   0.215   
  4460.0   0.221   
  4480.0   0.226   
  4500.0   0.225   
  4520.0   0.218   
  4540.0   0.214   
  4560.0   0.221   
  4580.0   0.238   
  4600.0   0.258   
  4620.0   0.271   
  4640.0   0.275   
  4660.0   0.275   
  4680.0   0.279   
  4700.0   0.287   
  4720.0   0.295   
  4740.0   0.3     
  4760.0   0.301   
  4780.0   0.302   
  4800.0   0.304   
  4820.0   0.308   
  4840.0   0.307   
  4860.0   0.296   
  4880.0   0.276   
  4900.0   0.252   
  4920.0   0.232   
  4940.0   0.215   
  4960.0   0.204   
  4980.0   0.193   
  5000.0   0.181   
  5020.0   0.168   
  5040.0   0.158   
  5060.0   0.148   
  5080.0   0.141   
  5100.0   0.134   
  5120.0   0.128   
  5140.0   0.122   
  5160.0   0.118   
  5180.0   0.116   
  5200.0   0.116   
  5220.0   0.119   
  5240.0   0.127   
  5260.0   0.137   
  5280.0   0.153   
  5300.0   0.175   
  5320.0   0.205   
  5340.0   0.245   
  5360.0   0.298   
  5380.0   0.373   
  5400.0   0.477   
  5420.0   0.629   
  5440.0   0.855   
  5460.0   1.194   
  5480.0   1.698   
  5500.0   2.434   
  5520.0   3.476   
  5540.0   4.919   
  5560.0   6.847   
  5580.0   9.335   
  5600.0   12.435  
  5620.0   16.199  
  5640.0   20.553  
  5660.0   25.384  
  5680.0   30.457  
  5700.0   35.381  
  5720.0   39.641  
  5740.0   42.939  
  5760.0   45.059  
  5780.0   45.991  
  5800.0   45.977  
  5820.0   45.52   
  5840.0   44.928  
  5860.0   44.505  
  5880.0   44.453  
  5900.0   44.709  
  5920.0   45.13   
  5940.0   45.577  
  5960.0   45.919  
  5980.0   46.188  
  6000.0   46.477  
  6020.0   46.796  
  6040.0   47.315  
  6060.0   48.01   
  6080.0   48.835  
  6100.0   49.681  
  6120.0   50.594  
  6140.0   51.354  
  6160.0   51.907  
  6180.0   52.287  
  6200.0   52.605  
  6220.0   52.926  
  6240.0   53.299  
  6260.0   53.722  
  6280.0   54.102  
  6300.0   54.413  
  6320.0   54.516  
  6340.0   54.495  
  6360.0   54.376  
  6380.0   54.153  
  6400.0   53.848  
  6420.0   53.57   
  6440.0   53.224  
  6460.0   52.827  
  6480.0   52.436  
  6500.0   51.998  
  6520.0   51.36   
  6540.0   50.538  
  6560.0   49.421  
  6580.0   48.012  
  6600.0   46.31   
  6620.0   44.481  
  6640.0   42.528  
  6660.0   40.614  
  6680.0   38.944  
  6700.0   37.702  
  6720.0   36.971  
  6740.0   36.935  
  6760.0   37.635  
  6780.0   39.037  
  6800.0   40.681  
  6820.0   41.599  
  6840.0   40.524  
  6860.0   36.573  
  6880.0   29.962  
  6900.0   21.95   
  6920.0   14.304  
  6940.0   8.368   
  6960.0   4.52    
  6980.0   2.393   
  7000.0   1.324   
  7020.0   0.787   
  7040.0   0.496   
  7060.0   0.324   
  7080.0   0.218   
  7100.0   0.151   
  7120.0   0.107   
  7140.0   0.079   
  7160.0   0.059   
  7180.0   0.046   
  7200.0   0.037   
  7220.0   0.03    
  7240.0   0.025   
  7260.0   0.021   
  7280.0   0.018   
  7300.0   0.016   
  7320.0   0.013   
  7340.0   0.013   
  7360.0   0.011   
  7380.0   0.01    
  7400.0   0.0090  
  7420.0   0.0090  
  7440.0   0.0090  
  7460.0   0.0080  
  7480.0   0.0070  
  7500.0   0.0070  
  7520.0   0.0070  
  7540.0   0.0070  
  7560.0   0.0070  
  7580.0   0.0070  
  7600.0   0.0070  
  7620.0   0.0070  
  7640.0   0.0070  
  7660.0   0.0060  
  7680.0   0.0050  
  7700.0   0.0040  
  7720.0   0.0040  
  7740.0   0.0040  
  7760.0   0.0040  
  7780.0   0.0040  
  7800.0   0.0040  
  7820.0   0.0040  
  7840.0   0.0040  
  7860.0   0.0050  
  7880.0   0.0050  
  7900.0   0.0050  
  7920.0   0.0050  
  7940.0   0.0040  
  7960.0   0.0040  
  7980.0   0.0040  
  8000.0   0.0040  
  8020.0   0.0040  
  8040.0   0.0040  
  8060.0   0.0040  
  8080.0   0.0040  
  8100.0   0.0040  
  8120.0   0.0040  
  8140.0   0.0040  
  8160.0   0.0040  
  8180.0   0.0050  
  8200.0   0.0     
  8300.0   0.0 
