# lambda trans 
  3000.0 0.0   
  3020.0 0.0   
  3040.0 0.0   
  3060.0 0.0   
  3080.0 0.0   
  3100.0 0.0   
  3120.0 0.0010
  3140.0 0.0020
  3160.0 0.0070
  3180.0 0.019 
  3200.0 0.046 
  3220.0 0.082 
  3240.0 0.151 
  3260.0 0.318 
  3280.0 0.816 
  3300.0 2.195 
  3320.0 4.74  
  3340.0 8.609 
  3360.0 13.256
  3380.0 17.617
  3400.0 20.972
  3420.0 22.719
  3440.0 23.965
  3460.0 25.439
  3480.0 27.287
  3500.0 29.196
  3520.0 30.721
  3540.0 31.735
  3560.0 32.155
  3580.0 32.02 
  3600.0 31.716
  3620.0 32.398
  3640.0 33.324
  3660.0 33.594
  3680.0 33.001
  3700.0 31.691
  3720.0 30.246
  3740.0 29.588
  3760.0 29.992
  3780.0 31.679
  3800.0 34.421
  3820.0 37.551
  3840.0 40.44 
  3860.0 42.147
  3880.0 42.524
  3900.0 42.1  
  3920.0 41.713
  3940.0 42.028
  3960.0 42.926
  3980.0 43.931
  4000.0 44.5  
  4020.0 44.294
  4040.0 43.131
  4060.0 40.502
  4080.0 35.915
  4100.0 29.441
  4120.0 21.861
  4140.0 14.64 
  4160.0 8.934 
  4180.0 5.137 
  4200.0 2.925 
  4220.0 1.728 
  4240.0 1.068 
  4260.0 0.689 
  4280.0 0.466 
  4300.0 0.331 
  4320.0 0.245 
  4340.0 0.191 
  4360.0 0.153 
  4380.0 0.128 
  4400.0 0.109 
  4420.0 0.096 
  4440.0 0.086 
  4460.0 0.078 
  4480.0 0.072 
  4500.0 0.067 
  4520.0 0.063 
  4540.0 0.059 
  4560.0 0.0   
  4700.0 0.0
