# lambda    trans   
  6800.0    0.0
  7000.0    0.0     
  7020.0    0.0020  
  7040.0    0.0020  
  7060.0    0.0030  
  7080.0    0.0030  
  7100.0    0.0040  
  7120.0    0.0040  
  7140.0    0.0040  
  7160.0    0.0050  
  7180.0    0.0050  
  7200.0    0.0050  
  7220.0    0.0050  
  7240.0    0.0050  
  7260.0    0.0050  
  7280.0    0.0050  
  7300.0    0.0050  
  7320.0    0.0050  
  7340.0    0.0050  
  7360.0    0.0060  
  7380.0    0.0060  
  7400.0    0.0070  
  7420.0    0.0070  
  7440.0    0.0070  
  7460.0    0.0070  
  7480.0    0.0070  
  7500.0    0.0080  
  7520.0    0.0080  
  7540.0    0.0090  
  7560.0    0.0090  
  7580.0    0.01    
  7600.0    0.011   
  7620.0    0.012   
  7640.0    0.013   
  7660.0    0.014   
  7680.0    0.015   
  7700.0    0.016   
  7720.0    0.018   
  7740.0    0.021   
  7760.0    0.024   
  7780.0    0.029   
  7800.0    0.033   
  7820.0    0.039   
  7840.0    0.047   
  7860.0    0.057   
  7880.0    0.069   
  7900.0    0.083   
  7920.0    0.102   
  7940.0    0.127   
  7960.0    0.161   
  7980.0    0.205   
  8000.0    0.264   
  8020.0    0.342   
  8040.0    0.449   
  8060.0    0.601   
  8080.0    0.814   
  8100.0    1.118   
  8120.0    1.551   
  8140.0    2.177   
  8160.0    3.078   
  8180.0    4.343   
  8200.0    6.095   
  8220.0    8.457   
  8240.0    11.482  
  8260.0    14.992  
  8280.0    18.62   
  8300.0    21.988  
  8320.0    24.673  
  8340.0    26.655  
  8360.0    28.096  
  8380.0    28.861  
  8400.0    29.151  
  8420.0    29.146  
  8440.0    28.894  
  8460.0    28.562  
  8480.0    28.229  
  8500.0    27.996  
  8520.0    27.669  
  8540.0    27.28   
  8560.0    27.026  
  8580.0    26.66   
  8600.0    26.297  
  8620.0    25.996  
  8640.0    25.586  
  8660.0    25.235  
  8680.0    24.828  
  8700.0    24.373  
  8720.0    23.847  
  8740.0    23.275  
  8760.0    22.726  
  8780.0    22.259  
  8800.0    21.757  
  8820.0    21.311  
  8840.0    20.925  
  8860.0    20.529  
  8880.0    20.113  
  8900.0    19.726  
  8920.0    19.294  
  8940.0    18.918  
  8960.0    18.565  
  8980.0    18.201  
  9000.0    17.817  
  9020.0    17.357  
  9040.0    16.933  
  9060.0    16.471  
  9080.0    16.049  
  9100.0    15.603  
  9120.0    15.309  
  9140.0    14.986  
  9160.0    14.641  
  9180.0    14.345  
  9200.0    14.01   
  9220.0    13.556  
  9240.0    13.091  
  9260.0    12.623  
  9280.0    12.173  
  9300.0    11.724  
  9320.0    11.424  
  9340.0    11.136  
  9360.0    10.847  
  9380.0    10.583  
  9400.0    10.321  
  9420.0    10.041  
  9440.0    9.771   
  9460.0    9.496   
  9480.0    9.235   
  9500.0    8.99    
  9520.0    8.733   
  9540.0    8.486   
  9560.0    8.221   
  9580.0    7.956   
  9600.0    7.699   
  9620.0    7.433   
  9640.0    7.172   
  9660.0    6.897   
  9680.0    6.616   
  9700.0    6.335   
  9720.0    6.189   
  9740.0    6.042   
  9760.0    5.891   
  9780.0    5.74    
  9800.0    5.589   
  9820.0    5.296   
  9840.0    5.007   
  9860.0    4.716   
  9880.0    4.42    
  9900.0    4.129   
  9920.0    3.971   
  9940.0    3.817   
  9960.0    3.667   
  9980.0    3.517   
  10000.0   3.367   
  10020.0   3.219   
  10040.0   3.075   
  10060.0   2.928   
  10080.0   2.784   
  10100.0   2.641   
  10120.0   2.498   
  10140.0   2.36    
  10160.0   2.223   
  10180.0   2.088   
  10200.0   1.954   
  10220.0   1.821   
  10240.0   1.689   
  10260.0   1.557   
  10280.0   1.426   
  10300.0   1.295   
  10320.0   1.294   
  10340.0   1.293   
  10360.0   1.292   
  10380.0   1.291   
  10400.0   1.29    
  10420.0   1.16    
  10440.0   1.031   
  10460.0   0.901   
  10480.0   0.772   
  10500.0   0.643   
  10520.0   0.616   
  10540.0   0.589   
  10560.0   0.563   
  10580.0   0.537   
  10600.0   0.51    
  10620.0   0.484   
  10640.0   0.457   
  10660.0   0.431   
  10680.0   0.404   
  10700.0   0.378   
  10720.0   0.352   
  10740.0   0.327   
  10760.0   0.301   
  10780.0   0.275   
  10800.0   0.25    
  10820.0   0.224   
  10840.0   0.198   
  10860.0   0.173   
  10880.0   0.147   
  10900.0   0.122   
  10920.0   0.097   
  10940.0   0.073   
  10960.0   0.048   
  10980.0   0.024   
  11000.0   0.0     
  11500.0   0.0
