# Table 4. J-PAS paper 0.
# 
# Columns description:
#  1: Filter Name
#  2: Central wavelength [Angstroms]
#  3: FWHM of the filter transmission [Angstroms]
#  4: Expected AB magnitude within an aperture of 5" and
#     SNR=5 at airmass 1.2.
#  5: Expected AB magnitude within per arcsec^2 at
#     SNR=5 at airmass 1.2.
#  6: Total exposure time [s]
#  7: Tray in which the filter will be located
#
J-PAS3518  3596 261 	22.66 23.73 	240 	T1
J-PAS3785  3791	158	22.20 23.26 	240 	T1
J-PAS3900  3904	141	22.23 23.29	240	T1
J-PAS4000  4003	141	22.30 23.36	240	T1
J-PAS4100  4102	142	22.35 23.41	240	T2
J-PAS4200  4202	142	22.37 23.43	240	T2
J-PAS4300  4302	142	22.37 23.44	240	T2
J-PAS4400  4402	142	22.38 23.44	240	T2
J-PAS4500  4501	142	22.39 23.45	240	T1
J-PAS4600  4601	143	22.39 23.45	240	T1
J-PAS4700  4701	143	22.40 23.46	240	T1
J-PAS4800  4801	143	22.39 23.45	240	T1
J-PAS4900  4901	143	22.40 23.46	240	T1
J-PAS5000  5001	143	22.39 23.45	240	T1
J-PAS5100  5101	143	22.39 23.45	240	T1
J-PAS5200  5201	143	22.37 23.44	240	T1
J-PAS5300  5301	143	22.38 23.44	240	T1
J-PAS5400  5401	143	22.39 23.45	240	T1
J-PAS5500  5501	143	22.28 23.35	240	T2
J-PAS5600  5601	143	22.14 23.20	240	T2
J-PAS5700  5701	143	22.36 23.42	240	T2
J-PAS5800  5801	143	22.34 23.40	240	T2
J-PAS5900  5901	143	22.23 23.29	240	T3
J-PAS6000  6001	143	22.33 23.39	240	T3
J-PAS6100  6101	143	22.37 23.44	240	T3
J-PAS6200  6201	143	22.31 23.37	240	T3
J-PAS6300  6301	143	22.20 23.26	480	T4
J-PAS6400  6401	143	22.54 23.60	480	T4
J-PAS6500  6501	143	22.74 23.80	480	T4
J-PAS6600  6601	143	22.73 23.80	480	T4
J-PAS6700  6701	143	22.32 23.38	240	T2
J-PAS6800  6800	142	22.25 23.31	240	T2
J-PAS6900  6901	143	22.18 23.24	240	T2
J-PAS7000  7002	142	22.21 23.27	240	T2
J-PAS7100  7100	141	22.19 23.25	240	T2
J-PAS7200  7200	144	22.11 23.17	240	T2
J-PAS7300  7301	143	22.00 23.06	240	T3
J-PAS7400  7401	143	21.98 23.05	240	T3
J-PAS7500  7500	143	21.95 23.02	240	T3
J-PAS7600  7596	142	21.78 22.84	240	T3
J-PAS7700  7705	136	21.76 22.82	240	T3
J-PAS7800  7800	143	21.65 22.71	240	T3
J-PAS7900  7901	143	21.64 22.70	240	T3
J-PAS8000  8000	143	21.62 22.68	240	T3
J-PAS8100  8099 142 	21.62 22.68 	240 	T3
J-PAS8200  8200	143	21.55 22.61	240	T3
J-PAS8300  8302	142	21.77 22.83	480	T4
J-PAS8400  8400	143	21.85 22.91	480	T4
J-PAS8500  8500	143	21.82 22.89	480	T4
J-PAS8600  8600	143	21.68 22.74	480	T4
J-PAS8700  8700	143	21.58 22.64	480	T4
J-PAS8800  8800	143	21.36 22.42	480	T4
J-PAS8900  8898	141	21.36 22.42	480	T4
J-PAS9000  8999	143	21.34 22.41	480	T4
J-PAS9100  9100	142	21.22 22.28	480	T4
J-PAS10069 9505 618 	21.51 22.57 	480 	T4
