microns	transmission
2	1.93996E-05
2.001	1.79938E-05
2.002	1.67365E-05
2.003	1.56101E-05
2.004	1.45996E-05
2.005	1.36915E-05
2.006	1.28742E-05
2.007	1.21374E-05
2.008	1.14722E-05
2.009	1.08703E-05
2.01	1.03247E-05
2.011	9.82864E-06
2.012	9.37634E-06
2.013	8.96236E-06
2.014	8.58179E-06
2.015	8.23018E-06
2.016	7.90358E-06
2.017	7.59852E-06
2.018	7.31207E-06
2.019	7.04185E-06
2.02	6.78604E-06
2.021	6.54336E-06
2.022	6.31297E-06
2.023	6.09444E-06
2.024	5.88758E-06
2.025	5.69239E-06
2.026	5.50893E-06
2.027	5.33726E-06
2.028	5.17737E-06
2.029	5.02919E-06
2.03	4.89252E-06
2.031	4.76713E-06
2.032	4.65268E-06
2.033	4.54879E-06
2.034	4.45506E-06
2.035	4.37107E-06
2.036	4.2964E-06
2.037	4.23064E-06
2.038	4.17341E-06
2.039	4.12436E-06
2.04	4.08316E-06
2.041	4.04954E-06
2.042	4.02324E-06
2.043	4.00406E-06
2.044	3.99182E-06
2.045	3.9864E-06
2.046	3.9877E-06
2.047	3.99567E-06
2.048	4.01028E-06
2.049	4.03156E-06
2.05	4.05955E-06
2.051	4.09436E-06
2.052	4.13611E-06
2.053	4.18498E-06
2.054	4.24116E-06
2.055	4.30493E-06
2.056	4.37656E-06
2.057	4.45641E-06
2.058	4.54487E-06
2.059	4.64292E-06
2.06	4.75065E-06
2.061	4.86858E-06
2.062	4.99735E-06
2.063	5.13768E-06
2.064	5.29037E-06
2.065	5.45632E-06
2.066	5.63651E-06
2.067	5.83204E-06
2.068	6.04414E-06
2.069	6.27418E-06
2.07	6.52368E-06
2.071	6.79431E-06
2.072	7.08795E-06
2.073	7.40671E-06
2.074	7.7529E-06
2.075	8.12914E-06
2.076	8.53834E-06
2.077	8.98373E-06
2.078	9.46895E-06
2.079	9.99807E-06
2.08	1.05757E-05
2.081	1.12068E-05
2.082	1.18973E-05
2.083	1.26535E-05
2.084	1.34827E-05
2.085	1.4393E-05
2.086	1.53935E-05
2.087	1.64945E-05
2.088	1.77074E-05
2.089	1.90452E-05
2.09	2.05221E-05
2.091	2.21543E-05
2.092	2.39594E-05
2.093	2.59571E-05
2.094	2.81689E-05
2.095	3.06181E-05
2.096	3.33297E-05
2.097	3.63301E-05
2.098	3.96462E-05
2.099	4.3305E-05
2.1	4.73317E-05
2.101	5.17333E-05
2.102	5.65375E-05
2.103	6.17505E-05
2.104	6.73655E-05
2.105	7.3358E-05
2.106	7.96808E-05
2.107	8.62604E-05
2.108	9.29933E-05
2.109	9.97454E-05
2.11	0.000106356
2.111	0.000112643
2.112	0.000118418
2.113	0.000123499
2.114	0.00012773
2.115	0.000130994
2.116	0.000133225
2.117	0.000134414
2.118	0.000134605
2.119	0.000133884
2.12	0.00013237
2.121	0.000130199
2.122	0.000127512
2.123	0.000124445
2.124	0.00012112
2.125	0.000117644
2.126	0.000114104
2.127	0.000110571
2.128	0.0001071
2.129	0.000103731
2.13	0.000100492
2.131	9.74014E-05
2.132	9.44717E-05
2.133	9.1708E-05
2.134	8.91116E-05
2.135	8.66804E-05
2.136	8.44104E-05
2.137	8.22959E-05
2.138	8.03303E-05
2.139	7.85064E-05
2.14	7.68169E-05
2.141	7.52544E-05
2.142	7.38118E-05
2.143	7.2482E-05
2.144	7.12586E-05
2.145	7.01354E-05
2.146	6.91065E-05
2.147	6.81667E-05
2.148	6.7311E-05
2.149	6.65348E-05
2.15	6.58341E-05
2.151	6.52052E-05
2.152	6.46447E-05
2.153	6.41496E-05
2.154	6.37172E-05
2.155	6.33453E-05
2.156	6.30317E-05
2.157	6.27748E-05
2.158	6.25731E-05
2.159	6.24255E-05
2.16	6.23308E-05
2.161	6.22886E-05
2.162	6.22983E-05
2.163	6.23597E-05
2.164	6.24728E-05
2.165	6.26379E-05
2.166	6.28553E-05
2.167	6.31258E-05
2.168	6.34503E-05
2.169	6.38299E-05
2.17	6.42659E-05
2.171	6.476E-05
2.172	6.5314E-05
2.173	6.593E-05
2.174	6.66103E-05
2.175	6.73577E-05
2.176	6.8175E-05
2.177	6.90657E-05
2.178	7.00334E-05
2.179	7.1082E-05
2.18	7.22161E-05
2.181	7.34407E-05
2.182	7.4761E-05
2.183	7.61832E-05
2.184	7.77138E-05
2.185	7.93601E-05
2.186	8.11302E-05
2.187	8.3033E-05
2.188	8.50783E-05
2.189	8.72772E-05
2.19	8.96418E-05
2.191	9.21857E-05
2.192	9.49242E-05
2.193	9.78743E-05
2.194	0.000101055
2.195	0.000104488
2.196	0.000108198
2.197	0.000112212
2.198	0.000116561
2.199	0.000121282
2.2	0.000126416
2.201	0.00013199
2.202	0.000138076
2.203	0.000144736
2.204	0.000152046
2.205	0.00016009
2.206	0.000168971
2.207	0.000178809
2.208	0.000189745
2.209	0.00020195
2.21	0.000215626
2.211	0.000231015
2.212	0.000248406
2.213	0.000268143
2.214	0.000290635
2.215	0.000316359
2.216	0.000345862
2.217	0.000379749
2.218	0.000418647
2.219	0.000463139
2.22	0.000513632
2.221	0.000570163
2.222	0.00063213
2.223	0.000698011
2.224	0.00076519
2.225	0.000830103
2.226	0.000888836
2.227	0.000938127
2.228	0.000976347
2.229	0.001003956
2.23	0.001023227
2.231	0.001037444
2.232	0.001050055
2.233	0.001064098
2.234	0.001081961
2.235	0.0011054
2.236	0.001135668
2.237	0.001173675
2.238	0.001220133
2.239	0.001275658
2.24	0.001340843
2.241	0.001416313
2.242	0.001502746
2.243	0.001600896
2.244	0.001711594
2.245	0.001835747
2.246	0.001974326
2.247	0.002128353
2.248	0.002298873
2.249	0.002486918
2.25	0.002693469
2.251	0.002919395
2.252	0.00316539
2.253	0.003431899
2.254	0.003719034
2.255	0.004026491
2.256	0.004353472
2.257	0.004698614
2.258	0.005059952
2.259	0.00543491
2.26	0.005820342
2.261	0.00621262
2.262	0.006607779
2.263	0.007001703
2.264	0.007390341
2.265	0.007769939
2.266	0.008137251
2.267	0.008489721
2.268	0.008825608
2.269	0.009144049
2.27	0.009445063
2.271	0.00972949
2.272	0.009998901
2.273	0.01025547
2.274	0.010501845
2.275	0.010741016
2.276	0.010976202
2.277	0.011210757
2.278	0.011448096
2.279	0.011691652
2.28	0.011944842
2.281	0.012211066
2.282	0.012493713
2.283	0.012796179
2.284	0.013121902
2.285	0.013474402
2.286	0.013857325
2.287	0.014274499
2.288	0.014729991
2.289	0.015228175
2.29	0.015773806
2.291	0.016372096
2.292	0.017028812
2.293	0.017750376
2.294	0.018543981
2.295	0.019417731
2.296	0.020380796
2.297	0.02144359
2.298	0.022617995
2.299	0.023917601
2.3	0.025358008
2.301	0.026952515
2.302	0.028725553
2.303	0.030700908
2.304	0.032906153
2.305	0.035373305
2.306	0.038139594
2.307	0.041248349
2.308	0.044749986
2.309	0.048703106
2.31	0.053175636
2.311	0.058245942
2.312	0.064003749
2.313	0.070550621
2.314	0.077999596
2.315	0.086473433
2.316	0.096100712
2.317	0.107008981
2.318	0.11931425
2.319	0.133106696
2.32	0.14843372
2.321	0.165283434
2.322	0.183573794
2.323	0.203153703
2.324	0.2238206
2.325	0.245353539
2.326	0.26755309
2.327	0.29027389
2.328	0.313436616
2.329	0.337013895
2.33	0.360994846
2.331	0.385340087
2.332	0.409940587
2.333	0.43459092
2.334	0.458982875
2.335	0.482720856
2.336	0.505356571
2.337	0.526437023
2.338	0.545557276
2.339	0.562408318
2.34	0.576811462
2.341	0.588733947
2.342	0.598284852
2.343	0.60569464
2.344	0.611284369
2.345	0.61543125
2.346	0.618536244
2.347	0.620997337
2.348	0.623190062
2.349	0.625455156
2.35	0.628092182
2.351	0.631357534
2.352	0.635465204
2.353	0.640588934
2.354	0.646864685
2.355	0.654392674
2.356	0.663238546
2.357	0.673433458
2.358	0.684973121
2.359	0.697815985
2.36	0.711881008
2.361	0.727045583
2.362	0.743144385
2.363	0.759969974
2.364	0.777276004
2.365	0.794783674
2.366	0.812191751
2.367	0.829189917
2.368	0.845474589
2.369	0.860765739
2.37	0.874822864
2.371	0.887458137
2.372	0.898545147
2.373	0.908022268
2.374	0.91589054
2.375	0.922206811
2.376	0.927073425
2.377	0.930626094
2.378	0.933021488
2.379	0.934425825
2.38	0.935005303
2.381	0.934918782
2.382	0.934312747
2.383	0.933318356
2.384	0.932050181
2.385	0.930606229
2.386	0.929068855
2.387	0.927506188
2.388	0.925973823
2.389	0.924516544
2.39	0.923169974
2.391	0.921962034
2.392	0.920914205
2.393	0.920042551
2.394	0.919358538
2.395	0.91886966
2.396	0.918579909
2.397	0.91849011
2.398	0.918598172
2.399	0.918899271
2.4	0.919385995
2.401	0.920048741
2.402	0.920874414
2.403	0.921848772
2.404	0.922955641
2.405	0.924177145
2.406	0.925493984
2.407	0.926885749
2.408	0.928331279
2.409	0.92980904
2.41	0.931297533
2.411	0.932775701
2.412	0.93422334
2.413	0.935621488
2.414	0.936952782
2.415	0.938201776
