microns	reflection
0.5	0.087552483
0.501	0.054608981
0.502	0.07079628
0.503	0.128168765
0.504	0.212533807
0.505	0.313889358
0.506	0.427380955
0.507	0.543196303
0.508	0.646196295
0.509	0.726611777
0.51	0.783778819
0.511	0.821747707
0.512	0.844952382
0.513	0.856343582
0.514	0.856732015
0.515	0.843868008
0.516	0.809529787
0.517	0.73155958
0.518	0.57970692
0.519	0.515826539
0.52	0.599629467
0.521	0.566713924
0.522	0.533688141
0.523	0.66193736
0.524	0.799442436
0.525	0.876186043
0.526	0.915779505
0.527	0.937089314
0.528	0.948979438
0.529	0.955460362
0.53	0.958324227
0.531	0.958184522
0.532	0.954734863
0.533	0.946342681
0.534	0.928110936
0.535	0.883420101
0.536	0.738571591
0.537	0.423676431
0.538	0.663401045
0.539	0.682564746
0.54	0.522353736
0.541	0.50020147
0.542	0.689362848
0.543	0.809611943
0.544	0.865325033
0.545	0.890244794
0.546	0.898415013
0.547	0.893464786
0.548	0.87128536
0.549	0.812260772
0.55	0.653506295
0.551	0.457961234
0.552	0.592147938
0.553	0.672798534
0.554	0.644091756
0.555	0.563735063
0.556	0.499349542
0.557	0.512828268
0.558	0.58172264
0.559	0.652238988
0.56	0.702928849
0.561	0.733336966
0.562	0.747384046
0.563	0.748278658
0.564	0.738130725
0.565	0.718726555
0.566	0.692328434
0.567	0.661834929
0.568	0.630381813
0.569	0.601167679
0.57	0.576903867
0.571	0.55801604
0.572	0.542020675
0.573	0.527067404
0.574	0.517418497
0.575	0.521133415
0.576	0.538429672
0.577	0.563938794
0.578	0.596951348
0.579	0.637437151
0.58	0.6802129
0.581	0.718391079
0.582	0.749469401
0.583	0.777537417
0.584	0.811684816
0.585	0.85743041
0.586	0.905837741
0.587	0.943249026
0.588	0.966583029
0.589	0.97986021
0.59	0.987310607
0.591	0.991586814
0.592	0.994131293
0.593	0.995705348
0.594	0.996715832
0.595	0.997386421
0.596	0.997844222
0.597	0.998163887
0.598	0.998390593
0.599	0.998552371
0.6	0.998666886
0.601	0.998745841
0.602	0.998794699
0.603	0.998816777
0.604	0.998811973
0.605	0.998775675
0.606	0.998694907
0.607	0.998535796
0.608	0.998195897
0.609	0.997301398
0.61	0.995678232
0.611	0.996711781
0.612	0.996950449
0.613	0.996119459
0.614	0.994001448
0.615	0.989634188
0.616	0.985877236
0.617	0.989991874
0.618	0.994411876
0.619	0.996563076
0.62	0.997589388
0.621	0.998123685
0.622	0.998424299
0.623	0.998602538
0.624	0.998710964
0.625	0.998776573
0.626	0.998814234
0.627	0.99883261
0.628	0.998836978
0.629	0.998830647
0.63	0.998815724
0.631	0.998793523
0.632	0.998764797
0.633	0.998729853
0.634	0.998688589
0.635	0.998640463
0.636	0.998584386
0.637	0.998518509
0.638	0.998439821
0.639	0.998343421
0.64	0.998221237
0.641	0.998059981
0.642	0.997839567
0.643	0.997541918
0.644	0.997203899
0.645	0.99698052
0.646	0.996928269
0.647	0.996864858
0.648	0.996662888
0.649	0.996289574
0.65	0.995728006
0.651	0.994939321
0.652	0.994001325
0.653	0.993161726
0.654	0.992854981
0.655	0.993320919
0.656	0.994281871
0.657	0.99529225
0.658	0.996120845
0.659	0.996733878
0.66	0.997170825
0.661	0.997479513
0.662	0.997697877
0.663	0.997852679
0.664	0.997962127
0.665	0.998038542
0.666	0.998090316
0.667	0.998123226
0.668	0.998141292
0.669	0.998147335
0.67	0.998143342
0.671	0.998130712
0.672	0.998110428
0.673	0.998083166
0.674	0.998049366
0.675	0.99800926
0.676	0.997962863
0.677	0.99790991
0.678	0.997849737
0.679	0.997781085
0.68	0.997701855
0.681	0.997608943
0.682	0.997498722
0.683	0.997369518
0.684	0.997227692
0.685	0.997093563
0.686	0.996992656
0.687	0.9969328
0.688	0.996902471
0.689	0.996892208
0.69	0.996903968
0.691	0.996943636
0.692	0.997011518
0.693	0.997099368
0.694	0.997193676
0.695	0.99728076
0.696	0.997350449
0.697	0.997397972
0.698	0.997424882
0.699	0.997439504
0.7	0.997456492
0.701	0.997494604
0.702	0.997578462
0.703	0.997719732
0.704	0.997916935
0.705	0.998153477
0.706	0.998402225
0.707	0.998635797
0.708	0.99883608
0.709	0.998996966
0.71	0.99912103
0.711	0.999214714
0.712	0.999284963
0.713	0.999337713
0.714	0.999377527
0.715	0.999407734
0.716	0.999430701
0.717	0.999448098
0.718	0.999461099
0.719	0.999470528
0.72	0.999476967
0.721	0.999480822
0.722	0.999482375
0.723	0.99948181
0.724	0.999479242
0.725	0.999474724
0.726	0.999468261
0.727	0.999459813
0.728	0.999449294
0.729	0.999436575
0.73	0.999421477
0.731	0.999403765
0.732	0.99938314
0.733	0.99935922
0.734	0.999331529
0.735	0.999299472
0.736	0.999262305
0.737	0.999219112
0.738	0.999168763
0.739	0.999109885
0.74	0.999040831
0.741	0.998959656
0.742	0.998864134
0.743	0.998751847
0.744	0.998620515
0.745	0.998468821
0.746	0.998298132
0.747	0.998115194
0.748	0.997934738
0.749	0.997779013
0.75	0.997671225
0.751	0.997591874
0.752	0.997567304
0.753	0.997582862
0.754	0.99762061
0.755	0.997665909
0.756	0.997709679
0.757	0.997747908
0.758	0.997780411
0.759	0.997809657
0.76	0.997839426
0.761	0.997872877
0.762	0.997910491
0.763	0.997949319
0.764	0.997984198
0.765	0.998009764
0.766	0.998021726
0.767	0.99801701
0.768	0.997993291
0.769	0.997948432
0.77	0.997880028
0.771	0.9977851
0.772	0.997659896
0.773	0.997499769
0.774	0.997299161
0.775	0.997051735
0.776	0.996750741
0.777	0.996389713
0.778	0.995963513
0.779	0.995469511
0.78	0.994908261
0.781	0.994282475
0.782	0.993592811
0.783	0.99282969
0.784	0.991963347
0.785	0.990944152
0.786	0.989743356
0.787	0.988398918
0.788	0.986851848
0.789	0.984793819
0.79	0.981854949
0.791	0.977838539
0.792	0.973294753
0.793	0.970552137
0.794	0.972479684
0.795	0.977975985
0.796	0.983457558
0.797	0.987350008
0.798	0.989789727
0.799	0.991274709
0.8	0.992213406
0.801	0.992891669
0.802	0.993463485
0.803	0.993991285
0.804	0.994485947
0.805	0.994936217
