microns reflection
0.5 0.607594469
0.501 0.540011828
0.502 0.448851116
0.503 0.339042781
0.504 0.223521001
0.505 0.122030573
0.506 0.055633093
0.507 0.040065155
0.508 0.079364022
0.509 0.163523284
0.51 0.276047741
0.511 0.40182094
0.512 0.525695094
0.513 0.633270801
0.514 0.716971098
0.515 0.777174867
0.516 0.818191298
0.517 0.844639382
0.518 0.859901247
0.519 0.865734144
0.52 0.862043613
0.521 0.84606329
0.522 0.809773519
0.523 0.733256367
0.524 0.584538012
0.525 0.460924031
0.526 0.501657797
0.527 0.494205062
0.528 0.586858521
0.529 0.750733009
0.53 0.85198865
0.531 0.903539366
0.532 0.930638676
0.533 0.945677966
0.534 0.954201199
0.535 0.958754709
0.536 0.96048403
0.537 0.959747641
0.538 0.9562674
0.539 0.948908208
0.54 0.934771829
0.541 0.906125252
0.542 0.838259876
0.543 0.640939999
0.544 0.380409478
0.545 0.535229355
0.546 0.461233428
0.547 0.476589439
0.548 0.676751766
0.549 0.801280362
0.55 0.860171743
0.551 0.887227704
0.552 0.899557705
0.553 0.902125854
0.554 0.895894053
0.555 0.878462336
0.556 0.841921618
0.557 0.765350133
0.558 0.603843757
0.559 0.401633529
0.56 0.433833977
0.561 0.484417038
0.562 0.4519425
0.563 0.436664866
0.564 0.491762105
0.565 0.573489295
0.566 0.640247959
0.567 0.683549523
0.568 0.707104246
0.569 0.715479505
0.57 0.711789563
0.571 0.697870478
0.572 0.674826577
0.573 0.643530734
0.574 0.605008732
0.575 0.560651206
0.576 0.512234218
0.577 0.462012059
0.578 0.413724315
0.579 0.375280936
0.58 0.359923181
0.581 0.377058492
0.582 0.420533069
0.583 0.478477862
0.584 0.545634369
0.585 0.617608042
0.586 0.686398216
0.587 0.74499511
0.588 0.791036412
0.589 0.826288666
0.59 0.855212667
0.591 0.883268039
0.592 0.913151391
0.593 0.941595486
0.594 0.963520246
0.595 0.977762019
0.596 0.986234883
0.597 0.991159142
0.598 0.994056055
0.599 0.995808628
0.6 0.996904637
0.601 0.997620768
0.602 0.998096008
0.603 0.998419762
0.604 0.998644995
0.605 0.998803922
0.606 0.998916581
0.607 0.998995625
0.608 0.999049043
0.609 0.999081706
0.61 0.999096183
0.611 0.999093062
0.612 0.999070757
0.613 0.999024579
0.614 0.998944213
0.615 0.998806841
0.616 0.998555664
0.617 0.998018626
0.618 0.996614343
0.619 0.995003729
0.62 0.996166749
0.621 0.995623656
0.622 0.992851474
0.623 0.988280171
0.624 0.990191553
0.625 0.994749691
0.626 0.996946966
0.627 0.997923182
0.628 0.998403492
0.629 0.998662229
0.63 0.998809822
0.631 0.998895859
0.632 0.998944877
0.633 0.998970011
0.634 0.998978743
0.635 0.998975541
0.636 0.998963159
0.637 0.998943315
0.638 0.998917058
0.639 0.998884959
0.64 0.998847217
0.641 0.998803687
0.642 0.998753867
0.643 0.998696831
0.644 0.998631098
0.645 0.998554422
0.646 0.998463432
0.647 0.998353052
0.648 0.998215559
0.649 0.998039118
0.65 0.997806053
0.651 0.997483294
0.652 0.997059093
0.653 0.996585808
0.654 0.996226033
0.655 0.996043638
0.656 0.995858621
0.657 0.995510499
0.658 0.994977839
0.659 0.99435678
0.66 0.993869398
0.661 0.993790767
0.662 0.994217766
0.663 0.994962322
0.664 0.995754989
0.665 0.996438148
0.666 0.996971479
0.667 0.997370165
0.668 0.997663304
0.669 0.997877764
0.67 0.998034386
0.671 0.998148361
0.672 0.998230541
0.673 0.998288663
0.674 0.998328295
0.675 0.998353505
0.676 0.998367326
0.677 0.998372069
0.678 0.998369536
0.679 0.998361149
0.68 0.998348039
0.681 0.998331099
0.682 0.998311015
0.683 0.998288296
0.684 0.998263267
0.685 0.998236045
0.686 0.998206451
0.687 0.998173837
0.688 0.998136796
0.689 0.99809271
0.69 0.998037092
0.691 0.997962854
0.692 0.99786026
0.693 0.997720527
0.694 0.997549531
0.695 0.997387324
0.696 0.997283597
0.697 0.997230343
0.698 0.997190532
0.699 0.99716982
0.7 0.997205692
0.701 0.997312889
0.702 0.997465504
0.703 0.997631272
0.704 0.997785899
0.705 0.997917991
0.706 0.998025673
0.707 0.998112801
0.708 0.998187213
0.709 0.998259989
0.71 0.998343349
0.711 0.998445994
0.712 0.99856836
0.713 0.998702456
0.714 0.998836949
0.715 0.998962702
0.716 0.999074839
0.717 0.999171858
0.718 0.999254044
0.719 0.999322426
0.72 0.999378375
0.721 0.999423465
0.722 0.99945936
0.723 0.999487669
0.724 0.999509829
0.725 0.999527044
0.726 0.999540274
0.727 0.999550256
0.728 0.999557548
0.729 0.999562559
0.73 0.999565589
0.731 0.99956685
0.732 0.999566486
0.733 0.999564594
0.734 0.999561224
0.735 0.999556397
0.736 0.999550099
0.737 0.999542293
0.738 0.999532915
0.739 0.999521871
0.74 0.999509044
0.741 0.999494283
0.742 0.999477398
0.743 0.999458158
0.744 0.999436276
0.745 0.999411394
0.746 0.999383067
0.747 0.999350735
0.748 0.999313692
0.749 0.999271047
0.75 0.999221682
0.751 0.999138767
0.752 0.999044282
0.753 0.998936443
0.754 0.99881342
0.755 0.998673645
0.756 0.998516443
0.757 0.998343257
0.758 0.998159837
0.759 0.99797921
0.76 0.99782287
0.761 0.997715225
0.762 0.997670971
0.763 0.997685956
0.764 0.997741411
0.765 0.997815908
0.766 0.997893528
0.767 0.997965225
0.768 0.998026849
0.769 0.998076977
0.77 0.998115682
0.771 0.998144215
0.772 0.9981652
0.773 0.998182575
0.774 0.998200378
0.775 0.998220413
0.776 0.998240747
0.777 0.998256741
0.778 0.99826342
0.779 0.998256942
0.78 0.99823463
0.781 0.998194364
0.782 0.998133939
0.783 0.998050601
0.784 0.997940702
0.785 0.997799411
0.786 0.997620438
0.787 0.997395756
0.788 0.997115359
0.789 0.996767138
0.79 0.996336969
0.791 0.995809103
0.792 0.995166615
0.793 0.994391007
0.794 0.993458637
0.795 0.992330176
0.796 0.990931221
0.797 0.989144435
0.798 0.98691186
0.799 0.984449514
0.8 0.98181448
0.801 0.97852812
0.802 0.974068522
0.803 0.96935681
0.804 0.96768702
0.805 0.971661925
0.806 0.978359511
0.807 0.983999259
0.808 0.987752949
0.809 0.990130141
0.81 0.991696422
0.811 0.992815817
0.812 0.993683742
0.813 0.99439226
0.814 0.994981138
0.815 0.995469182
0.816 0.995869162
0.817 0.996192817
0.818 0.996451537
0.819 0.996655902
0.82 0.996815232
0.821 0.996937431
0.822 0.997029049
0.823 0.997095463
0.824 0.99714109
0.825 0.997169622
0.826 0.997184223
0.827 0.997187712
0.828 0.997182689
0.829 0.997171587
0.83 0.997156635
0.831 0.997139697
0.832 0.997122031
0.833 0.997104018
0.834 0.997085002
0.835 0.997063342
0.836 0.997036721
0.837 0.997002795
0.838 0.99696037
0.839 0.996911486
0.84 0.996864337
0.841 0.996834543
0.842 0.996838735
0.843 0.996878825
0.844 0.99693289
0.845 0.996967594
0.846 0.996957035
0.847 0.996889559
0.848 0.996766984
0.849 0.99660603
0.85 0.996441868
0.851 0.996324074
0.852 0.996296738
0.853 0.996374195
0.854 0.996536991
0.855 0.996749957
0.856 0.996980435
0.857 0.997204643
0.858 0.997406945
0.859 0.997578351
0.86 0.997715623
0.861 0.997820284
0.862 0.997897233
0.863 0.99795301
0.864 0.997993701
0.865 0.998022889
0.866 0.998040634
0.867 0.998044178
0.868 0.998029776
0.869 0.997994431
0.87 0.997936715
0.871 0.997856355
0.872 0.997752531
0.873 0.997621315
0.874 0.997453454
0.875 0.997233486
0.876 0.996939796
0.877 0.996544729
0.878 0.996015119
0.879 0.995316191
0.88 0.994425761
0.881 0.993370345
0.882 0.992289189
0.883 0.991481286
0.884 0.991296771
0.885 0.9918396
0.886 0.992842512
0.887 0.993924481
0.888 0.994846065
0.889 0.995528542
0.89 0.995972508
0.891 0.996194196
