Wavelength_microns Throughput
2.0004663860000003 5.3751345624708325e-15
2.002074478 7.917678793205208e-16
2.00368257 3.028669936346806e-16
2.005290662 9.5690991053527e-16
2.006898754 5.006073884751443e-15
2.008506846 4.805790555512575e-15
2.010114938 5.7555611339914955e-15
2.01172303 1.0878257220307088e-14
2.013331122 1.8622285968000226e-14
2.014939214 2.642930141073592e-14
2.016547306 3.409583953823175e-14
2.018155398 3.9929779639183e-14
2.01976349 4.40137397595912e-14
2.021371582 4.660067760085165e-14
2.022979674 4.627531905200146e-14
2.0245877660000002 4.293568873282578e-14
2.026195858 4.185349841988106e-14
2.027803949 4.196423831785667e-14
2.029412041 4.031322816873852e-14
2.031020133 3.778049031183896e-14
2.032628225 3.66197016055686e-14
2.034236317 3.57535122822095e-14
2.035844409 3.363270440330539e-14
2.037452501 3.092457433274326e-14
2.039060593 2.5686682816047794e-14
2.040668685 2.055494940658039e-14
2.042276777 1.49712998174938e-14
2.0438848689999998 1.0530161197827679e-14
2.045492961 5.707067564620138e-15
2.047101053 2.775370927718375e-15
2.0487091449999997 2.5016785201021582e-15
2.0503172370000002 2.9692112173318545e-15
2.0519253290000004 1.3084971067539084e-15
2.053533421 6.186115415967504e-16
2.055141513 7.684249496934742e-16
2.056749605 1.7435089509254816e-15
2.058357697 1.3000039511375458e-15
2.059965788 6.50958597839939e-16
2.06157388 3.5755419224507674e-16
2.0631819719999998 2.190597915506695e-16
2.064790064 3.7246836892367602e-16
2.066398156 1.0675909646553296e-15
2.068006248 2.9267924676726743e-16
2.06961434 9.06635357640451e-18
2.071222432 9.660130491780659e-18
2.072830524 3.5323170272311196e-16
2.074438616 5.603075027684702e-16
2.076046708 1.8743243726657e-17
2.0776548 1.0478249683455492e-17
2.079262892 4.926547724738641e-16
2.080870984 3.5434319413101024e-15
2.0824790760000003 1.5870706428323714e-15
2.084087168 1.487415312667428e-15
2.08569526 2.4753447829028745e-15
2.0873033519999997 4.739199305176218e-15
2.088911444 5.9440598037934355e-15
2.090519536 5.9610103018502545e-15
2.092127627 2.258486914005282e-16
2.0937357189999997 8.965121369702365e-18
2.0953438110000002 3.2548507944636365e-16
2.0969519030000003 1.2862087330305978e-14
2.098559995 9.805739011670915e-16
2.100168087 3.422673415081665e-17
2.101776179 3.5344313161560775e-16
2.103384271 1.8169216476721357e-14
2.104992363 2.9289955125312886e-14
2.1066004549999997 1.2785918125684852e-14
2.1082085470000003 1.3860191683756324e-14
2.109816639 2.976404551216735e-14
2.111424731 4.1288766934587264e-14
2.113032823 3.139683789359419e-14
2.114640915 1.0761719572159498e-14
2.116249007 5.010111470671926e-16
2.1178570989999996 8.23301627144101e-17
2.1194651909999997 2.6917546324806e-15
2.1210732830000003 8.758454384629143e-14
2.122681375 2.764031681143617e-15
2.124289466 8.385416118563853e-17
2.125897558 8.62236741923157e-16
2.1275056500000002 2.727819276781537e-14
2.129113742 7.744078538119775e-15
2.130721834 2.309580921704574e-16
2.1323299259999997 2.2082348727231815e-16
2.133938018 6.199651606568833e-15
2.1355461100000004 4.196444887820883e-14
2.137154202 2.497250478802651e-14
2.138762294 1.149057035543428e-14
2.140370386 7.580174591544499e-16
2.141978478 2.9754794515255545e-15
2.14358657 6.0552981216435885e-15
2.1451946619999998 2.1798380953208343e-14
2.146802754 3.282925064115073e-15
2.1484108460000004 1.3045226216862092e-16
2.150018938 2.0406921221824832e-16
2.15162703 6.44547748445577e-15
2.153235122 1.995912106179293e-14
2.154843214 6.3366560977359e-16
2.156451305 4.473315657150746e-17
2.158059397 1.2659128363889685e-15
2.159667489 3.847886013107042e-14
2.161275581 1.9576806897748664e-14
2.1628836729999996 9.337305276157699e-15
2.164491765 5.608347310743688e-15
2.1660998570000003 6.010374891672678e-15
2.167707949 1.4736821470051883e-14
2.169316041 1.7662992244708886e-14
2.170924133 1.351202821228281e-14
2.172532225 8.04139548692804e-16
2.174140317 4.8632166759511366e-17
2.1757484089999997 9.28411308879765e-16
2.177356501 3.3016029239557426e-14
2.1789645930000003 1.2883837694379246e-14
2.180572685 3.91257926153972e-16
2.182180777 1.4457710171746934e-16
2.183788869 4.077408777696914e-15
2.185396961 6.626886497795395e-14
2.187005053 2.550122300945122e-15
2.1886131449999997 9.956282120194034e-17
2.1902212359999997 5.333361750639327e-16
2.191829328 1.0336583978579525e-14
2.1934374200000004 4.1191927234033005e-14
2.195045512 3.4165589913407395e-14
2.196653604 1.8113032815963763e-14
2.198261696 1.338791743784903e-15
2.199869788 1.027077227818815e-16
2.20147788 1.5221363483512272e-15
2.203085972 4.5252538474902425e-14
2.204694064 3.200814543279029e-14
2.206302156 1.2929275591092432e-15
2.207910248 2.546333940693301e-16
2.2095183400000002 7.440071200427227e-15
2.211126432 2.1766508642204196e-13
2.212734524 1.7657702131794626e-14
2.2143426159999997 7.735268698855823e-16
2.215950708 1.1286837555924524e-15
2.2175588 2.695584776299502e-14
2.219166892 2.785655153472209e-13
2.220774984 1.7755186410112341e-13
2.222383075 1.5118123259694225e-13
2.2239911670000003 1.4360530726781008e-14
2.225599259 1.2315555325179384e-15
2.227207351 2.71546002987976e-15
2.228815443 6.247238504345888e-14
2.230423535 7.386532852742383e-13
2.232031627 3.4702125623828076e-14
2.2336397189999997 1.684203047828645e-15
2.2352478110000003 6.622267783091345e-15
2.236855903 1.4105448718264316e-13
2.238463995 4.177222825602196e-13
2.240072087 2.260077375815401e-14
2.241680179 1.2563129317349964e-15
2.243288271 2.2409174255615776e-14
2.2448963629999996 6.194854294074042e-13
2.2465044549999997 1.4889673853984063e-12
2.2481125470000003 1.026774091340674e-12
2.249720639 9.273986665992455e-13
2.251328731 8.875094693921355e-13
2.252936823 8.504967425807924e-13
2.2545449140000002 1.1307288141076561e-12
2.256153006 1.968876992864758e-12
2.257761098 2.042885979045644e-12
2.2593691899999997 1.2482605764716286e-13
2.260977282 7.870368671878147e-15
2.262585374 6.155458479338927e-14
2.264193466 1.5513611542997533e-12
2.265801558 4.212497091138182e-12
2.2674096500000003 1.9720186916106827e-13
2.269017742 9.385459944058423e-15
2.270625834 1.0509140899366569e-13
2.2722339259999997 2.279813999969504e-12
2.273842018 3.732131119358782e-12
2.2754501100000004 1.908456154000498e-13
2.277058202 1.0088619481997937e-14
2.278666294 4.099256657353479e-14
2.280274386 4.795932974997584e-13
2.281882478 1.9825827179759718e-12
2.28349057 2.155861857224518e-12
2.285098662 2.3482696976173053e-12
2.286706753 2.659201313860702e-13
2.288314845 1.5365795937838228e-12
2.2899229369999996 1.9692604484316654e-12
2.291531029 7.626478689191512e-13
2.2931391210000003 1.5033296173305617e-11
2.294747213 1.0954951731990957e-12
2.296355305 2.1673728069777554e-12
2.297963397 3.4446210483923326e-12
2.299571489 1.1736980068547563e-12
2.301179581 2.2329058993675498e-11
2.3027876729999996 9.617505197882221e-12
2.304395765 5.491327465934464e-12
2.3060038570000003 6.35500263822018e-12
2.307611949 8.802033469942168e-12
2.309220041 1.9876744468834896e-11
2.310828133 2.1601537210596885e-11
2.312436225 2.0094450441747653e-11
2.314044317 9.756805871813864e-12
2.3156524089999997 1.220681759960084e-12
2.3172605010000003 5.281403032651949e-12
2.318868592 1.7074562076200656e-11
2.3204766840000004 3.5724197797526065e-11
2.322084776 8.405650186151092e-11
2.323692868 6.1651261137562185e-12
2.32530096 5.013103102544354e-13
2.326909052 1.0303485337679417e-12
2.328517144 2.194032882801219e-11
2.3301252359999998 4.665404489609003e-10
2.331733328 3.6525004190835763e-11
2.33334142 2.1213529888494496e-12
2.334949512 8.344177077807532e-13
2.3365576040000002 1.2899296063962805e-11
2.338165696 2.139287262786398e-10
2.339773788 1.7129072543925964e-10
2.3413818799999997 1.0950564437086167e-10
2.342989972 8.845714606927257e-11
2.344598064 8.883199546217552e-11
2.346206156 8.869208602977776e-11
2.347814248 1.0886446617980401e-10
2.3494223400000003 1.7627537689413344e-10
2.3510304310000003 4.028968023301918e-10
2.352638523 5.226926849956448e-11
2.354246615 3.731972710005147e-12
2.3558547069999998 7.818286126765426e-13
2.357462799 1.3495515473703965e-11
2.359070891 2.346721655906414e-10
2.3606789829999997 4.069174906731294e-10
2.3622870750000002 1.617585556001321e-10
2.363895167 8.238655146857522e-11
2.365503259 1.3987877913645328e-10
2.367111351 3.2854651154016975e-10
2.368719443 7.493080552614806e-10
2.370327535 2.3653258170188707e-10
2.371935627 1.1037493177584266e-10
2.3735437189999997 9.975964762145665e-11
2.3751518110000003 1.6695053684351066e-10
2.376759903 2.985716180873316e-10
2.378367995 3.740374759060139e-10
2.379976087 4.183573259142665e-10
2.381584179 4.21133884446177e-10
2.383192271 1.4916971148153454e-10
2.384800362 1.2530126697195538e-10
2.3864084539999997 3.1678657011269046e-10
2.388016546 2.5589956905931456e-10
2.389624638 3.5322738991575195e-10
2.39123273 1.0426444865417373e-10
2.392840822 8.477588187193953e-12
2.3944489140000003 7.065340418959931e-13
2.396057006 6.98360802012253e-12
2.397665098 1.1747775806171383e-10
2.3992731899999997 8.42880175846879e-10
2.400881282 5.0171271995907366e-11
2.4024893740000004 3.0199859365493562e-12
2.404097466 1.5157612958174674e-12
2.405705558 1.9994263061813736e-11
2.40731365 2.643239886541567e-10
2.408921742 7.019435587467366e-10
2.410529834 7.082835018575262e-10
2.4121379259999998 7.168011473488307e-10
2.413746018 7.833605504102879e-11
2.41535411 5.744414789619511e-12
2.416962201 5.69272489072707e-13
2.418570293 8.614501810651397e-12
2.4201783850000003 1.3101467741920115e-10
2.421786477 5.047271708986545e-10
2.423394569 3.3835203319675205e-11
2.425002661 2.2819541443987493e-12
2.426610753 1.712163035894042e-12
2.428218845 2.6377574041754457e-11
2.4298269369999996 4.0583918937791626e-10
2.431435029 2.0802204585402796e-10
2.4330431210000003 1.356036552043924e-11
2.434651213 8.910588197811261e-13
2.436259305 3.6833298634309115e-12
2.4378673969999998 4.611210824660891e-11
2.439475489 5.819690126424476e-10
2.441083581 3.2927402258980986e-10
2.4426916729999997 2.162969949064601e-10
2.4442997650000002 1.4302778084363014e-10
2.4459078570000004 1.6289656027714778e-11
2.447515949 2.1190802707902622e-12
2.44912404 9.267172665576783e-13
2.450732132 1.2283686236716102e-11
2.452340224 1.6642946285365236e-10
2.453948316 3.558372215813027e-10
2.455556408 2.6446606631665148e-11
2.4571644999999998 2.018060489697137e-12
2.458772592 1.8771722697508103e-12
2.460380684 2.886553466490255e-11
2.461988776 4.487449706603399e-10
2.463596868 4.62953620049677e-10
2.46520496 8.056534855826589e-11
2.466813052 1.6883945451822862e-11
2.468421144 2.7797279631536872e-11
2.470029236 1.3946881791493152e-10
2.471637328 9.183593044421044e-10
2.47324542 9.889501305095786e-10
2.474853512 5.820445318472835e-10
2.4764616040000003 3.672739092046567e-10
2.478069696 2.9094355750516523e-10
2.479677788 2.4951459557398884e-10
2.481285879 2.1707348790881174e-10
2.4828939709999998 3.0128224996191806e-10
2.484502063 4.902966553836501e-10
2.486110155 1.0221216709808714e-09
2.4877182469999997 1.044586497034659e-10
2.489326339 8.165335451890767e-12
2.4909344310000003 6.415168142700063e-13
2.492542523 7.261986913172607e-12
2.494150615 3.864290046953364e-09
2.495758707 5.5754973263118966e-08
2.497366799 4.38438494806456e-09
2.498974891 3.1876484098924737e-10
2.499778162 2.325694668810596e-11
2.5005829829999997 2.590114751739226e-10
2.5011293930000003 1.0062796834366183e-08
2.5021910750000003 2.3440418142314463e-08
2.502480624 2.995475343501371e-09
2.5038318559999997 9.91826869045663e-09
2.505183087 1.7251257750574142e-10
2.506534319 4.522137366917458e-09
2.50788555 2.3235466842850123e-09
2.509236782 1.4342559400965085e-09
2.510588013 2.7111752869681014e-09
2.511939244 2.521278965861669e-09
2.5132904760000003 1.8657681801337154e-09
2.514641707 1.5219886756314548e-09
2.515992939 9.159502230074384e-10
2.51734417 2.1962619242501085e-09
2.5186954019999996 1.0744084648916595e-09
2.5200466329999998 1.2636418061182358e-09
2.521397865 2.8020281773384726e-09
2.522749096 1.2807435145654443e-09
2.524100327 1.908914039045548e-09
2.525451559 2.938135402651016e-10
2.52680279 1.04893314136175e-09
2.5281540220000003 1.1572429777182273e-10
2.529505253 4.185800258358458e-11
2.5308564849999997 7.72116227372731e-10
2.532207716 7.54724531511808e-10
2.533558948 1.4192856464007866e-09
2.534910179 7.149147724032877e-10
2.5362614100000003 3.2201698148259767e-10
2.537612642 3.6224942806084515e-10
2.538963873 5.31317253206938e-10
2.5403151050000004 5.76526102882796e-10
2.5416663359999996 4.0694520504059835e-10
2.5430175680000002 5.371790193575729e-10
2.544368799 3.0951156824127305e-10
2.54572003 3.527118281549281e-11
2.547071262 1.4997216848982052e-10
2.548422493 2.711809023992316e-10
2.549773725 2.7867747504429907e-10
2.551124956 2.751144017522394e-10
2.552476188 2.3695103608602787e-10
2.553827419 2.2964672719055724e-10
2.5551786510000003 1.1758605316076715e-10
2.556529882 1.2837367849775263e-10
2.557881113 1.3684298721205526e-10
2.559232345 9.443571198717796e-11
2.560583576 7.081306843719695e-11
2.561934808 1.8064142338492582e-11
2.5632860390000003 4.8639058982651366e-11
2.564637271 2.152783695269545e-11
2.565988502 2.507760094422624e-11
2.567339733 2.1613857601938085e-11
2.5686909649999996 9.828228216703037e-12
2.5700421959999997 5.4067130668093746e-12
2.571393428 1.4144342441363907e-11
2.572744659 1.4843985362367002e-11
2.574095891 1.7738491398122116e-11
2.575447122 6.980471969577705e-12
2.576798354 1.1667597942093602e-11
2.5781495850000002 3.244459437049954e-11
2.5795008160000004 2.509123624129441e-11
2.580852048 1.8389416901340546e-11
2.582203279 4.474586213839366e-11
2.583554511 3.2299900251079807e-11
2.584905742 1.2507284480268237e-11
2.586256974 7.997794885496014e-14
2.587608205 8.471831223919118e-12
2.588959437 1.2790450298625145e-11
2.590310668 1.5023686195090337e-12
2.591661899 8.984505858456688e-12
2.593013131 8.621338622988159e-12
2.594364362 2.0965992854392932e-11
2.5957155939999996 9.018938848702394e-12
2.5970668249999997 2.2490613130137615e-11
2.598418057 1.1975121817560198e-11
2.599769288 3.445766329222285e-12
2.601120519 1.7278755041049852e-11
2.602471751 6.738397042265744e-12
2.603822982 9.746620087072286e-12
2.6051742140000003 1.5397943847530414e-11
2.6065254450000004 2.869788359315752e-11
2.607876677 2.9127084050317846e-11
2.609227908 2.054804719823368e-11
2.61057914 1.7098357491459214e-11
2.611930371 1.505942872732617e-11
2.613281602 2.0721329133302987e-12
2.614632834 1.4808294151008108e-11
2.615984065 1.8150982012986004e-11
2.617335297 2.2080338432332827e-11
2.618686528 1.8985164710022958e-11
2.62003776 2.7233206055023113e-11
2.621388991 4.138592822744085e-11
2.622740222 1.236458449372449e-11
2.6240914539999998 6.09464272948056e-12
2.625442685 1.6849236122141e-11
2.626793917 1.4294824532368563e-11
2.628145148 2.8898695190474034e-11
