Filter Pivot_Wavelength_(microns) SW_Response_Half-Power_(microns) LW_Response_Half-Power_(microns) Bandwidth_(microns) BW/Pivot_% Effective_Response Wheel,_Slot
F070W 0.704 0.622 0.783 0.132 18.7 0.200 Filter,1
F090W 0.903 0.796 1.005 0.189 20.9 0.290 Filter,2
F115W 1.154 1.012 1.281 0.224 19.4 0.327 Filter,3
F140M 1.406 1.332 1.479 0.141 10.0 0.399 Filter,11
F150W2 1.659 1.008 2.333 1.169 70.5 0.416 Filter,12
F150W 1.500 1.331 1.668 0.319 21.3 0.422 Filter,4
F162M 1.628 1.542 1.714 0.168 10.3 0.415 Pupil,6
F164N 1.645 1.636 1.653 0.020 1.2 0.354 Pupil,11
F182M 1.845 1.722 1.968 0.238 12.9 0.455 Filter,10
F187N 1.874 1.863 1.884 0.024 1.3 0.365 Filter,8
F200W 1.989 1.755 2.226 0.457 23.0 0.475 Filter,5
F210M 2.095 1.991 2.201 0.203 9.7 0.463 Filter,9
F212N 2.122 2.110 2.135 0.027 1.3 0.400 Filter,6
F250M 2.504 2.412 2.595 0.180 7.2 0.401 Filter,10
F277W 2.750 2.402 3.120 0.680 24.7 0.409 Filter,1
F300M 2.989 2.830 3.153 0.311 10.4 0.380 Filter,4
F322W2 3.231 2.437 4.018 1.392 43.1 0.450 Filter,12
F323N 3.236 3.217 3.255 0.038 1.2 0.284 Pupil,6
F335M 3.358 3.165 3.540 0.364 10.8 0.424 Filter,11
F356W 3.564 3.145 3.972 0.775 21.8 0.485 Filter,2
F360M 3.625 3.426 3.817 0.377 10.4 0.459 Filter,7
F405N 4.051 4.028 4.073 0.044 1.1 0.355 Pupil,5
F410M 4.072 3.850 4.296 0.449 11.0 0.458 Filter,6
F430M 4.282 4.171 4.398 0.223 5.2 0.453 Filter,8
F444W 4.390 3.875 4.966 0.993 22.6 0.453 Filter,3
F460M 4.636 4.521 4.753 0.228 4.9 0.379 Filter,9
F466N 4.654 4.629 4.681 0.054 1.2 0.276 Pupil,9
F470N 4.708 4.683 4.734 0.052 1.1 0.255 Pupil,11
F480M 4.794 4.655 4.943 0.276 5.7 0.319 Filter,5
