microns throughput
0.55 8.790429426254068e-06
0.551 8.659027103029949e-06
0.552 1.0750401750885655e-05
0.553 1.2982765746644406e-05
0.554 1.4573370900469506e-05
0.555 1.555582919558181e-05
0.556 1.5660109245858347e-05
0.557 1.6580458705594484e-05
0.558 1.6342327505156133e-05
0.559 1.4925800272862001e-05
0.56 1.6053517272466594e-05
0.561 1.7493818696622933e-05
0.562 1.7188871090179124e-05
0.563 1.638535177870845e-05
0.564 1.7058775798420857e-05
0.565 1.7477013141273167e-05
0.566 1.7668803335706e-05
0.567 1.6754936554681002e-05
0.568 1.6709762734402224e-05
0.569 1.6848630634099363e-05
0.57 1.617483321208663e-05
0.571 1.6770553043616837e-05
0.572 1.9724399456735887e-05
0.573 2.344794360893248e-05
0.574 2.5644786880536906e-05
0.575 2.9370170102931024e-05
0.576 3.714945806897398e-05
0.577 4.560058516467295e-05
0.578 5.214902471713898e-05
0.579 5.974020048219593e-05
0.58 7.085772096000674e-05
0.581 8.782057070293475e-05
0.582 0.00011338320369413348
0.583 0.00015941156824087458
0.584 0.0002664930115921486
0.585 0.000519539972736112
0.586 0.0009243491182570017
0.587 0.001199982332411643
0.588 0.0010902245341448255
0.589 0.000695465089211636
0.59 0.00035907968690196743
0.591 0.00019754755458748708
0.592 0.0001343162558344085
0.593 0.00010045630525451087
0.594 8.180025454554376e-05
0.595 7.86027937676492e-05
0.596 7.252154574741298e-05
0.597 7.351708430283214e-05
0.598 7.894813150210282e-05
0.599 8.131630532570105e-05
0.6 8.741223850065684e-05
0.601 9.650570900140633e-05
0.602 0.00011122611767015099
0.603 0.000134497460643972
0.604 0.00016227382794498026
0.605 0.00018685188632960216
0.606 0.00021288059576614503
0.607 0.00023584479201858567
0.608 0.00024075176574751985
0.609 0.0002306498902955778
0.61 0.00021079751886969898
0.611 0.00018518979130955197
0.612 0.00015573887967510705
0.613 0.00013132703898873573
0.614 0.00011157239944729491
0.615 9.934095478871584e-05
0.616 8.92661542849892e-05
0.617 8.375707186738051e-05
0.618 8.241879475478403e-05
0.619 7.654549163016149e-05
0.62 7.075718115258984e-05
0.621 6.706008144594967e-05
0.622 7.462913098116096e-05
0.623 7.991854015839135e-05
0.624 8.845428854241998e-05
0.625 0.00010443860048094362
0.626 0.00012818643087966097
0.627 0.0001663650490773555
0.628 0.00023188203436730323
0.629 0.00033908078779591527
0.63 0.0005031473991024792
0.631 0.0007073480740982469
0.632 0.0008554442044314669
0.633 0.0008599023903105449
0.634 0.0007281124186740995
0.635 0.000562747660526101
0.636 0.00043476539396646605
0.637 0.00036053752674191963
0.638 0.000322948835350056
0.639 0.000310888066338301
0.64 0.0003267336120697455
0.641 0.0003595630542303735
0.642 0.00040701758480881354
0.643 0.0004560495503462222
0.644 0.0004950550099986636
0.645 0.0004986632558994983
0.646 0.0004526778155587929
0.647 0.0003758466595028953
0.648 0.0002931174480167004
0.649 0.0002317409542334308
0.65 0.00018756138266492174
0.651 0.00015388910285846756
0.652 0.00013237754952193028
0.653 0.00012699376866888272
0.654 0.00012515705926740916
0.655 0.00012843174382708513
0.656 0.00013841079455314967
0.657 0.00016205692148516795
0.658 0.00019042743738626036
0.659 0.00022858706633092105
0.66 0.00027462664412756697
0.661 0.00032164874055023117
0.662 0.00033841399461264385
0.663 0.0003215007883036816
0.664 0.0002870275608302625
0.665 0.0002514744556171318
0.666 0.00021570250047107616
0.667 0.0001852605583519767
0.668 0.00017083704205467874
0.669 0.00016302596723393036
0.67 0.00016084556558832485
0.671 0.00016158292293954853
0.672 0.00017859637278126825
0.673 0.00020649085451597484
0.674 0.000244406311791608
0.675 0.000279714137439254
0.676 0.0003138145122458019
0.677 0.000334400142114293
0.678 0.0003411411934967517
0.679 0.00032525418899977696
0.68 0.0002897876923701233
0.681 0.00024034093078755022
0.682 0.00020239405383361378
0.683 0.00018835774093422684
0.684 0.00018166033913215334
0.685 0.00017396112138070365
0.686 0.00016817821311163565
0.687 0.00017272754408497544
0.688 0.00018161102680575155
0.689 0.00018813558915917959
0.69 0.00020186289065953283
0.691 0.00021505651821814232
0.692 0.0002159835214728235
0.693 0.00020509741526200106
0.694 0.00018971971444274398
0.695 0.00017033988411745263
0.696 0.00014576472350164628
0.697 0.00012861832486391807
0.698 0.00011736246622957335
0.699 0.0001087312277410062
0.7 0.00010068771731683414
0.701 9.137836811655958e-05
0.702 8.645133135545019e-05
0.703 9.102979999165518e-05
0.704 0.00010517039096256847
0.705 0.00012251463339465725
0.706 0.00014451733148300878
0.707 0.00016934804589260836
0.708 0.00020101669940040764
0.709 0.00025369555712413184
0.71 0.00035192531927835007
0.711 0.0005152079040934888
0.712 0.0007602920406724088
0.713 0.001094604439464985
0.714 0.0015434788071366197
0.715 0.002002913816128035
0.716 0.0022714819570618184
0.717 0.0021372374720037652
0.718 0.0017179051114411615
0.719 0.001248974168008456
0.72 0.0008800196369405829
0.721 0.0006062414583764384
0.722 0.00041763898246410027
0.723 0.0003090935629799018
0.724 0.00022557553615891048
0.725 0.00017140975016840962
0.726 0.00013689971057513617
0.727 0.00011515623255364405
0.728 9.277746841465961e-05
0.729 7.164871217612111e-05
0.73 6.54441127681487e-05
0.731 6.214556851599583e-05
0.732 5.866746349386686e-05
0.733 5.356204154586195e-05
0.734 5.883526327206979e-05
0.735 6.108281867175182e-05
0.736 5.506727076046562e-05
0.737 5.777335046966798e-05
0.738 7.073720058353882e-05
0.739 8.902264387327664e-05
0.74 9.768463357988344e-05
0.741 0.00012189803911825549
0.742 0.0001605119898882044
0.743 0.00023089649797216927
0.744 0.0003441301029771016
0.745 0.0005223966234183387
0.746 0.0007788905707220754
0.747 0.0011163350052428
0.748 0.0014643892284066005
0.749 0.0017163385838610038
0.75 0.001817900641304884
0.751 0.001885070887532734
0.752 0.002206793915851385
0.753 0.0029775095361801686
0.754 0.003837446153863
0.755 0.0038269182387675274
0.756 0.0027095088870322547
0.757 0.0013346874155132147
0.758 0.000547716617288966
0.759 0.0002687581210246559
0.76 0.00015298673908016277
0.761 8.63669604886804e-05
0.762 5.1622546172030584e-05
0.763 4.189068407771706e-05
0.764 2.9051521428021356e-05
0.765 1.636171932637723e-05
0.766 1.5729005123324414e-05
0.767 1.6782059027164175e-05
0.768 1.6436157919831993e-05
0.769 1.1249916115458677e-05
0.77 1.1681941864925024e-05
0.771 9.746538552344208e-06
0.772 1.229494509809395e-05
0.773 1.187315005178131e-05
0.774 5.338503766304287e-06
0.775 6.973181872956939e-06
0.776 1.0077571682619558e-05
0.777 1.8350451942211897e-05
0.778 7.127712695138619e-06
0.779 8.272779350870892e-06
0.78 1.155455787375179e-05
0.781 1.7057931359666733e-05
0.782 9.700882851079191e-06
0.783 1.8727069667292353e-05
0.784 1.8721445358588593e-05
0.785 1.4444211713838714e-05
0.786 1.2437712529654022e-05
0.787 1.9379403799928914e-05
0.788 3.0073118821828883e-05
0.789 5.558961217294e-05
0.79 0.00010873819931661176
0.791 0.00016538466276699051
0.792 0.0001913691170751014
0.793 0.00015706570978972446
0.794 0.00010438562025249234
0.795 7.014765588469845e-05
0.796 5.1712032597883454e-05
0.797 0.0
0.798 0.0003677423286815052
0.799 0.0010704939714029854
0.8 0.00227208115830066
0.801 0.0016732916989267664
0.802 0.002486048675877684
0.803 0.0022319354108626052
0.804 0.002276597165408935
0.805 0.00047748641984577615
0.806 0.0001835201702523567
0.807 0.0008299776777596072
0.808 0.0018923717997696458
0.809 0.0020966464926733784
0.81 0.0010203514754381238
0.811 0.001293089660379755
0.812 0.0012046494598537609
0.813 0.001750938718169528
0.814 0.0016669738670198409
0.815 0.0018609139330813874
0.816 0.0013019141771910517
0.817 0.0014605002520550175
0.818 0.0013563964743888103
0.819 0.001093370866839045
0.82 0.0015139112003066087
0.821 0.002455248350080183
0.822 0.002052118488870584
0.823 0.0006126761063157433
0.824 0.0
0.825 0.00025868937470955195
0.826 0.001622909143038876
0.827 0.0020030393043755958
0.828 0.0008938679375670403
0.829 5.553524970441652e-06
0.83 0.000579158039381894
0.831 0.0011140495981928368
0.832 0.0014343259153696097
0.833 0.001258721870179452
0.834 0.0012264126032172223
0.835 0.0011163042890935122
0.836 0.001186510869983083
0.837 0.0011025511799696683
0.838 0.0013774999506942576
0.839 0.0014227651033417595
0.84 0.0011458179153992403
0.841 0.000933624636190877
0.842 0.001121599320273733
0.843 0.0009836058059574065
0.844 0.000845884628662529
0.845 0.0007632133851202905
0.846 0.0009541559896475795
0.847 0.001316252849757181
0.848 0.0014526885389121239
0.849 0.0010735707682127946
0.85 0.0009366022262989344
0.851 0.0012018544987408056
0.852 0.0013894841684463615
0.853 0.0014157357359064274
0.854 0.0016465401102096796
0.855 0.0011015438020550302
0.856 0.0006178937209436227
0.857 0.0003848671314058699
0.858 0.0009938994574692
0.859 0.001241818925687239
0.86 0.0016722463718183752
0.861 0.0010983242237319144
0.862 0.000877325179412405
0.863 0.0006137380621950544
0.864 0.001127054337771573
0.865 0.0011918014916693918
0.866 0.001329755963129878
0.867 0.0007551757302508614
0.868 0.0009213100071445701
0.869 0.0012377304990351702
0.87 0.0014824072617913003
0.871 0.0011711661676363184
0.872 0.0013223977910300638
0.873 0.001326808910150357
0.874 0.0011499027273457843
0.875 0.0011359175099063907
0.876 0.0012639152662512105
0.877 0.0012954058162397068
0.878 0.0012166117696825744
0.879 0.0011658429676651158
0.88 0.001055730692602704
0.881 0.0009142755907343724
0.882 0.0008849729861717965
0.883 0.0009344840536256106
0.884 0.0008357066597521073
0.885 0.0006847302181535741
0.886 0.0007639296176289701
0.887 0.0009530721402095709
0.888 0.0008261324400314213
0.889 0.0006798109649871877
0.89 0.0008695782103855985
0.891 0.0010080754535925019
0.892 0.0009820581098206576
0.893 0.0010300285132424124
0.894 0.0011460831934878408
0.895 0.0011773680766552035
0.896 0.0011663165669721287
0.897 0.0011033460504800102
0.898 0.001079113373678307
0.899 0.001082680080786306
0.9 0.0011457685113381248
0.901 0.001266203017125195
0.902 0.001305783841358472
0.903 0.001265546679381707
0.904 0.0012082403425701278
0.905 0.0011984365536464813
0.906 0.001061796417799878
0.907 0.0009183778942395302
0.908 0.000945152110992955
0.909 0.0010102155063875765
0.91 0.0009268838356596581
0.911 0.0007821884557366575
0.912 0.0008112078194085979
0.913 0.0009628453594505567
0.914 0.00092371010737485
0.915 0.0008053325404070509
0.916 0.0006458812388824211
0.917 0.0005133427664882637
0.918 0.0005307633826583468
0.919 0.0006771141841730273
0.92 0.0007664204980437715
0.921 0.0007210582588234885
0.922 0.0006825316747400157
0.923 0.0007729328015616692
