Filter Pivot_Wavelength_(microns) SW_Response_Half-Power_(microns) LW_Response_Half-Power_(microns) Bandwidth_(microns) BW/Pivot_% Effective_Response Wheel,_Slot
F070W 0.704 0.621 0.781 0.132 18.8 0.200 Filter,1
F090W 0.902 0.795 1.005 0.194 21.5 0.292 Filter,2
F115W 1.154 1.013 1.282 0.225 19.5 0.325 Filter,3
F140M 1.405 1.331 1.479 0.142 10.1 0.397 Filter,11
F150W2 1.659 1.008 2.334 1.175 70.8 0.415 Filter,12
F150W 1.501 1.331 1.668 0.318 21.2 0.422 Filter,4
F162M 1.627 1.542 1.713 0.168 10.3 0.416 Pupil,6
F164N 1.645 1.635 1.653 0.020 1.2 0.355 Pupil,11
F182M 1.845 1.722 1.968 0.237 12.9 0.454 Filter,10
F187N 1.874 1.863 1.884 0.024 1.3 0.374 Filter,8
F200W 1.989 1.755 2.226 0.457 23.0 0.472 Filter,5
F210M 2.095 1.992 2.201 0.206 9.8 0.461 Filter,9
F212N 2.121 2.109 2.134 0.027 1.3 0.394 Filter,6
F250M 2.503 2.412 2.595 0.180 7.2 0.383 Filter,10
F277W 2.762 2.416 3.127 0.683 24.7 0.389 Filter,1
F300M 2.989 2.829 3.155 0.315 10.5 0.363 Filter,4
F322W2 3.232 2.430 4.013 1.356 42.0 0.443 Filter,12
F323N 3.237 3.217 3.255 0.038 1.2 0.285 Pupil,6
F335M 3.362 3.177 3.538 0.352 10.5 0.417 Filter,11
F356W 3.568 3.140 3.980 0.781 21.9 0.480 Filter,2
F360M 3.624 3.427 3.814 0.370 10.2 0.458 Filter,7
F405N 4.052 4.028 4.074 0.045 1.1 0.372 Pupil,5
F410M 4.082 3.864 4.301 0.438 10.7 0.469 Filter,6
F430M 4.281 4.167 4.398 0.228 5.3 0.469 Filter,8
F444W 4.408 3.880 4.986 1.029 23.3 0.474 Filter,3
F460M 4.630 4.515 4.747 0.229 4.9 0.392 Filter,9
F466N 4.654 4.629 4.681 0.054 1.2 0.293 Pupil,9
F470N 4.708 4.683 4.733 0.051 1.1 0.274 Pupil,11
F480M 4.874 4.662 4.977 0.300 6.1 0.317 Filter,5
