Wavelength_microns Throughput
0.55 3.1858870950143735e-06
0.551 2.474677172663932e-06
0.552 3.582414274717513e-06
0.553 4.65582419531943e-06
0.554 5.116760192464828e-06
0.555 5.104433253796611e-06
0.556 4.89425823679985e-06
0.557 5.584458227866136e-06
0.558 6.7314406061907355e-06
0.559 7.75461651753543e-06
0.56 8.333275268361615e-06
0.561 8.843672596098286e-06
0.562 8.992030154714544e-06
0.563 8.686113506520307e-06
0.564 8.594446227088382e-06
0.565 8.160182352383585e-06
0.566 7.706039194221121e-06
0.567 6.919107697965803e-06
0.568 6.611328214033538e-06
0.569 6.457952432182372e-06
0.57 6.078517485913232e-06
0.571 6.255293514069412e-06
0.572 7.375434320310112e-06
0.573 8.862721739965247e-06
0.574 9.924002710633447e-06
0.575 1.1877323989635164e-05
0.576 1.598165256798132e-05
0.577 2.104165296877314e-05
0.578 2.5856952851693582e-05
0.579 3.156599651202545e-05
0.58 3.889966896501927e-05
0.581 4.834692084720695e-05
0.582 6.0970516685704076e-05
0.583 8.284193469911572e-05
0.584 0.0001337812601568569
0.585 0.000253523680656017
0.586 0.00044145154275763635
0.587 0.0005628206080220595
0.588 0.0005033085321205757
0.589 0.00031673053543696255
0.59 0.00016152348706687393
0.591 8.770791221512319e-05
0.592 5.877075627664434e-05
0.593 4.33426038926266e-05
0.594 3.4915772680218176e-05
0.595 3.332005557356774e-05
0.596 3.0617860449064215e-05
0.597 3.09662660855437e-05
0.598 3.320929520545888e-05
0.599 3.4178164524955966e-05
0.6 3.672227828796476e-05
0.601 4.100788713496754e-05
0.602 4.7804096414174975e-05
0.603 5.8463629053746e-05
0.604 7.133335834899562e-05
0.605 8.305515337294595e-05
0.606 9.567016568543241e-05
0.607 0.00010714590864920918
0.608 0.0001105457974660253
0.609 0.00010699971217976993
0.61 9.875215973632548e-05
0.611 8.760283349178781e-05
0.612 7.435537502987986e-05
0.613 6.324406784737513e-05
0.614 5.41580834131995e-05
0.615 4.8546426482757414e-05
0.616 4.3929711483442324e-05
0.617 4.167776440067161e-05
0.618 4.1489454347553546e-05
0.619 3.893782578577842e-05
0.62 3.629785049761009e-05
0.621 3.4676404911067564e-05
0.622 3.893581207197004e-05
0.623 4.210203067156179e-05
0.624 4.68959285734784e-05
0.625 5.5645424706521396e-05
0.626 6.871474130362353e-05
0.627 8.97737025018588e-05
0.628 0.00012598429702422338
0.629 0.00018549796522094488
0.63 0.0002771526009610475
0.631 0.00039196669417880254
0.632 0.0004768600186983843
0.633 0.0004821919737285388
0.634 0.0004107028879036968
0.635 0.00031929160779117126
0.636 0.000248118183017686
0.637 0.00020695153222644798
0.638 0.00018644487787847715
0.639 0.00018051044677073718
0.64 0.00019078973905925302
0.641 0.00021110536868344885
0.642 0.00024025687497076422
0.643 0.0002706356024200173
0.644 0.0002953363396348703
0.645 0.00029907218426855896
0.646 0.0002729549614600206
0.647 0.0002278426452758488
0.648 0.00017862900416692128
0.649 0.00014195741041354962
0.65 0.00011547896773639735
0.651 9.516687911036681e-05
0.652 8.22225147538664e-05
0.653 7.922825686481915e-05
0.654 7.844350656798298e-05
0.655 8.089084985365538e-05
0.656 8.762379393092099e-05
0.657 0.00010312924517618949
0.658 0.00012181403561278945
0.659 0.000146972583816273
0.66 0.00017744669587552807
0.661 0.00020855583082316707
0.662 0.00022012501938297737
0.663 0.00020974715697013224
0.664 0.00018780436903348725
0.665 0.00016502743764393627
0.666 0.00014197778164689895
0.667 0.00012231276664389522
0.668 0.00011313831790300382
0.669 0.00010830121685259658
0.67 0.00010718659207423812
0.671 0.00010801513658799862
0.672 0.00011976238312227033
0.673 0.00013890138971827372
0.674 0.0001649204120376547
0.675 0.00018933463993584044
0.676 0.00021307827114128443
0.677 0.00022776099607531178
0.678 0.0002330717263591324
0.679 0.00022290307883305287
0.68 0.00019920735981008555
0.681 0.00016558939841341617
0.682 0.00013975794831957416
0.683 0.00013035580779812542
0.684 0.00012600003564198424
0.685 0.00012092783632357196
0.686 0.00011716903919445655
0.687 0.00012060940054224292
0.688 0.00012709936548297395
0.689 0.00013196459651725078
0.69 0.00014191666126251769
0.691 0.00015146721587580315
0.692 0.00015240063022791444
0.693 0.00014498983003261563
0.694 0.00013437172757569584
0.695 0.00012087181744853122
0.696 0.00010362309446831176
0.697 9.159784497482474e-05
0.698 8.373001852317777e-05
0.699 7.770834528465087e-05
0.7 7.208388121263899e-05
0.701 6.552706507534126e-05
0.702 6.209598214283765e-05
0.703 6.54935168299478e-05
0.704 7.579568765972558e-05
0.705 8.84478951091177e-05
0.706 0.00010451406574624022
0.707 0.00012268464821015246
0.708 0.00014587864093249106
0.709 0.0001844219281919556
0.71 0.00025625882641532006
0.711 0.00037568696210746994
0.712 0.0005551739551955008
0.713 0.0008003936903326822
0.714 0.0011301632168527098
0.715 0.0014685737219225178
0.716 0.0016677705363604294
0.717 0.0015713557313508878
0.718 0.0012647859775939115
0.719 0.0009208074573381311
0.72 0.0006496903743061381
0.721 0.00044815834592164993
0.722 0.0003091429829040305
0.723 0.00022909797356182113
0.724 0.00016741575954233427
0.725 0.00012738338775826805
0.726 0.00010187143228245114
0.727 8.580437828168262e-05
0.728 6.9220703430892e-05
0.729 5.3526965698232605e-05
0.73 4.895586412330257e-05
0.731 4.654577686712224e-05
0.732 4.399491263113908e-05
0.733 4.021575684591879e-05
0.734 4.422925620223668e-05
0.735 4.5975082398249315e-05
0.736 4.14979894509257e-05
0.737 4.3590260991638757e-05
0.738 5.343629264125544e-05
0.739 6.733072999239225e-05
0.74 7.397091435484523e-05
0.741 9.240715520253767e-05
0.742 0.00012181122083255093
0.743 0.00017541406556895062
0.744 0.00026171756147996513
0.745 0.00039771261425111264
0.746 0.0005936087841169978
0.747 0.0008516691909142456
0.748 0.0011183724342837646
0.749 0.001312177189064836
0.75 0.0013913314708660556
0.751 0.0014434991770487869
0.752 0.0016908043328958974
0.753 0.0022826481981764574
0.754 0.002943678544602799
0.755 0.0029374109351592037
0.756 0.002081022993790555
0.757 0.0010257435469849206
0.758 0.00042120055733954766
0.759 0.00020680782877140853
0.76 0.00011779483224909953
0.761 6.653914932784129e-05
0.762 3.979359541942546e-05
0.763 3.2308932959879046e-05
0.764 2.2417938005602013e-05
0.765 1.2631969073737275e-05
0.766 1.2149403227703943e-05
0.767 1.2969046784717861e-05
0.768 1.2707794363171513e-05
0.769 8.702098637110651e-06
0.77 9.040487491950709e-06
0.771 7.549582390590268e-06
0.772 9.532119314447297e-06
0.773 9.213230772908962e-06
0.774 4.146095816392366e-06
0.775 5.420176777668134e-06
0.776 7.839508949130298e-06
0.777 1.4286230286343641e-05
0.778 5.553238661451724e-06
0.779 6.450010999723581e-06
0.78 9.01495309435961e-06
0.781 1.3316432236067953e-05
0.782 7.5772935386857125e-06
0.783 1.4635326685643372e-05
0.784 1.4638087507916955e-05
0.785 1.12985801651108e-05
0.786 9.732472837001796e-06
0.787 1.5168872372950458e-05
0.788 2.3544424471670263e-05
0.789 4.352116450858895e-05
0.79 8.509549184538896e-05
0.791 0.00012930187265761258
0.792 0.0001494402654039383
0.793 0.0001226293660753282
0.794 8.168854614617996e-05
0.795 5.512934001748244e-05
0.796 4.081828172298588e-05
0.797 0.0
0.798 0.0002922905062553549
0.799 0.0008532676345264003
0.8 0.0018158199216443136
0.801 0.0013408681440615065
0.802 0.001998599269007705
0.803 0.0018003088642160674
0.804 0.001839592425463982
0.805 0.00038539709265882484
0.806 0.00014775195316093774
0.807 0.0006668703927845499
0.808 0.0015188324357231875
0.809 0.0016820805813503475
0.81 0.0008185704180045309
0.811 0.0010374126322895368
0.812 0.0009666001037617775
0.813 0.001405231913592068
0.814 0.0013381868409384128
0.815 0.001494314261973003
0.816 0.0010457803535687165
0.817 0.0011735864960586238
0.818 0.0010903511223714427
0.819 0.0008792703704881633
0.82 0.001217973178917433
0.821 0.001976283598414251
0.822 0.0016526375350379057
0.823 0.00049366536767942
0.824 0.0
0.825 0.00020866987589843213
0.826 0.001309894628011123
0.827 0.0016177378755317367
0.828 0.0007224007434841896
0.829 4.491178499103988e-06
0.83 0.00046867148011145394
0.831 0.000901982152411044
0.832 0.001161849881567806
0.833 0.0010200623256933182
0.834 0.0009942933322858749
0.835 0.0009053776057362876
0.836 0.0009626790144167069
0.837 0.0008948985213781286
0.838 0.001118527032885517
0.839 0.0011558272311297504
0.84 0.0009313406294867672
0.841 0.0007592933702266852
0.842 0.0009127074548314686
0.843 0.000800892356017987
0.844 0.0006891634975011712
0.845 0.0006221781961610025
0.846 0.0007783003941306156
