Wavelength_microns Throughput
2.0004663860000003 5.070449575383511e-12
2.002074478 5.719956753000302e-12
2.00368257 6.290472607332232e-12
2.005290662 4.729815834862839e-12
2.006898754 3.784455292459281e-12
2.008506846 3.562137349645375e-12
2.010114938 3.1753831662754914e-12
2.01172303 2.4336526620028594e-12
2.013331122 2.170652037041064e-12
2.014939214 2.0393376898956487e-12
2.016547306 2.1031989959109267e-12
2.018155398 2.5490716975265865e-12
2.01976349 2.7985907459278744e-12
2.021371582 2.4244302508290653e-12
2.022979674 2.2973450045744187e-12
2.0245877660000002 2.42901389926368e-12
2.026195858 1.907690964538156e-12
2.027803949 1.5901971200593306e-12
2.029412041 1.7256066116742617e-12
2.031020133 2.3824075389539936e-12
2.032628225 2.502324918138869e-12
2.034236317 1.993114425185979e-12
2.035844409 1.5948947284672018e-12
2.037452501 1.3568064465372478e-12
2.039060593 1.3200865055813683e-12
2.040668685 1.417222960090464e-12
2.042276777 1.5210677233266041e-12
2.0438848689999998 1.679157522981402e-12
2.045492961 1.8372130375904423e-12
2.047101053 2.1480772117679927e-12
2.0487091449999997 1.9049159881281165e-12
2.0503172370000002 1.445661778672423e-12
2.0519253290000004 1.3411365062348342e-12
2.053533421 1.5536598955793178e-12
2.055141513 2.0615160848169366e-13
2.056749605 8.294582545025245e-15
2.058357697 1.0192503780451018e-14
2.059965788 1.4952679713436026e-13
2.06157388 4.283897403598306e-13
2.0631819719999998 6.184337360838677e-13
2.064790064 8.650960253127811e-13
2.066398156 1.1711034254436942e-12
2.068006248 1.76410406436178e-12
2.06961434 2.376990178422229e-12
2.071222432 2.079297179795188e-12
2.072830524 1.2314032194053262e-12
2.074438616 2.0473898783550055e-12
2.076046708 3.851838172794534e-12
2.0776548 4.545755875346045e-12
2.079262892 2.358872906211046e-12
2.080870984 1.7242226402660815e-12
2.0824790760000003 2.6553820182158264e-12
2.084087168 4.953603484218731e-12
2.08569526 4.65727205817634e-12
2.0873033519999997 4.5553715547702604e-12
2.088911444 4.568655304957399e-12
2.090519536 6.549069379167979e-12
2.092127627 9.717076683038037e-12
2.0937357189999997 1.4725614309542833e-11
2.0953438110000002 1.5332715957738103e-11
2.0969519030000003 1.5563155245367772e-11
2.098559995 2.2357822806761637e-11
2.100168087 3.579920233008076e-11
2.101776179 2.7769003446331017e-11
2.103384271 1.942033805566123e-11
2.104992363 1.848780987553766e-11
2.1066004549999997 2.1936031812173602e-11
2.1082085470000003 2.389484221440876e-11
2.109816639 2.681994955760091e-11
2.111424731 3.2376286406253806e-11
2.113032823 3.101134834411571e-11
2.114640915 3.734776439149701e-11
2.116249007 3.3250822075293305e-11
2.1178570989999996 2.8864427719381302e-11
2.1194651909999997 2.7497664616492784e-11
2.1210732830000003 2.5866511829749356e-11
2.122681375 3.4871252185138425e-11
2.124289466 5.658966327503041e-11
2.125897558 4.603714949150224e-11
2.1275056500000002 3.0806521922297526e-11
2.129113742 3.136306258321958e-11
2.130721834 4.885223754936115e-11
2.1323299259999997 7.868134265605869e-11
2.133938018 6.581191488557417e-11
2.1355461100000004 5.8194948532705576e-11
2.137154202 7.014463290264424e-11
2.138762294 8.454349381436868e-11
2.140370386 6.636722054134395e-11
2.141978478 6.370980345071856e-11
2.14358657 5.916145652050314e-11
2.1451946619999998 5.396700314927092e-11
2.146802754 4.1990750431457164e-11
2.1484108460000004 3.058914249460449e-11
2.150018938 3.698323283534447e-11
2.15162703 2.4562706295596247e-11
2.153235122 2.1832233448171675e-11
2.154843214 3.816101493039944e-11
2.156451305 1.046486832167527e-10
2.158059397 6.281244298639974e-11
2.159667489 4.3145541995601376e-11
2.161275581 5.081530055513372e-11
2.1628836729999996 7.796739425890776e-11
2.164491765 1.014066055276361e-10
2.1660998570000003 1.1310028916548991e-10
2.167707949 1.5037325709189633e-10
2.169316041 1.548526607263238e-10
2.170924133 1.6411937022815366e-10
2.172532225 1.964158932122113e-10
2.174140317 2.42551611295945e-10
2.1757484089999997 2.280690726593566e-10
2.177356501 1.8683529461411097e-10
2.1789645930000003 1.6810592403845524e-10
2.180572685 1.729776460032385e-10
2.182180777 1.570343160708315e-10
2.183788869 5.591694891530671e-11
2.185396961 3.135134794285711e-11
2.187005053 3.6986388156057376e-11
2.1886131449999997 7.589393836591984e-11
2.1902212359999997 1.4344887506805417e-10
2.191829328 1.5102640476549415e-10
2.1934374200000004 1.7803686756169417e-10
2.195045512 1.8273867294146863e-10
2.196653604 1.8990205870710407e-10
2.198261696 2.1768950494189404e-10
2.199869788 2.535183387764953e-10
2.20147788 2.6838771212729954e-10
2.203085972 2.6339501494748847e-10
2.204694064 2.772608427072214e-10
2.206302156 3.5998955475320927e-10
2.207910248 4.702436405039218e-10
2.2095183400000002 4.624552319317334e-10
2.211126432 4.4384734232498034e-10
2.212734524 4.731361835672943e-10
2.2143426159999997 5.700727210060494e-10
2.215950708 8.462376260522098e-10
