Filter Pivot_Wavelength_(microns) SW_Response_Half-Power_(microns) LW_Response_Half-Power_(microns) Bandwidth_(microns) BW/Pivot_% Effective_Response Wheel,_Slot
F070W 0.703 0.621 0.780 0.133 18.9 0.201 Filter,1
F090W 0.901 0.794 1.005 0.199 22.1 0.294 Filter,2
F115W 1.155 1.014 1.282 0.224 19.4 0.323 Filter,3
F140M 1.405 1.330 1.479 0.142 10.1 0.398 Filter,11
F150W2 1.659 1.008 2.334 1.178 71.0 0.414 Filter,12
F150W 1.501 1.332 1.669 0.317 21.1 0.422 Filter,4
F162M 1.627 1.542 1.712 0.168 10.3 0.416 Pupil,6
F164N 1.644 1.635 1.653 0.020 1.2 0.366 Pupil,11
F182M 1.845 1.722 1.967 0.237 12.9 0.454 Filter,10
F187N 1.874 1.863 1.884 0.023 1.2 0.393 Filter,8
F200W 1.989 1.754 2.226 0.456 22.9 0.470 Filter,5
F210M 2.096 1.993 2.200 0.203 9.7 0.462 Filter,9
F212N 2.121 2.109 2.133 0.028 1.3 0.388 Filter,6
F250M 2.503 2.411 2.594 0.179 7.2 0.365 Filter,10
F277W 2.775 2.432 3.134 0.670 24.2 0.373 Filter,1
F300M 2.990 2.827 3.157 0.319 10.7 0.347 Filter,4
F322W2 3.233 2.420 4.007 1.317 40.7 0.437 Filter,12
F323N 3.237 3.217 3.256 0.038 1.2 0.281 Pupil,6
F335M 3.367 3.187 3.536 0.340 10.1 0.412 Filter,11
F356W 3.572 3.132 3.989 0.782 21.9 0.475 Filter,2
F360M 3.624 3.427 3.811 0.363 10.0 0.458 Filter,7
F405N 4.053 4.029 4.076 0.046 1.1 0.394 Pupil,5
F410M 4.092 3.879 4.305 0.425 10.4 0.486 Filter,6
F430M 4.280 4.164 4.398 0.231 5.4 0.486 Filter,8
F444W 4.425 3.885 5.007 1.060 23.9 0.497 Filter,3
F460M 4.625 4.511 4.742 0.227 4.9 0.412 Filter,9
F466N 4.655 4.629 4.681 0.052 1.1 0.313 Pupil,9
F470N 4.707 4.684 4.732 0.050 1.1 0.291 Pupil,11
F480M 4.870 4.668 5.008 0.329 6.8 0.387 Filter,5
