"NIRCam Instrument Transmission -- exclusive of filters, DBS, and detectors",,,,,,,,,,
Wavelength,Collimator,SW_Triplet,SW_Mirrors,LW_triplet,LW_Mirrors,SW_Particulates,LW_Particulates,,NVR_Wavelength,NVR_Transmission
0.550,0.216,0.146,0.922,---,0.941,0.983,---,,0.60,0.975
0.551,0.225,0.154,0.922,---,0.941,0.983,---,,0.61,0.976
0.552,0.234,0.163,0.923,---,0.941,0.983,---,,0.62,0.976
0.553,0.244,0.173,0.923,---,0.941,0.983,---,,0.63,0.977
0.554,0.253,0.183,0.923,---,0.941,0.983,---,,0.64,0.977
0.555,0.263,0.193,0.923,---,0.942,0.983,---,,0.65,0.978
0.556,0.273,0.204,0.923,---,0.942,0.983,---,,0.66,0.978
0.557,0.283,0.215,0.923,---,0.942,0.983,---,,0.67,0.979
0.558,0.294,0.226,0.923,---,0.942,0.983,---,,0.68,0.979
0.559,0.304,0.238,0.923,---,0.942,0.983,---,,0.69,0.980
0.560,0.315,0.249,0.923,---,0.942,0.983,---,,0.70,0.980
0.561,0.325,0.261,0.923,---,0.942,0.983,---,,0.71,0.980
0.562,0.336,0.274,0.924,---,0.942,0.983,---,,0.72,0.981
0.563,0.347,0.286,0.924,---,0.942,0.983,---,,0.73,0.981
0.564,0.358,0.299,0.924,---,0.942,0.983,---,,0.74,0.981
0.565,0.368,0.312,0.924,---,0.942,0.983,---,,0.75,0.982
0.566,0.379,0.325,0.924,---,0.942,0.983,---,,0.76,0.982
0.567,0.390,0.338,0.924,---,0.942,0.983,---,,0.77,0.982
0.568,0.401,0.351,0.924,---,0.943,0.983,---,,0.78,0.983
0.569,0.412,0.363,0.924,---,0.943,0.983,---,,0.79,0.983
0.570,0.423,0.376,0.924,---,0.943,0.983,---,,0.80,0.983
0.571,0.433,0.389,0.924,---,0.943,0.983,---,,0.81,0.983
0.572,0.444,0.402,0.925,---,0.943,0.983,---,,0.82,0.984
0.573,0.455,0.415,0.925,---,0.943,0.983,---,,0.83,0.984
0.574,0.465,0.427,0.925,---,0.943,0.983,---,,0.84,0.984
0.575,0.475,0.439,0.925,---,0.943,0.983,---,,0.85,0.986
0.576,0.485,0.451,0.925,---,0.943,0.983,---,,0.86,0.986
0.577,0.495,0.463,0.925,---,0.943,0.983,---,,0.87,0.986
0.578,0.505,0.474,0.925,---,0.943,0.983,---,,0.88,0.987
0.579,0.514,0.485,0.925,---,0.943,0.983,---,,0.89,0.987
0.580,0.523,0.496,0.925,---,0.943,0.983,---,,0.90,0.987
0.581,0.532,0.506,0.925,---,0.944,0.983,---,,0.91,0.987
0.582,0.541,0.516,0.926,---,0.944,0.983,---,,0.92,0.988
0.583,0.549,0.526,0.926,---,0.944,0.983,---,,0.93,0.988
0.584,0.557,0.535,0.926,---,0.944,0.983,---,,0.94,0.988
0.585,0.564,0.544,0.926,---,0.944,0.983,---,,0.95,0.988
0.586,0.572,0.552,0.926,---,0.944,0.983,---,,0.96,0.988
0.587,0.579,0.560,0.926,---,0.944,0.983,---,,0.97,0.988
0.588,0.585,0.568,0.926,---,0.944,0.983,---,,0.98,0.989
0.589,0.591,0.575,0.926,---,0.944,0.983,---,,0.99,0.989
0.590,0.597,0.581,0.926,---,0.944,0.983,---,,1.00,0.989
0.591,0.602,0.588,0.926,---,0.944,0.983,---,,1.01,0.989
0.592,0.607,0.594,0.927,---,0.944,0.983,---,,1.02,0.989
0.593,0.612,0.599,0.927,---,0.944,0.983,---,,1.03,0.989
0.594,0.616,0.604,0.927,---,0.945,0.983,---,,1.04,0.990
0.595,0.620,0.609,0.927,---,0.945,0.983,---,,1.05,0.990
0.596,0.624,0.613,0.927,---,0.945,0.983,---,,1.06,0.990
0.597,0.627,0.617,0.927,---,0.945,0.983,---,,1.07,0.990
0.598,0.630,0.621,0.927,---,0.945,0.983,---,,1.08,0.990
0.599,0.633,0.625,0.927,---,0.945,0.983,---,,1.09,0.990
0.600,0.636,0.628,0.927,---,0.945,0.983,---,,1.10,0.990
0.601,0.638,0.631,0.927,---,0.945,0.983,---,,1.11,0.991
0.602,0.641,0.634,0.928,---,0.945,0.983,---,,1.12,0.991
0.603,0.643,0.637,0.928,---,0.945,0.983,---,,1.13,0.991
0.604,0.645,0.639,0.928,---,0.945,0.983,---,,1.14,0.991
0.605,0.647,0.642,0.928,---,0.945,0.983,---,,1.15,0.991
0.606,0.648,0.644,0.928,---,0.946,0.983,---,,1.16,0.991
0.607,0.650,0.646,0.928,---,0.946,0.983,---,,1.17,0.991
0.608,0.652,0.648,0.928,---,0.946,0.983,---,,1.18,0.991
0.609,0.653,0.650,0.928,---,0.946,0.983,---,,1.19,0.991
0.610,0.654,0.652,0.928,---,0.946,0.983,---,,1.20,0.992
0.611,0.655,0.653,0.929,---,0.946,0.983,---,,1.21,0.992
0.612,0.656,0.655,0.929,---,0.946,0.983,---,,1.22,0.992
0.613,0.657,0.656,0.929,---,0.946,0.983,---,,1.23,0.992
0.614,0.658,0.658,0.929,---,0.946,0.983,---,,1.24,0.992
0.615,0.659,0.659,0.929,---,0.946,0.983,---,,1.25,0.992
0.616,0.660,0.661,0.929,---,0.946,0.983,---,,1.26,0.992
0.617,0.661,0.662,0.929,---,0.946,0.983,---,,1.27,0.992
0.618,0.662,0.663,0.929,---,0.946,0.983,---,,1.28,0.992
0.619,0.663,0.665,0.929,---,0.947,0.983,---,,1.29,0.992
0.620,0.664,0.666,0.929,---,0.947,0.983,---,,1.30,0.993
0.621,0.664,0.667,0.930,---,0.947,0.983,---,,1.31,0.993
0.622,0.665,0.668,0.930,---,0.947,0.983,---,,1.32,0.993
0.623,0.666,0.669,0.930,---,0.947,0.983,---,,1.33,0.993
0.624,0.667,0.670,0.930,---,0.947,0.983,---,,1.34,0.993
0.625,0.667,0.672,0.930,---,0.947,0.983,---,,1.35,0.993
0.626,0.668,0.673,0.930,---,0.947,0.983,---,,1.36,0.993
0.627,0.669,0.674,0.930,---,0.947,0.983,---,,1.37,0.993
0.628,0.670,0.675,0.930,---,0.947,0.983,---,,1.38,0.993
0.629,0.670,0.676,0.930,---,0.947,0.983,---,,1.39,0.993
0.630,0.671,0.677,0.930,---,0.947,0.983,---,,1.40,0.993
0.631,0.672,0.678,0.931,---,0.947,0.983,---,,1.41,0.993
0.632,0.672,0.679,0.931,---,0.948,0.983,---,,1.42,0.993
0.633,0.673,0.680,0.931,---,0.948,0.983,---,,1.43,0.994
0.634,0.674,0.681,0.931,---,0.948,0.983,---,,1.44,0.994
0.635,0.674,0.682,0.931,---,0.948,0.983,---,,1.45,0.994
0.636,0.675,0.683,0.931,---,0.948,0.983,---,,1.46,0.994
0.637,0.676,0.683,0.931,---,0.948,0.983,---,,1.47,0.994
0.638,0.676,0.684,0.931,---,0.948,0.983,---,,1.48,0.994
0.639,0.677,0.685,0.931,---,0.948,0.983,---,,1.49,0.994
0.640,0.677,0.686,0.931,---,0.948,0.983,---,,1.50,0.994
0.641,0.678,0.686,0.932,---,0.948,0.983,---,,1.51,0.994
0.642,0.679,0.687,0.932,---,0.948,0.983,---,,1.52,0.994
0.643,0.679,0.688,0.932,---,0.948,0.983,---,,1.53,0.994
0.644,0.680,0.688,0.932,---,0.948,0.983,---,,1.54,0.994
0.645,0.680,0.689,0.932,---,0.949,0.983,---,,1.55,0.994
0.646,0.681,0.689,0.932,---,0.949,0.983,---,,1.56,0.994
