File:       /home/cvsuser/SNAPCalibHtml/filterInfoFromFramework.txt
Timestamp:  28 Jul 2006 06:09:56 GMT

Error in Noun toDebugString
Filter 	 lambda 	 value 
0 	 0.3900 	 0.0000
0 	 0.4000 	 0.0300
0 	 0.4100 	 0.1340
0 	 0.4200 	 0.5670
0 	 0.4300 	 0.9200
0 	 0.4400 	 0.9780
0 	 0.4674 	 1.0000
0 	 0.4934 	 0.9500
0 	 0.5194 	 0.6260
0 	 0.5453 	 0.1190
0 	 0.5500 	 0.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
1 	 0.4485 	 0.0000
1 	 0.4600 	 0.0300
1 	 0.4715 	 0.1340
1 	 0.4830 	 0.5670
1 	 0.4945 	 0.9200
1 	 0.5060 	 0.9780
1 	 0.5375 	 1.0000
1 	 0.5674 	 0.9500
1 	 0.5973 	 0.6260
1 	 0.6271 	 0.1190
1 	 0.6325 	 0.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
2 	 0.5158 	 0.0000
2 	 0.5290 	 0.0300
2 	 0.5422 	 0.1340
2 	 0.5555 	 0.5670
2 	 0.5687 	 0.9200
2 	 0.5819 	 0.9780
2 	 0.6181 	 1.0000
2 	 0.6525 	 0.9500
2 	 0.6869 	 0.6260
2 	 0.7212 	 0.1190
2 	 0.7274 	 0.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
3 	 0.5931 	 0.0000
3 	 0.6084 	 0.0300
3 	 0.6236 	 0.1340
3 	 0.6388 	 0.5670
3 	 0.6540 	 0.9200
3 	 0.6692 	 0.9780
3 	 0.7109 	 1.0000
3 	 0.7504 	 0.9500
3 	 0.7899 	 0.6260
3 	 0.8293 	 0.1190
3 	 0.8365 	 0.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
4 	 0.6821 	 0.0000
4 	 0.6996 	 0.0300
4 	 0.7171 	 0.1340
4 	 0.7346 	 0.5670
4 	 0.7521 	 0.9200
4 	 0.7696 	 0.9780
4 	 0.8175 	 1.0000
4 	 0.8630 	 0.9500
4 	 0.9084 	 0.6260
4 	 0.9538 	 0.1190
4 	 0.9620 	 0.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
5 	 0.7844 	 0.0000
5 	 0.8045 	 0.0300
5 	 0.8247 	 0.1340
5 	 0.8448 	 0.5670
5 	 0.8649 	 0.9200
5 	 0.8850 	 0.9780
5 	 0.9402 	 1.0000
5 	 0.9924 	 1.0000
5 	 1.0446 	 1.0000
5 	 1.0969 	 1.0000
5 	 1.1062 	 1.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
6 	 0.9021 	 0.0000
6 	 0.9252 	 0.0300
6 	 0.9484 	 0.1340
6 	 0.9715 	 0.5670
6 	 0.9946 	 0.9200
6 	 1.0177 	 0.9780
6 	 1.0812 	 1.0000
6 	 1.1413 	 0.9500
6 	 1.2013 	 0.6260
6 	 1.2614 	 0.1190
6 	 1.2722 	 0.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
7 	 1.0374 	 0.0000
7 	 1.0640 	 0.0300
7 	 1.0906 	 0.1340
7 	 1.1172 	 0.5670
7 	 1.1438 	 0.9200
7 	 1.1704 	 0.9780
7 	 1.2434 	 1.0000
7 	 1.3125 	 0.9500
7 	 1.3815 	 0.6260
7 	 1.4506 	 0.1190
7 	 1.4630 	 0.0000

Error in Noun toDebugString
Filter 	 lambda 	 value 
8 	 1.1930 	 0.0000
8 	 1.2236 	 0.0300
8 	 1.2542 	 0.1340
8 	 1.2848 	 0.5670
8 	 1.3154 	 0.9200
8 	 1.3460 	 0.9780
8 	 1.4299 	 1.0000
8 	 1.5093 	 0.9500
8 	 1.5888 	 0.6260
8 	 1.6682 	 0.1190
8 	 1.6825 	 0.0000

