# Valeurs donnees par Olivier

# lambda [mum] | \delta F (all sky) [muJy, 1 sig] | M_AB (all sky) [5 sig] | M_AB (deep fields) [5 sig]
7.500000e-01 1.058241e+01 1.959118e+01 2.217631e+01
7.682927e-01 1.069906e+01 1.957928e+01 2.216442e+01
7.870315e-01 1.080843e+01 1.956823e+01 2.215338e+01
8.062274e-01 1.091051e+01 1.955803e+01 2.214319e+01
8.258915e-01 1.100528e+01 1.954864e+01 2.213380e+01
8.460352e-01 1.109277e+01 1.954004e+01 2.212521e+01
8.666702e-01 1.117302e+01 1.953221e+01 2.211739e+01
8.878085e-01 1.124609e+01 1.952514e+01 2.211032e+01
9.094624e-01 1.131206e+01 1.951879e+01 2.210397e+01
9.316444e-01 1.137102e+01 1.951314e+01 2.209833e+01
9.543674e-01 1.142310e+01 1.950818e+01 2.209338e+01
9.776447e-01 1.146841e+01 1.950388e+01 2.208908e+01
1.001490e+00 1.150710e+01 1.950023e+01 2.208543e+01
1.025916e+00 1.153931e+01 1.949719e+01 2.208239e+01
1.050939e+00 1.156523e+01 1.949476e+01 2.207996e+01
1.076571e+00 1.158501e+01 1.949290e+01 2.207810e+01
1.137073e+00 1.183515e+01 1.946971e+01 2.205490e+01
1.164807e+00 1.183622e+01 1.946961e+01 2.205480e+01
1.193217e+00 1.183188e+01 1.947001e+01 2.205519e+01
1.222319e+00 1.182235e+01 1.947088e+01 2.205607e+01
1.252132e+00 1.180783e+01 1.947222e+01 2.205740e+01
1.282672e+00 1.178854e+01 1.947399e+01 2.205917e+01
1.313957e+00 1.176469e+01 1.947619e+01 2.206137e+01
1.346004e+00 1.173649e+01 1.947879e+01 2.206397e+01
1.378834e+00 1.170417e+01 1.948179e+01 2.206696e+01
1.412464e+00 1.166794e+01 1.948516e+01 2.207033e+01
1.446914e+00 1.162800e+01 1.948888e+01 2.207404e+01
1.482205e+00 1.158459e+01 1.949294e+01 2.207810e+01
1.518356e+00 1.153789e+01 1.949732e+01 2.208248e+01
1.555389e+00 1.148813e+01 1.950202e+01 2.208717e+01
1.593325e+00 1.143550e+01 1.950700e+01 2.209215e+01
1.632187e+00 1.138021e+01 1.951226e+01 2.209741e+01
1.680000e+00 1.124738e+01 1.952501e+01 2.211015e+01
1.720976e+00 1.118720e+01 1.953084e+01 2.211597e+01
