# lambda    trans  
  11469.0   0.0    
  11470.0   0.29   
  11472.0   0.31   
  11474.0   0.31   
  11476.0   0.32   
  11478.0   0.33   
  11480.0   0.33   
  11482.0   0.34   
  11484.0   0.36   
  11486.0   0.36   
  11488.0   0.38   
  11490.0   0.39   
  11492.0   0.4    
  11494.0   0.41   
  11496.0   0.42   
  11498.0   0.44   
  11500.0   0.46   
  11502.0   0.48   
  11504.0   0.49   
  11506.0   0.5    
  11508.0   0.53   
  11510.0   0.55   
  11512.0   0.56   
  11514.0   0.59   
  11516.0   0.61   
  11518.0   0.63   
  11520.0   0.65   
  11522.0   0.68   
  11524.0   0.71   
  11526.0   0.73   
  11528.0   0.76   
  11530.0   0.77   
  11532.0   0.8    
  11534.0   0.83   
  11536.0   0.87   
  11538.0   0.91   
  11540.0   0.94   
  11542.0   0.99   
  11544.0   1.03   
  11546.0   1.06   
  11548.0   1.1    
  11550.0   1.15   
  11552.0   1.2    
  11554.0   1.24   
  11556.0   1.29   
  11558.0   1.33   
  11560.0   1.39   
  11562.0   1.46   
  11564.0   1.52   
  11566.0   1.59   
  11568.0   1.65   
  11570.0   1.7    
  11572.0   1.77   
  11574.0   1.83   
  11576.0   1.89   
  11578.0   1.97   
  11580.0   2.05   
  11582.0   2.12   
  11584.0   2.2    
  11586.0   2.27   
  11588.0   2.35   
  11590.0   2.44   
  11592.0   2.53   
  11594.0   2.61   
  11596.0   2.7    
  11598.0   2.79   
  11600.0   2.88   
  11602.0   2.98   
  11604.0   3.08   
  11606.0   3.17   
  11608.0   3.28   
  11610.0   3.39   
  11612.0   3.5    
  11614.0   3.62   
  11616.0   3.75   
  11618.0   3.87   
  11620.0   4.01   
  11622.0   4.14   
  11624.0   4.28   
  11626.0   4.42   
  11628.0   4.57   
  11630.0   4.71   
  11632.0   4.88   
  11634.0   5.05   
  11636.0   5.23   
  11638.0   5.42   
  11640.0   5.61   
  11642.0   5.8    
  11644.0   6.0    
  11646.0   6.22   
  11648.0   6.43   
  11650.0   6.67   
  11652.0   6.93   
  11654.0   7.19   
  11656.0   7.47   
  11658.0   7.75   
  11660.0   8.06   
  11662.0   8.37   
  11664.0   8.71   
  11666.0   9.06   
  11668.0   9.43   
  11670.0   9.81   
  11672.0   10.23  
  11674.0   10.67  
  11676.0   11.14  
  11678.0   11.63  
  11680.0   12.14  
  11682.0   12.68  
  11684.0   13.24  
  11686.0   13.83  
  11688.0   14.44  
  11690.0   15.08  
  11692.0   15.75  
  11694.0   16.46  
  11696.0   17.18  
  11698.0   17.93  
  11700.0   18.72  
  11702.0   19.54  
  11704.0   20.37  
  11706.0   21.23  
  11708.0   22.11  
  11710.0   23.03  
  11712.0   23.97  
  11714.0   24.93  
  11716.0   25.92  
  11718.0   26.93  
  11720.0   27.96  
  11722.0   29.02  
  11724.0   30.09  
  11726.0   31.18  
  11728.0   32.29  
  11730.0   33.41  
  11732.0   34.54  
  11734.0   35.68  
  11736.0   36.83  
  11738.0   37.99  
  11740.0   39.16  
  11742.0   40.33  
  11744.0   41.5   
  11746.0   42.68  
  11748.0   43.85  
  11750.0   45.01  
  11752.0   46.17  
  11754.0   47.32  
  11756.0   48.46  
  11758.0   49.59  
  11760.0   50.71  
  11762.0   51.8   
  11764.0   52.88  
  11766.0   53.94  
  11768.0   54.99  
  11770.0   56.0   
  11772.0   57.01  
  11774.0   57.99  
  11776.0   58.94  
  11778.0   59.88  
  11780.0   60.8   
  11782.0   61.69  
  11784.0   62.54  
  11786.0   63.36  
  11788.0   64.18  
  11790.0   64.96  
  11792.0   65.71  
  11794.0   66.43  
  11796.0   67.13  
  11798.0   67.82  
  11800.0   68.48  
  11802.0   69.12  
  11804.0   69.73  
  11806.0   70.32  
  11808.0   70.88  
  11810.0   71.4   
  11812.0   71.92  
  11814.0   72.41  
  11816.0   72.89  
  11818.0   73.35  
  11820.0   73.78  
  11822.0   74.19  
  11824.0   74.58  
  11826.0   74.97  
  11828.0   75.33  
  11830.0   75.67  
  11832.0   75.99  
  11834.0   76.29  
  11836.0   76.58  
  11838.0   76.86  
  11840.0   77.13  
  11842.0   77.38  
  11844.0   77.61  
  11846.0   77.84  
  11848.0   78.04  
  11850.0   78.24  
  11852.0   78.43  
  11854.0   78.62  
  11856.0   78.78  
  11858.0   78.94  
  11860.0   79.08  
  11862.0   79.22  
  11864.0   79.35  
  11866.0   79.47  
  11868.0   79.58  
  11870.0   79.68  
  11872.0   79.77  
  11874.0   79.84  
  11876.0   79.91  
  11878.0   79.97  
  11880.0   80.02  
  11882.0   80.05  
  11884.0   80.09  
  11886.0   80.1   
  11888.0   80.11  
  11890.0   80.11  
  11892.0   80.11  
  11894.0   80.09  
  11896.0   80.07  
  11898.0   80.05  
  11900.0   80.01  
  11902.0   79.99  
  11904.0   79.95  
  11906.0   79.91  
  11908.0   79.88  
  11910.0   79.84  
  11912.0   79.78  
  11914.0   79.74  
  11916.0   79.69  
  11918.0   79.65  
  11920.0   79.61  
  11922.0   79.57  
  11924.0   79.54  
  11926.0   79.52  
  11928.0   79.48  
  11930.0   79.46  
  11932.0   79.45  
  11934.0   79.43  
  11936.0   79.43  
  11938.0   79.43  
  11940.0   79.42  
  11942.0   79.43  
  11944.0   79.46  
  11946.0   79.48  
  11948.0   79.51  
  11950.0   79.54  
  11952.0   79.58  
  11954.0   79.63  
  11956.0   79.67  
  11958.0   79.72  
  11960.0   79.79  
  11962.0   79.86  
  11964.0   79.93  
  11966.0   80.0   
  11968.0   80.06  
  11970.0   80.15  
  11972.0   80.23  
  11974.0   80.32  
  11976.0   80.42  
  11978.0   80.51  
  11980.0   80.6   
  11982.0   80.72  
  11984.0   80.82  
  11986.0   80.92  
  11988.0   81.02  
  11990.0   81.12  
  11992.0   81.21  
  11994.0   81.31  
  11996.0   81.39  
  11998.0   81.48  
  12000.0   81.58  
  12002.0   81.65  
  12004.0   81.74  
  12006.0   81.82  
  12008.0   81.88  
  12010.0   81.94  
  12012.0   82.0   
  12014.0   82.05  
  12016.0   82.09  
  12018.0   82.14  
  12020.0   82.16  
  12022.0   82.18  
  12024.0   82.2   
  12026.0   82.21  
  12028.0   82.22  
  12030.0   82.24  
  12032.0   82.24  
  12034.0   82.23  
  12036.0   82.22  
  12038.0   82.2   
  12040.0   82.18  
  12042.0   82.15  
  12044.0   82.13  
  12046.0   82.08  
  12048.0   82.05  
  12050.0   82.0   
  12052.0   81.97  
  12054.0   81.93  
  12056.0   81.89  
  12058.0   81.85  
  12060.0   81.8   
  12062.0   81.75  
  12064.0   81.69  
  12066.0   81.65  
  12068.0   81.6   
  12070.0   81.54  
  12072.0   81.49  
  12074.0   81.44  
  12076.0   81.39  
  12078.0   81.35  
  12080.0   81.3   
  12082.0   81.26  
  12084.0   81.21  
  12086.0   81.17  
  12088.0   81.12  
  12090.0   81.08  
  12092.0   81.04  
  12094.0   81.0   
  12096.0   80.96  
  12098.0   80.92  
  12100.0   80.88  
  12102.0   80.85  
  12104.0   80.84  
  12106.0   80.81  
  12108.0   80.79  
  12110.0   80.77  
  12112.0   80.76  
  12114.0   80.76  
  12116.0   80.74  
  12118.0   80.75  
  12120.0   80.75  
  12122.0   80.75  
  12124.0   80.75  
  12126.0   80.76  
  12128.0   80.77  
  12130.0   80.79  
  12132.0   80.81  
  12134.0   80.83  
  12136.0   80.86  
  12138.0   80.88  
  12140.0   80.91  
  12142.0   80.94  
  12144.0   80.97  
  12146.0   81.0   
  12148.0   81.04  
  12150.0   81.08  
  12152.0   81.11  
  12154.0   81.16  
  12156.0   81.21  
  12158.0   81.26  
  12160.0   81.31  
  12162.0   81.36  
  12164.0   81.41  
  12166.0   81.47  
  12168.0   81.52  
  12170.0   81.56  
  12172.0   81.61  
  12174.0   81.67  
  12176.0   81.73  
  12178.0   81.78  
  12180.0   81.83  
  12182.0   81.88  
  12184.0   81.94  
  12186.0   81.99  
  12188.0   82.04  
  12190.0   82.1   
  12192.0   82.16  
  12194.0   82.2   
  12196.0   82.26  
  12198.0   82.3   
  12200.0   82.35  
  12202.0   82.41  
  12204.0   82.47  
  12206.0   82.53  
  12208.0   82.57  
  12210.0   82.63  
  12212.0   82.67  
  12214.0   82.71  
  12216.0   82.76  
  12218.0   82.8   
  12220.0   82.85  
  12222.0   82.89  
  12224.0   82.93  
  12226.0   82.98  
  12228.0   83.01  
  12230.0   83.07  
  12232.0   83.12  
  12234.0   83.17  
  12236.0   83.2   
  12238.0   83.24  
  12240.0   83.28  
  12242.0   83.32  
  12244.0   83.37  
  12246.0   83.41  
  12248.0   83.46  
  12250.0   83.5   
  12252.0   83.54  
  12254.0   83.58  
  12256.0   83.62  
  12258.0   83.67  
  12260.0   83.72  
  12262.0   83.75  
  12264.0   83.79  
  12266.0   83.82  
  12268.0   83.86  
  12270.0   83.9   
  12272.0   83.93  
  12274.0   83.96  
  12276.0   84.0   
  12278.0   84.03  
  12280.0   84.07  
  12282.0   84.1   
  12284.0   84.14  
  12286.0   84.17  
  12288.0   84.2   
  12290.0   84.22  
  12292.0   84.26  
  12294.0   84.28  
  12296.0   84.31  
  12298.0   84.35  
  12300.0   84.37  
  12302.0   84.4   
  12304.0   84.44  
  12306.0   84.47  
  12308.0   84.5   
  12310.0   84.53  
  12312.0   84.56  
  12314.0   84.59  
  12316.0   84.62  
  12318.0   84.64  
  12320.0   84.67  
  12322.0   84.7   
  12324.0   84.72  
  12326.0   84.76  
  12328.0   84.79  
  12330.0   84.81  
  12332.0   84.85  
  12334.0   84.88  
  12336.0   84.92  
  12338.0   84.95  
  12340.0   84.98  
  12342.0   85.01  
  12344.0   85.04  
  12346.0   85.07  
  12348.0   85.1   
  12350.0   85.14  
  12352.0   85.17  
  12354.0   85.19  
  12356.0   85.21  
  12358.0   85.24  
  12360.0   85.27  
  12362.0   85.29  
  12364.0   85.31  
  12366.0   85.33  
  12368.0   85.34  
  12370.0   85.36  
  12372.0   85.38  
  12374.0   85.4   
  12376.0   85.4   
  12378.0   85.42  
  12380.0   85.43  
  12382.0   85.43  
  12384.0   85.45  
  12386.0   85.45  
  12388.0   85.46  
  12390.0   85.46  
  12392.0   85.46  
  12394.0   85.46  
  12396.0   85.46  
  12398.0   85.46  
  12400.0   85.45  
  12402.0   85.44  
  12404.0   85.44  
  12406.0   85.43  
  12408.0   85.44  
  12410.0   85.43  
  12412.0   85.43  
  12414.0   85.43  
  12416.0   85.42  
  12418.0   85.43  
  12420.0   85.43  
  12422.0   85.43  
  12424.0   85.42  
  12426.0   85.43  
  12428.0   85.43  
  12430.0   85.42  
  12432.0   85.43  
  12434.0   85.42  
  12436.0   85.41  
  12438.0   85.41  
  12440.0   85.4   
  12442.0   85.39  
  12444.0   85.38  
  12446.0   85.37  
  12448.0   85.35  
  12450.0   85.34  
  12452.0   85.32  
  12454.0   85.29  
  12456.0   85.28  
  12458.0   85.25  
  12460.0   85.23  
  12462.0   85.21  
  12464.0   85.19  
  12466.0   85.18  
  12468.0   85.16  
  12470.0   85.13  
  12472.0   85.12  
  12474.0   85.11  
  12476.0   85.09  
  12478.0   85.08  
  12480.0   85.06  
  12482.0   85.03  
  12484.0   85.02  
  12486.0   85.0   
  12488.0   84.97  
  12490.0   84.96  
  12492.0   84.96  
  12494.0   84.93  
  12496.0   84.92  
  12498.0   84.91  
  12500.0   84.89  
  12502.0   84.88  
  12504.0   84.87  
  12506.0   84.86  
  12508.0   84.86  
  12510.0   84.86  
  12512.0   84.86  
  12514.0   84.87  
  12516.0   84.87  
  12518.0   84.87  
  12520.0   84.88  
  12522.0   84.87  
  12524.0   84.88  
  12526.0   84.87  
  12528.0   84.88  
  12530.0   84.87  
  12532.0   84.88  
  12534.0   84.89  
  12536.0   84.88  
  12538.0   84.86  
  12540.0   84.86  
  12542.0   84.86  
  12544.0   84.85  
  12546.0   84.85  
  12548.0   84.85  
  12550.0   84.86  
  12552.0   84.86  
  12554.0   84.88  
  12556.0   84.9   
  12558.0   84.92  
  12560.0   84.93  
  12562.0   84.95  
  12564.0   84.97  
  12566.0   84.99  
  12568.0   85.0   
  12570.0   85.03  
  12572.0   85.05  
  12574.0   85.07  
  12576.0   85.1   
  12578.0   85.11  
  12580.0   85.14  
  12582.0   85.16  
  12584.0   85.18  
  12586.0   85.21  
  12588.0   85.22  
  12590.0   85.25  
  12592.0   85.27  
  12594.0   85.31  
  12596.0   85.32  
  12598.0   85.36  
  12600.0   85.4   
  12602.0   85.43  
  12604.0   85.46  
  12606.0   85.47  
  12608.0   85.5   
  12610.0   85.55  
  12612.0   85.59  
  12614.0   85.63  
  12616.0   85.67  
  12618.0   85.71  
  12620.0   85.75  
  12622.0   85.78  
  12624.0   85.82  
  12626.0   85.85  
  12628.0   85.88  
  12630.0   85.9   
  12632.0   85.93  
  12634.0   85.96  
  12636.0   86.0   
  12638.0   86.03  
  12640.0   86.07  
  12642.0   86.09  
  12644.0   86.11  
  12646.0   86.13  
  12648.0   86.15  
  12650.0   86.15  
  12652.0   86.18  
  12654.0   86.19  
  12656.0   86.21  
  12658.0   86.22  
  12660.0   86.24  
  12662.0   86.25  
  12664.0   86.25  
  12666.0   86.25  
  12668.0   86.26  
  12670.0   86.26  
  12672.0   86.26  
  12674.0   86.26  
  12676.0   86.25  
  12678.0   86.23  
  12680.0   86.23  
  12682.0   86.23  
  12684.0   86.22  
  12686.0   86.21  
  12688.0   86.2   
  12690.0   86.18  
  12692.0   86.16  
  12694.0   86.14  
  12696.0   86.14  
  12698.0   86.13  
  12700.0   86.12  
  12702.0   86.1   
  12704.0   86.08  
  12706.0   86.06  
  12708.0   86.03  
  12710.0   86.0   
  12712.0   85.98  
  12714.0   85.94  
  12716.0   85.91  
  12718.0   85.88  
  12720.0   85.85  
  12722.0   85.82  
  12724.0   85.78  
  12726.0   85.74  
  12728.0   85.7   
  12730.0   85.67  
  12732.0   85.64  
  12734.0   85.61  
  12736.0   85.57  
  12738.0   85.54  
  12740.0   85.52  
  12742.0   85.49  
  12744.0   85.45  
  12746.0   85.44  
  12748.0   85.41  
  12750.0   85.39  
  12752.0   85.36  
  12754.0   85.32  
  12756.0   85.31  
  12758.0   85.28  
  12760.0   85.25  
  12762.0   85.21  
  12764.0   85.17  
  12766.0   85.14  
  12768.0   85.11  
  12770.0   85.07  
  12772.0   85.03  
  12774.0   85.01  
  12776.0   84.99  
  12778.0   84.95  
  12780.0   84.92  
  12782.0   84.9   
  12784.0   84.89  
  12786.0   84.88  
  12788.0   84.86  
  12790.0   84.85  
  12792.0   84.85  
  12794.0   84.84  
  12796.0   84.85  
  12798.0   84.84  
  12800.0   84.85  
  12802.0   84.85  
  12804.0   84.86  
  12806.0   84.85  
  12808.0   84.85  
  12810.0   84.86  
  12812.0   84.87  
  12814.0   84.87  
  12816.0   84.87  
  12818.0   84.88  
  12820.0   84.89  
  12822.0   84.89  
  12824.0   84.89  
  12826.0   84.89  
  12828.0   84.88  
  12830.0   84.89  
  12832.0   84.88  
  12834.0   84.88  
  12836.0   84.88  
  12838.0   84.88  
  12840.0   84.88  
  12842.0   84.88  
  12844.0   84.88  
  12846.0   84.87  
  12848.0   84.86  
  12850.0   84.86  
  12852.0   84.85  
  12854.0   84.85  
  12856.0   84.85  
  12858.0   84.86  
  12860.0   84.86  
  12862.0   84.86  
  12864.0   84.86  
  12866.0   84.85  
  12868.0   84.85  
  12870.0   84.85  
  12872.0   84.85  
  12874.0   84.85  
  12876.0   84.84  
  12878.0   84.85  
  12880.0   84.83  
  12882.0   84.82  
  12884.0   84.8   
  12886.0   84.78  
  12888.0   84.76  
  12890.0   84.75  
  12892.0   84.73  
  12894.0   84.71  
  12896.0   84.69  
  12898.0   84.68  
  12900.0   84.65  
  12902.0   84.63  
  12904.0   84.6   
  12906.0   84.58  
  12908.0   84.55  
  12910.0   84.51  
  12912.0   84.5   
  12914.0   84.48  
  12916.0   84.45  
  12918.0   84.43  
  12920.0   84.41  
  12922.0   84.38  
  12924.0   84.36  
  12926.0   84.35  
  12928.0   84.31  
  12930.0   84.29  
  12932.0   84.27  
  12934.0   84.24  
  12936.0   84.21  
  12938.0   84.17  
  12940.0   84.15  
  12942.0   84.12  
  12944.0   84.09  
  12946.0   84.05  
  12948.0   84.01  
  12950.0   83.98  
  12952.0   83.94  
  12954.0   83.9   
  12956.0   83.86  
