# lambda   trans  
  9385.0   0.0    
  9386.0   1.0    
  9388.0   1.0    
  9390.0   1.03   
  9392.0   1.06   
  9394.0   1.07   
  9396.0   1.1    
  9398.0   1.12   
  9400.0   1.13   
  9402.0   1.14   
  9404.0   1.17   
  9406.0   1.2    
  9408.0   1.23   
  9410.0   1.25   
  9412.0   1.27   
  9414.0   1.29   
  9416.0   1.31   
  9418.0   1.34   
  9420.0   1.38   
  9422.0   1.4    
  9424.0   1.42   
  9426.0   1.46   
  9428.0   1.49   
  9430.0   1.51   
  9432.0   1.55   
  9434.0   1.59   
  9436.0   1.62   
  9438.0   1.64   
  9440.0   1.67   
  9442.0   1.71   
  9444.0   1.73   
  9446.0   1.76   
  9448.0   1.79   
  9450.0   1.84   
  9452.0   1.87   
  9454.0   1.91   
  9456.0   1.95   
  9458.0   1.99   
  9460.0   2.04   
  9462.0   2.1    
  9464.0   2.14   
  9466.0   2.18   
  9468.0   2.22   
  9470.0   2.27   
  9472.0   2.33   
  9474.0   2.38   
  9476.0   2.44   
  9478.0   2.5    
  9480.0   2.56   
  9482.0   2.61   
  9484.0   2.67   
  9486.0   2.73   
  9488.0   2.79   
  9490.0   2.85   
  9492.0   2.91   
  9494.0   2.98   
  9496.0   3.06   
  9498.0   3.14   
  9500.0   3.2    
  9502.0   3.28   
  9504.0   3.36   
  9506.0   3.44   
  9508.0   3.53   
  9510.0   3.61   
  9512.0   3.69   
  9514.0   3.78   
  9516.0   3.87   
  9518.0   3.97   
  9520.0   4.07   
  9522.0   4.18   
  9524.0   4.29   
  9526.0   4.39   
  9528.0   4.5    
  9530.0   4.61   
  9532.0   4.74   
  9534.0   4.87   
  9536.0   5.0    
  9538.0   5.14   
  9540.0   5.27   
  9542.0   5.42   
  9544.0   5.57   
  9546.0   5.72   
  9548.0   5.89   
  9550.0   6.05   
  9552.0   6.22   
  9554.0   6.4    
  9556.0   6.58   
  9558.0   6.77   
  9560.0   6.96   
  9562.0   7.15   
  9564.0   7.33   
  9566.0   7.53   
  9568.0   7.74   
  9570.0   7.94   
  9572.0   8.15   
  9574.0   8.36   
  9576.0   8.59   
  9578.0   8.81   
  9580.0   9.05   
  9582.0   9.29   
  9584.0   9.53   
  9586.0   9.79   
  9588.0   10.05  
  9590.0   10.3   
  9592.0   10.58  
  9594.0   10.86  
  9596.0   11.16  
  9598.0   11.46  
  9600.0   11.76  
  9602.0   12.07  
  9604.0   12.4   
  9606.0   12.73  
  9608.0   13.07  
  9610.0   13.42  
  9612.0   13.76  
  9614.0   14.13  
  9616.0   14.5   
  9618.0   14.87  
  9620.0   15.25  
  9622.0   15.65  
  9624.0   16.05  
  9626.0   16.45  
  9628.0   16.86  
  9630.0   17.29  
  9632.0   17.73  
  9634.0   18.18  
  9636.0   18.63  
  9638.0   19.1   
  9640.0   19.56  
  9642.0   20.04  
  9644.0   20.54  
  9646.0   21.02  
  9648.0   21.53  
  9650.0   22.06  
  9652.0   22.58  
  9654.0   23.1   
  9656.0   23.65  
  9658.0   24.19  
  9660.0   24.75  
  9662.0   25.31  
  9664.0   25.87  
  9666.0   26.44  
  9668.0   27.01  
  9670.0   27.59  
  9672.0   28.19  
  9674.0   28.78  
  9676.0   29.37  
  9678.0   29.99  
  9680.0   30.58  
  9682.0   31.19  
  9684.0   31.81  
  9686.0   32.45  
  9688.0   33.07  
  9690.0   33.7   
  9692.0   34.33  
  9694.0   34.96  
  9696.0   35.6   
  9698.0   36.24  
  9700.0   36.88  
  9702.0   37.52  
  9704.0   38.16  
  9706.0   38.8   
  9708.0   39.43  
  9710.0   40.07  
  9712.0   40.7   
  9714.0   41.32  
  9716.0   41.94  
  9718.0   42.56  
  9720.0   43.17  
  9722.0   43.79  
  9724.0   44.39  
  9726.0   45.0   
  9728.0   45.6   
  9730.0   46.19  
  9732.0   46.77  
  9734.0   47.35  
  9736.0   47.93  
  9738.0   48.49  
  9740.0   49.05  
  9742.0   49.6   
  9744.0   50.15  
  9746.0   50.68  
  9748.0   51.2   
  9750.0   51.71  
  9752.0   52.23  
  9754.0   52.72  
  9756.0   53.21  
  9758.0   53.69  
  9760.0   54.16  
  9762.0   54.62  
  9764.0   55.06  
  9766.0   55.48  
  9768.0   55.91  
  9770.0   56.32  
  9772.0   56.7   
  9774.0   57.09  
  9776.0   57.47  
  9778.0   57.84  
  9780.0   58.19  
  9782.0   58.55  
  9784.0   58.88  
  9786.0   59.2   
  9788.0   59.51  
  9790.0   59.81  
  9792.0   60.11  
  9794.0   60.39  
  9796.0   60.67  
  9798.0   60.93  
  9800.0   61.19  
  9802.0   61.44  
  9804.0   61.69  
  9806.0   61.93  
  9808.0   62.15  
  9810.0   62.37  
  9812.0   62.58  
  9814.0   62.78  
  9816.0   62.98  
  9818.0   63.17  
  9820.0   63.34  
  9822.0   63.51  
  9824.0   63.68  
  9826.0   63.84  
  9828.0   64.0   
  9830.0   64.15  
  9832.0   64.28  
  9834.0   64.43  
  9836.0   64.56  
  9838.0   64.69  
  9840.0   64.82  
  9842.0   64.94  
  9844.0   65.07  
  9846.0   65.19  
  9848.0   65.31  
  9850.0   65.42  
  9852.0   65.53  
  9854.0   65.63  
  9856.0   65.74  
  9858.0   65.84  
  9860.0   65.94  
  9862.0   66.05  
  9864.0   66.15  
  9866.0   66.25  
  9868.0   66.35  
  9870.0   66.45  
  9872.0   66.55  
  9874.0   66.65  
  9876.0   66.74  
  9878.0   66.83  
  9880.0   66.93  
  9882.0   67.02  
  9884.0   67.1   
  9886.0   67.2   
  9888.0   67.28  
  9890.0   67.38  
  9892.0   67.46  
  9894.0   67.54  
  9896.0   67.62  
  9898.0   67.71  
  9900.0   67.79  
  9902.0   67.88  
  9904.0   67.96  
  9906.0   68.04  
  9908.0   68.12  
  9910.0   68.21  
  9912.0   68.29  
  9914.0   68.39  
  9916.0   68.48  
  9918.0   68.56  
  9920.0   68.66  
  9922.0   68.75  
  9924.0   68.86  
  9926.0   68.95  
  9928.0   69.03  
  9930.0   69.13  
  9932.0   69.22  
  9934.0   69.3   
  9936.0   69.38  
  9938.0   69.46  
  9940.0   69.55  
  9942.0   69.62  
  9944.0   69.7   
  9946.0   69.77  
  9948.0   69.85  
  9950.0   69.92  
  9952.0   69.99  
  9954.0   70.06  
  9956.0   70.13  
  9958.0   70.19  
  9960.0   70.26  
  9962.0   70.32  
  9964.0   70.38  
  9966.0   70.44  
  9968.0   70.49  
  9970.0   70.55  
  9972.0   70.6   
  9974.0   70.65  
  9976.0   70.7   
  9978.0   70.75  
  9980.0   70.79  
  9982.0   70.84  
  9984.0   70.89  
  9986.0   70.92  
  9988.0   70.96  
  9990.0   71.0   
  9992.0   71.03  
  9994.0   71.06  
  9996.0   71.1   
  9998.0   71.13  
  10000.0  71.17  
  10002.0  71.2   
  10004.0  71.23  
  10006.0  71.25  
  10008.0  71.27  
  10010.0  71.29  
  10012.0  71.3   
  10014.0  71.31  
  10016.0  71.32  
  10018.0  71.33  
  10020.0  71.33  
  10022.0  71.33  
  10024.0  71.34  
  10026.0  71.35  
  10028.0  71.35  
  10030.0  71.35  
  10032.0  71.34  
  10034.0  71.34  
  10036.0  71.34  
  10038.0  71.33  
  10040.0  71.33  
  10042.0  71.32  
  10044.0  71.31  
  10046.0  71.31  
  10048.0  71.3   
  10050.0  71.3   
  10052.0  71.28  
  10054.0  71.27  
  10056.0  71.27  
  10058.0  71.26  
  10060.0  71.23  
  10062.0  71.22  
  10064.0  71.2   
  10066.0  71.19  
  10068.0  71.17  
  10070.0  71.15  
  10072.0  71.13  
  10074.0  71.11  
  10076.0  71.1   
  10078.0  71.07  
  10080.0  71.05  
  10082.0  71.03  
  10084.0  71.0   
  10086.0  70.98  
  10088.0  70.96  
  10090.0  70.93  
  10092.0  70.9   
  10094.0  70.88  
  10096.0  70.86  
  10098.0  70.84  
  10100.0  70.81  
  10102.0  70.79  
  10104.0  70.77  
  10106.0  70.74  
  10108.0  70.73  
  10110.0  70.72  
  10112.0  70.7   
  10114.0  70.69  
  10116.0  70.68  
  10118.0  70.67  
  10120.0  70.65  
  10122.0  70.65  
  10124.0  70.65  
  10126.0  70.65  
  10128.0  70.64  
  10130.0  70.64  
  10132.0  70.64  
  10134.0  70.65  
  10136.0  70.66  
  10138.0  70.66  
  10140.0  70.66  
  10142.0  70.66  
  10144.0  70.67  
  10146.0  70.67  
  10148.0  70.69  
  10150.0  70.7   
  10152.0  70.72  
  10154.0  70.73  
  10156.0  70.75  
  10158.0  70.77  
  10160.0  70.79  
  10162.0  70.82  
  10164.0  70.84  
  10166.0  70.88  
  10168.0  70.9   
  10170.0  70.94  
  10172.0  70.99  
  10174.0  71.03  
  10176.0  71.07  
  10178.0  71.11  
  10180.0  71.15  
  10182.0  71.2   
  10184.0  71.25  
  10186.0  71.3   
  10188.0  71.36  
  10190.0  71.42  
  10192.0  71.47  
  10194.0  71.53  
  10196.0  71.58  
  10198.0  71.64  
  10200.0  71.7   
  10202.0  71.76  
  10204.0  71.82  
  10206.0  71.88  
  10208.0  71.94  
  10210.0  72.0   
  10212.0  72.07  
  10214.0  72.13  
  10216.0  72.18  
  10218.0  72.24  
  10220.0  72.3   
  10222.0  72.36  
  10224.0  72.42  
  10226.0  72.48  
  10228.0  72.54  
  10230.0  72.59  
  10232.0  72.65  
  10234.0  72.72  
  10236.0  72.77  
  10238.0  72.83  
  10240.0  72.89  
  10242.0  72.95  
  10244.0  73.01  
  10246.0  73.07  
  10248.0  73.13  
  10250.0  73.19  
  10252.0  73.25  
  10254.0  73.31  
  10256.0  73.38  
  10258.0  73.43  
  10260.0  73.49  
  10262.0  73.55  
  10264.0  73.6   
  10266.0  73.65  
  10268.0  73.7   
  10270.0  73.75  
  10272.0  73.79  
  10274.0  73.83  
  10276.0  73.88  
  10278.0  73.92  
  10280.0  73.96  
  10282.0  74.0   
  10284.0  74.04  
  10286.0  74.06  
  10288.0  74.09  
  10290.0  74.11  
  10292.0  74.13  
  10294.0  74.16  
  10296.0  74.18  
  10298.0  74.2   
  10300.0  74.22  
  10302.0  74.24  
  10304.0  74.26  
  10306.0  74.27  
  10308.0  74.28  
  10310.0  74.29  
  10312.0  74.3   
  10314.0  74.3   
  10316.0  74.3   
  10318.0  74.3   
  10320.0  74.3   
  10322.0  74.3   
  10324.0  74.3   
  10326.0  74.3   
  10328.0  74.29  
  10330.0  74.28  
  10332.0  74.27  
  10334.0  74.25  
  10336.0  74.23  
  10338.0  74.21  
  10340.0  74.18  
  10342.0  74.16  
  10344.0  74.14  
  10346.0  74.11  
  10348.0  74.08  
  10350.0  74.06  
  10352.0  74.02  
  10354.0  73.98  
  10356.0  73.95  
  10358.0  73.91  
  10360.0  73.87  
  10362.0  73.84  
  10364.0  73.8   
  10366.0  73.77  
  10368.0  73.73  
  10370.0  73.7   
  10372.0  73.66  
  10374.0  73.63  
  10376.0  73.59  
  10378.0  73.54  
  10380.0  73.51  
  10382.0  73.46  
  10384.0  73.42  
  10386.0  73.38  
  10388.0  73.34  
  10390.0  73.3   
  10392.0  73.26  
  10394.0  73.21  
  10396.0  73.16  
  10398.0  73.12  
  10400.0  73.07  
  10402.0  73.02  
  10404.0  72.97  
  10406.0  72.92  
  10408.0  72.87  
  10410.0  72.82  
  10412.0  72.77  
  10414.0  72.72  
  10416.0  72.68  
  10418.0  72.63  
  10420.0  72.57  
  10422.0  72.52  
  10424.0  72.47  
  10426.0  72.42  
  10428.0  72.37  
  10430.0  72.33  
  10432.0  72.27  
  10434.0  72.23  
  10436.0  72.18  
  10438.0  72.12  
  10440.0  72.07  
  10442.0  72.01  
  10444.0  71.96  
  10446.0  71.91  
  10448.0  71.85  
  10450.0  71.8   
  10452.0  71.73  
  10454.0  71.67  
  10456.0  71.61  
  10458.0  71.55  
  10460.0  71.49  
  10462.0  71.42  
